weak,t,model,id,split,squared_residual,squared_gap
depth6,0.15,score_scale_radial,2364,fit,1.3899682656339338e-05,1.7149371365192637e-05
depth6,0.15,score_scale_radial,3510,fit,3.900852373522197e-05,4.355388618787266e-05
depth6,0.15,score_scale_radial,4640,fit,1.8962184635543005e-05,1.6956444214918526e-05
depth6,0.15,score_scale_radial,1298,fit,1.421787902674355e-05,1.2610373741275412e-05
depth6,0.15,score_scale_radial,708,fit,9.319584650871088e-06,9.177444545461867e-06
depth6,0.15,score_scale_radial,1505,fit,4.1058575392638875e-05,6.383023127249317e-05
depth6,0.15,score_scale_radial,2304,fit,1.7550594941948554e-05,1.5821942867893038e-05
depth6,0.15,score_scale_radial,307,fit,1.5627462927266407e-05,1.243592437775732e-05
depth6,0.15,score_scale_radial,4093,fit,1.2879980199474186e-05,1.1746172999271554e-05
depth6,0.15,score_scale_radial,769,fit,2.1200208199056032e-05,2.3313809909910458e-05
depth6,0.15,score_scale_radial,3769,fit,1.0402438924983968e-05,1.0691619203359864e-05
depth6,0.15,score_scale_radial,1780,fit,2.251046067449523e-05,2.5296236365774836e-05
depth6,0.15,score_scale_radial,2797,test,1.6191740875142707e-05,1.8767383751234378e-05
depth6,0.15,score_scale_radial,2744,test,1.604502326502748e-05,1.7600675850337755e-05
depth6,0.15,score_scale_radial,2114,test,1.2225546818807058e-05,1.0213275730859249e-05
depth6,0.15,score_scale_radial,843,test,1.674300506897507e-05,1.712447956761374e-05
depth6,0.15,score_scale_radial,3732,test,2.2237377773929368e-05,2.1060958008471135e-05
depth6,0.15,score_scale_radial,3823,test,2.009194901799229e-05,2.149332308314243e-05
depth6,0.15,score_scale_radial,2922,test,1.4516857159775036e-05,1.2769713639561402e-05
depth6,0.15,score_scale_radial,1517,test,1.4613249095153884e-05,1.5500897123399925e-05
depth6,0.15,score_scale_radial,1686,test,1.2228446806849313e-05,1.0642164032856362e-05
depth6,0.15,score_scale_radial,4998,test,1.2569773612440383e-05,1.3681225521937615e-05
depth6,0.15,score_scale_radial,151,test,9.300413991216148e-06,8.395385001129164e-06
depth6,0.15,score_scale_radial,3630,test,1.768681861024545e-05,1.9998515166620254e-05
depth6,0.15,score_scale_radial,1841,test,1.8188690017660813e-05,1.976851941358102e-05
depth6,0.15,score_scale_radial,3028,test,3.800793193710152e-05,4.986042767324486e-05
depth6,0.15,score_scale_radial,2347,test,1.4509665515871937e-05,1.4446228416954073e-05
depth6,0.15,score_scale_radial,4021,test,2.260312949650003e-05,1.8676890937180665e-05
depth8,0.15,score_scale,713,fit,8.206659151444763e-06,7.950736058545738e-06
depth8,0.15,score_scale,3623,fit,8.488876473729256e-06,8.790838257074474e-06
depth8,0.15,score_scale,3296,fit,2.005094149452214e-05,2.02835070880347e-05
depth8,0.15,score_scale,4345,fit,9.89845070810589e-06,1.058850040827128e-05
depth8,0.15,score_scale,2364,fit,1.5388147430751444e-05,1.6045667753083435e-05
depth8,0.15,score_scale,3510,fit,3.438568728855055e-05,3.3846973652385036e-05
depth8,0.15,score_scale,4640,fit,1.3440636833083558e-05,1.312205710226398e-05
depth8,0.15,score_scale,1298,fit,9.689782234233932e-06,9.939289927292956e-06
depth8,0.15,score_scale,708,fit,8.511104983997167e-06,8.741513303353208e-06
depth8,0.15,score_scale,1505,fit,5.583970788952657e-05,5.664728798419754e-05
depth8,0.15,score_scale,2304,fit,1.2814483590558604e-05,1.2822052728335363e-05
depth8,0.15,score_scale,307,fit,1.3929075273434336e-05,1.3388655625129571e-05
depth8,0.15,score_scale,4093,fit,1.0665455386572137e-05,1.0337415973290878e-05
depth8,0.15,score_scale,769,fit,2.1789629195727394e-05,2.255131700074874e-05
depth8,0.15,score_scale,3769,fit,9.73572630625607e-06,1.0052223561070904e-05
depth8,0.15,score_scale,1780,fit,2.159258847808136e-05,2.096166149954123e-05
depth8,0.15,score_scale,2797,test,1.6619709337913783e-05,1.663075740698132e-05
depth8,0.15,score_scale,2744,test,1.4623673318057134e-05,1.475831961423532e-05
depth8,0.15,score_scale,2114,test,8.007657053618284e-06,7.976216915236998e-06
depth8,0.15,score_scale,843,test,1.780152890712176e-05,1.7480277727637304e-05
depth8,0.15,score_scale,3732,test,1.4936939709538452e-05,1.4782212083963926e-05
depth8,0.15,score_scale,3823,test,1.565560731901503e-05,1.50974713288395e-05
depth8,0.15,score_scale,2922,test,1.1278328365061993e-05,1.074457943674031e-05
depth8,0.15,score_scale,1517,test,1.2326027109790097e-05,1.2765070570939921e-05
depth8,0.15,score_scale,1686,test,7.739757629189689e-06,8.035595976962309e-06
depth8,0.15,score_scale,4998,test,1.4449368600562267e-05,1.5603182528599602e-05
depth8,0.15,score_scale,151,test,7.941629168804186e-06,7.694026134262765e-06
depth8,0.15,score_scale,3630,test,1.693237275963429e-05,1.6251038245213424e-05
depth8,0.15,score_scale,1841,test,1.5553345479941755e-05,1.6037785634804925e-05
depth8,0.15,score_scale,3028,test,3.15871391987621e-05,3.202979982717132e-05
depth8,0.15,score_scale,2347,test,9.935880206901854e-06,1.0672901433865488e-05
depth8,0.15,score_scale,4021,test,1.84974169212132e-05,1.731076958358576e-05
depth8,0.15,radial,713,fit,8.103411941218543e-06,7.950736058545738e-06
depth8,0.15,radial,3623,fit,8.549428574059656e-06,8.790838257074474e-06
depth8,0.15,radial,3296,fit,2.0183300031394152e-05,2.02835070880347e-05
depth8,0.15,radial,4345,fit,1.0078085571150135e-05,1.058850040827128e-05
depth8,0.15,radial,2364,fit,1.5595774459488363e-05,1.6045667753083435e-05
depth8,0.15,radial,3510,fit,3.4275039037651644e-05,3.3846973652385036e-05
depth8,0.15,radial,4640,fit,1.3318408596297591e-05,1.312205710226398e-05
depth8,0.15,radial,1298,fit,9.71805039547195e-06,9.939289927292956e-06
depth8,0.15,radial,708,fit,8.558577604465859e-06,8.741513303353208e-06
depth8,0.15,radial,1505,fit,5.6440330868256345e-05,5.664728798419754e-05
depth8,0.15,radial,2304,fit,1.2829300429047015e-05,1.2822052728335363e-05
depth8,0.15,radial,307,fit,1.3757915282549238e-05,1.3388655625129571e-05
depth8,0.15,radial,4093,fit,1.0545862616711204e-05,1.0337415973290878e-05
depth8,0.15,radial,769,fit,2.2004267246644053e-05,2.255131700074874e-05
depth8,0.15,radial,3769,fit,9.817672043497594e-06,1.0052223561070904e-05
depth8,0.15,radial,1780,fit,2.1428807157109446e-05,2.096166149954123e-05
depth8,0.15,radial,2797,test,1.668413327832212e-05,1.663075740698132e-05
depth8,0.15,radial,2744,test,1.469983760952198e-05,1.475831961423532e-05
depth8,0.15,radial,2114,test,7.960954892125395e-06,7.976216915236998e-06
depth8,0.15,radial,843,test,1.7746662209866026e-05,1.7480277727637304e-05
depth8,0.15,radial,3732,test,1.4895905539807544e-05,1.4782212083963926e-05
depth8,0.15,radial,3823,test,1.548776958339622e-05,1.50974713288395e-05
depth8,0.15,radial,2922,test,1.1090428986804857e-05,1.074457943674031e-05
depth8,0.15,radial,1517,test,1.2443240303102715e-05,1.2765070570939921e-05
depth8,0.15,radial,1686,test,7.807515236798476e-06,8.035595976962309e-06
depth8,0.15,radial,4998,test,1.4797577035110562e-05,1.5603182528599602e-05
depth8,0.15,radial,151,test,7.851826995092175e-06,7.694026134262765e-06
depth8,0.15,radial,3630,test,1.679320824253321e-05,1.6251038245213424e-05
depth8,0.15,radial,1841,test,1.569679937259434e-05,1.6037785634804925e-05
depth8,0.15,radial,3028,test,3.184341895590557e-05,3.202979982717132e-05
depth8,0.15,radial,2347,test,1.0120012021227468e-05,1.0672901433865488e-05
depth8,0.15,radial,4021,test,1.8125431571414026e-05,1.731076958358576e-05
depth8,0.15,score_scale_radial,713,fit,9.413113906408165e-06,7.950736058545738e-06
depth8,0.15,score_scale_radial,3623,fit,9.074604285443487e-06,8.790838257074474e-06
depth8,0.15,score_scale_radial,3296,fit,1.7056755909537896e-05,2.02835070880347e-05
depth8,0.15,score_scale_radial,4345,fit,1.0167987264711383e-05,1.058850040827128e-05
depth8,0.15,score_scale_radial,2364,fit,1.406785543793068e-05,1.6045667753083435e-05
depth8,0.15,score_scale_radial,3510,fit,3.150556596517491e-05,3.3846973652385036e-05
depth8,0.15,score_scale_radial,4640,fit,1.5175556139244133e-05,1.312205710226398e-05
depth8,0.15,score_scale_radial,1298,fit,1.1553306456460988e-05,9.939289927292956e-06
depth8,0.15,score_scale_radial,708,fit,8.717259868000135e-06,8.741513303353208e-06
depth8,0.15,score_scale_radial,1505,fit,3.6002250854625706e-05,5.664728798419754e-05
depth8,0.15,score_scale_radial,2304,fit,1.3673745964035288e-05,1.2822052728335363e-05
depth8,0.15,score_scale_radial,307,fit,1.4874410337062708e-05,1.3388655625129571e-05
depth8,0.15,score_scale_radial,4093,fit,1.2075986756454567e-05,1.0337415973290878e-05
depth8,0.15,score_scale_radial,769,fit,2.1277649224012603e-05,2.255131700074874e-05
depth8,0.15,score_scale_radial,3769,fit,9.784342652267857e-06,1.0052223561070904e-05
depth8,0.15,score_scale_radial,1780,fit,2.009365614157707e-05,2.096166149954123e-05
depth8,0.15,score_scale_radial,2797,test,1.339679876791604e-05,1.663075740698132e-05
depth8,0.15,score_scale_radial,2744,test,1.266759969685829e-05,1.475831961423532e-05
depth8,0.15,score_scale_radial,2114,test,9.425457710454413e-06,7.976216915236998e-06
depth8,0.15,score_scale_radial,843,test,1.6133628824522048e-05,1.7480277727637304e-05
depth8,0.15,score_scale_radial,3732,test,1.5111267138804892e-05,1.4782212083963926e-05
depth8,0.15,score_scale_radial,3823,test,1.654809066824848e-05,1.50974713288395e-05
depth8,0.15,score_scale_radial,2922,test,1.2819751526790029e-05,1.074457943674031e-05
depth8,0.15,score_scale_radial,1517,test,1.2791643348851875e-05,1.2765070570939921e-05
depth8,0.15,score_scale_radial,1686,test,7.979655379955972e-06,8.035595976962309e-06
depth8,0.15,score_scale_radial,4998,test,1.2640295029901027e-05,1.5603182528599602e-05
depth8,0.15,score_scale_radial,151,test,8.38049753325191e-06,7.694026134262765e-06
depth8,0.15,score_scale_radial,3630,test,1.3842493656284193e-05,1.6251038245213424e-05
depth8,0.15,score_scale_radial,1841,test,1.4319248687377738e-05,1.6037785634804925e-05
depth8,0.15,score_scale_radial,3028,test,2.426723673485644e-05,3.202979982717132e-05
depth8,0.15,score_scale_radial,2347,test,1.0236601336118844e-05,1.0672901433865488e-05
depth8,0.15,score_scale_radial,4021,test,2.0520349620345133e-05,1.731076958358576e-05
depth10,0.15,score_scale,713,fit,3.68667903120452e-06,3.894395305282748e-06
depth10,0.15,score_scale,3623,fit,4.402778319925926e-06,4.802941160935445e-06
depth10,0.15,score_scale,3296,fit,8.051540426929893e-06,8.109759548372397e-06
depth10,0.15,score_scale,4345,fit,5.09525911164664e-06,5.220342802963125e-06
depth10,0.15,score_scale,2364,fit,5.355392122694082e-06,5.309517815023541e-06
depth10,0.15,score_scale,3510,fit,1.1950890492957326e-05,1.182921966899911e-05
depth10,0.15,score_scale,4640,fit,4.525632763789985e-06,4.7558021480031645e-06
depth10,0.15,score_scale,1298,fit,5.052316721754763e-06,5.564757607362397e-06
depth10,0.15,score_scale,708,fit,4.029244102122282e-06,4.217526393503269e-06
depth10,0.15,score_scale,1505,fit,2.0528335153248898e-05,2.0429967243192933e-05
depth10,0.15,score_scale,2304,fit,8.66199894174861e-06,8.638011457742327e-06
depth10,0.15,score_scale,307,fit,4.566344221290394e-06,4.857269628501422e-06
depth10,0.15,score_scale,4093,fit,4.408108874537426e-06,4.497913002585592e-06
depth10,0.15,score_scale,769,fit,8.349807225133194e-06,8.14297124231426e-06
depth10,0.15,score_scale,3769,fit,4.645742081758201e-06,4.715956768061213e-06
depth10,0.15,score_scale,1780,fit,1.0033848147010201e-05,9.836087439240932e-06
depth10,0.15,score_scale,2797,test,5.986694420747644e-06,6.041338616967454e-06
depth10,0.15,score_scale,2744,test,8.642421613096799e-06,8.98868689095436e-06
depth10,0.15,score_scale,2114,test,3.79417255206024e-06,4.019749570575339e-06
depth10,0.15,score_scale,843,test,7.112014703796536e-06,7.34285852065158e-06
depth10,0.15,score_scale,3732,test,6.963954062587468e-06,6.7513489558996446e-06
depth10,0.15,score_scale,3823,test,5.782941129221411e-06,5.687993755927535e-06
depth10,0.15,score_scale,2922,test,4.7914816940860895e-06,4.830403412238444e-06
depth10,0.15,score_scale,1517,test,4.781340874430375e-06,4.854914137445983e-06
depth10,0.15,score_scale,1686,test,4.078715290391577e-06,4.073774686799463e-06
depth10,0.15,score_scale,4998,test,8.742683457134839e-06,8.784037067533648e-06
depth10,0.15,score_scale,151,test,3.306039039643067e-06,3.425901359376872e-06
depth10,0.15,score_scale,3630,test,1.1729822817950709e-05,1.170564204219148e-05
depth10,0.15,score_scale,1841,test,6.620561053100364e-06,6.443445019493054e-06
depth10,0.15,score_scale,3028,test,1.5953723374135678e-05,1.623421094113604e-05
depth10,0.15,score_scale,2347,test,4.265033828119748e-06,4.46585695136641e-06
depth10,0.15,score_scale,4021,test,6.286005346921326e-06,6.225614151496004e-06
depth10,0.15,radial,713,fit,3.708939668433994e-06,3.894395305282748e-06
depth10,0.15,radial,3623,fit,4.464739762395531e-06,4.802941160935445e-06
depth10,0.15,radial,3296,fit,8.089221221145682e-06,8.109759548372397e-06
depth10,0.15,radial,4345,fit,5.112953804795576e-06,5.220342802963125e-06
depth10,0.15,radial,2364,fit,5.33390776093098e-06,5.309517815023541e-06
depth10,0.15,radial,3510,fit,1.196025261860577e-05,1.182921966899911e-05
depth10,0.15,radial,4640,fit,4.5642970317574385e-06,4.7558021480031645e-06
depth10,0.15,radial,1298,fit,5.12586735277027e-06,5.564757607362397e-06
depth10,0.15,radial,708,fit,4.047776876881639e-06,4.217526393503269e-06
depth10,0.15,radial,1505,fit,2.0735300985549097e-05,2.0429967243192933e-05
depth10,0.15,radial,2304,fit,8.752543893034384e-06,8.638011457742327e-06
depth10,0.15,radial,307,fit,4.611791262213471e-06,4.857269628501422e-06
depth10,0.15,radial,4093,fit,4.418967690990223e-06,4.497913002585592e-06
depth10,0.15,radial,769,fit,8.299821179977553e-06,8.14297124231426e-06
depth10,0.15,radial,3769,fit,4.63287639125854e-06,4.715956768061213e-06
