t,id,class_index,weight
0.15,2797,7,6.833669682976807e-18
0.15,2797,8,6.167101810054516e-18
0.15,2797,9,0.005206980381957039
0.15,2797,10,0.049530772661812286
0.15,2797,11,6.351306675659254e-18
0.15,2797,12,0.0
0.15,2797,13,0.044320240477715274
0.15,2797,14,0.0
0.15,2797,15,7.962506061093809e-19
0.15,2797,16,2.9066560983921925e-18
0.15,2797,17,0.0
0.15,2797,18,3.907645164225988e-18
0.15,2797,19,2.9410579215161313e-18
0.15,2797,20,3.2417451379159402e-18
0.15,2797,21,4.058844630363934e-18
0.15,2797,22,3.2489032466776996e-18
0.15,2797,23,0.0
0.15,2797,24,0.0
0.15,2797,25,0.03354483396266283
0.15,2797,26,8.5343030781572e-19
0.15,2797,27,5.535703468734072e-18
0.15,2797,28,0.0
0.15,2797,29,0.0
0.15,2797,30,3.804767279895826e-18
0.15,2797,31,0.0
0.15,2797,32,6.151088832497974e-19
0.15,2797,33,0.0
0.15,2797,34,0.00547209253017021
0.15,2797,35,0.041523429023904206
0.15,2797,36,0.0
0.15,2797,37,0.0
0.15,2797,38,0.0
0.15,2797,39,0.02104073961750058
0.15,2797,40,0.0
0.15,2797,41,0.0
0.15,2797,42,0.0
0.15,2797,43,0.0
0.15,2797,44,0.0
0.15,2797,45,1.43371516908823e-18
0.15,2797,46,1.1919362819691735e-18
0.15,2797,47,0.00161443754066761
0.15,2797,48,8.610610970139228e-19
0.15,2797,49,0.0
0.15,2797,50,0.019382159967601148
0.15,2797,51,0.10003420073008618
0.15,2797,52,0.0
0.15,2797,53,0.02325484989328964
0.15,2797,54,0.0328566313806041
0.15,2797,55,0.02225740883253739
0.15,2797,56,4.329084717093375e-18
0.15,2797,57,0.0
0.15,2797,58,0.0
0.15,2797,59,0.01069749777539047
0.15,2797,60,3.331233869040583e-18
0.15,2797,61,0.011651399075550373
0.15,2797,62,0.04266828266328123
0.15,2797,63,0.05205478819709695
0.15,2797,64,5.690208215538753e-18
0.15,2797,65,3.659303635795754e-18
0.15,2797,66,0.01527411212146204
0.15,2797,67,0.027206958880807156
0.15,2797,68,0.0
0.15,2797,69,0.0
0.15,2797,70,3.261987445964336e-18
0.15,2797,71,0.008861615586594906
0.15,2797,72,0.04896510253078967
0.15,2797,73,0.0
0.15,2797,74,0.0
0.15,2797,75,0.021362594601883254
0.15,2797,76,0.013131521737468139
0.15,2797,77,0.047210992207694744
0.15,2797,78,0.0
0.15,2797,79,6.154742882402835e-19
0.15,2797,80,0.052106195202332214
0.15,2797,81,1.1465806550549703e-18
0.15,2797,82,1.4972875233093734e-18
0.15,2797,83,1.4040845999365252e-18
0.15,2797,84,1.2915633978890843e-19
0.15,2797,85,0.06507133160752511
0.15,2797,86,0.012824181624287839
0.15,2797,87,0.0015272255375535012
0.15,2797,88,0.0
0.15,2797,89,0.02154750698194003
0.15,2797,90,6.945015589515778e-19
0.15,2797,91,0.005577016049589626
0.15,2797,92,0.001952563879321311
0.15,2797,93,0.0
0.15,2797,94,1.9581934686001973e-18
0.15,2797,95,0.0299285809442362
0.15,2797,96,0.005896820370498903
0.15,2797,97,2.1411940826870813e-18
0.15,2797,98,0.0
0.15,2797,99,4.106303428690513e-18
0.15,2744,0,0.0
0.15,2744,1,0.002005107701071217
0.15,2744,2,6.975235177390147e-19
0.15,2744,3,0.0
0.15,2744,4,3.3777174801937307e-18
0.15,2744,5,0.0
0.15,2744,6,0.019710195981232123
0.15,2744,7,0.0
0.15,2744,8,0.0008755857787522545
0.15,2744,9,0.0016310986391004324
0.15,2744,10,0.008559521597348163
0.15,2744,11,2.1615640420642058e-19
0.15,2744,12,1.5057946810339667e-18
0.15,2744,13,0.019691573951917337
0.15,2744,14,3.139279826907425e-19
0.15,2744,15,0.0
0.15,2744,16,0.018486831920544233
0.15,2744,17,0.0
0.15,2744,18,1.0111592685838422e-18
0.15,2744,19,0.0
0.15,2744,20,1.1388542619005027e-18
0.15,2744,21,0.0
0.15,2744,22,0.008701917815444543
0.15,2744,23,0.02953407975724759
0.15,2744,24,0.0
0.15,2744,25,1.4009454944850389e-18
0.15,2744,26,0.01741922997057694
0.15,2744,27,1.1202166120599856e-18
0.15,2744,28,0.05380390488514498
0.15,2744,29,0.0
0.15,2744,30,0.03231447713187399
0.15,2744,31,0.00194232452450654
0.15,2744,32,0.0
0.15,2744,33,0.0
0.15,2744,34,0.00872548020233812
0.15,2744,35,0.01308926801450633
0.15,2744,36,0.0043614500109633745
0.15,2744,37,0.0
0.15,2744,38,0.0
0.15,2744,39,0.0
0.15,2744,40,0.016326885116363155
0.15,2744,41,0.00043185503547546103
0.15,2744,42,0.0
0.15,2744,43,6.424410048228095e-18
0.15,2744,44,2.207585045994842e-19
0.15,2744,45,5.303852647772342e-19
0.15,2744,46,4.957819949906362e-19
0.15,2744,47,1.5040565700372442e-18
0.15,2744,48,0.029541698152787704
0.15,2744,49,0.05813818608599832
0.15,2744,50,0.008132055215048522
0.15,2744,51,0.015152685347788871
0.15,2744,52,0.03676570095138473
0.15,2744,53,2.2595015233205444e-19
0.15,2744,54,0.007447025117739868
0.15,2744,55,0.003115618467129225
0.15,2744,56,0.01389695715363577
0.15,2744,57,0.04815829719720689
0.15,2744,58,2.367139511689628e-18
0.15,2744,59,0.04962925397327078
0.15,2744,60,0.0022885054328545974
0.15,2744,61,0.0005640354252257105
0.15,2744,62,0.017795531073336226
0.15,2744,63,0.043150938125373774
0.15,2744,64,8.653159071026407e-19
0.15,2744,65,0.0
0.15,2744,66,0.021818156149962457
0.15,2744,67,0.0
0.15,2744,68,1.4169756616540532e-18
0.15,2744,69,0.011910110207004958
0.15,2744,70,0.0036980552815078444
0.15,2744,71,0.0016525579443468857
0.15,2744,72,0.006390815638605416
0.15,2744,73,0.014717309535360738
0.15,2744,74,0.008055812457777553
0.15,2744,75,0.006071874251980624
0.15,2744,76,0.01951400443195128
0.15,2744,77,0.0311340000316906
0.15,2744,78,0.008766043632932319
0.15,2744,79,0.04594936901195771
0.15,2744,80,0.022161593424521415
0.15,2744,81,0.0
0.15,2744,82,0.02108674486214446
0.15,2744,83,1.5576346291320344e-19
0.15,2744,84,0.013917486610957732
0.15,2744,85,0.04085141406973152
0.15,2744,86,0.0
0.15,2744,87,0.01626671007541296
0.15,2744,88,0.0
0.15,2744,89,0.03380207469589556
0.15,2744,90,0.007863906574772024
0.15,2744,91,0.0
0.15,2744,92,0.0
0.15,2744,93,0.006400196127153688
0.15,2744,94,0.031492097187543165
0.15,2744,95,7.052251317352283e-19
0.15,2744,96,1.4657028670262812e-19
0.15,2744,97,0.026375478957022813
0.15,2744,98,0.00871691308657844
0.15,2744,99,0.0
0.5,713,0,0.0
0.5,713,1,1.1697411825737105e-17
0.5,713,2,0.0
0.5,713,3,0.0
0.5,713,4,1.5598288959092044e-16
0.5,713,5,9.222449080513785e-18
0.5,713,6,0.0
0.5,713,7,0.05336489221750204
0.5,713,8,4.427200711359302e-17
0.5,713,9,0.0
0.5,713,10,2.7578919180780365e-17
0.5,713,11,5.5742826304075235e-18
0.5,713,12,2.5348303133859936e-17
0.5,713,13,0.14714849678178749
0.5,713,14,0.16739461949581855
0.5,713,15,0.036867072726916805
0.5,713,16,0.07920722586496345
0.5,713,17,0.06563173688755974
0.5,713,18,0.0
0.5,713,19,0.0
0.5,713,20,0.1331547660112375
0.5,713,21,3.3997886801631593e-19
0.5,713,22,1.5858602977375854e-17
0.5,713,23,0.0
0.5,713,24,3.015430172660104e-17
0.5,713,25,3.020424129782405e-17
0.5,713,26,0.08801219765392361
0.5,713,27,0.0
0.5,713,28,0.003920619485679382
0.5,713,29,0.0
0.5,713,30,0.0
0.5,713,31,0.0
0.5,713,32,0.0
0.5,713,33,3.48597556768046e-17
0.5,713,34,1.1746172441944779e-17
0.5,713,35,0.0
0.5,713,36,0.01110830137393732
0.5,713,37,9.495735605882903e-18
0.5,713,38,1.8059048703320348e-17
0.5,713,39,0.0
0.5,713,40,0.0
0.5,713,41,1.492107474925016e-17
0.5,713,42,0.07768250841526121
0.5,713,43,0.037567966959469005
0.5,713,44,0.0
0.5,713,45,1.5681770582032464e-18
0.5,713,46,4.7143543613292085e-17
0.5,713,47,2.441437424865815e-17
0.5,713,48,0.0
0.5,713,49,0.0
0.5,713,50,0.0
0.5,713,51,0.0
0.5,713,52,2.463466603818484e-18
0.5,713,53,0.0
0.5,713,54,0.09893959612594404
0.5,713,55,7.413961369274952e-18
0.5,713,56,3.166472998782845e-17
0.5,713,57,0.0
0.5,713,58,7.541536861305833e-19
0.5,713,59,0.0
0.5,713,60,0.0
0.5,713,61,0.0
0.5,713,62,1.4288492415266645e-17
0.5,713,63,0.0
0.5,713,64,7.762828412857133e-18
0.5,713,65,3.544862576559266e-17
0.5,713,66,2.2307387680811235e-17
0.5,713,67,0.0
0.5,713,68,0.0
0.5,713,69,3.807408156609422e-17
0.5,713,70,0.0
0.5,713,71,0.0
0.5,713,72,2.056714085641308e-17
0.5,713,73,0.0
0.5,713,74,5.7798815546644524e-18
0.5,713,75,1.3323382350546294e-17
0.5,713,76,2.848217137441927e-17
0.5,713,77,4.5301307661849245e-17
0.5,713,78,0.0
0.5,713,79,0.0
0.5,713,80,2.911946030615704e-18
0.5,713,81,0.0
0.5,713,82,4.584936550369885e-17
0.5,713,83,0.0
0.5,713,84,8.711248327715504e-18
0.5,713,85,6.0730172365678046e-18
0.5,713,86,2.0395322593715893e-17
0.5,713,87,5.294072857195197e-18
0.5,713,88,7.983826832951197e-18
0.5,713,89,0.0
0.5,713,90,0.0
0.5,713,91,0.0
0.5,713,92,0.0
0.5,713,93,0.0
0.5,713,94,1.2965528413953484e-17
0.5,713,95,8.75605072582081e-18
0.5,713,96,7.043622419378351e-18
0.5,713,97,0.0
0.5,713,98,2.02902183219837e-17
0.5,713,99,6.34017967356766e-18
0.5,3623,0,4.039078465055774e-17
0.5,3623,1,0.0
0.5,3623,2,0.0
0.5,3623,3,0.0
0.5,3623,4,0.0
0.5,3623,5,0.0
0.5,3623,6,0.0
0.5,3623,7,0.0
0.5,3623,8,0.0
0.5,3623,9,0.0
0.5,3623,10,3.769994677832846e-17
0.5,3623,11,3.6878665953465886e-17
0.5,3623,12,1.480818378188356e-17
0.5,3623,13,1.799415316048471e-17
0.5,3623,14,2.165514567517216e-17
0.5,3623,15,7.531653115861891e-18
0.5,3623,16,0.0
0.5,3623,17,0.0
0.5,3623,18,0.022076077062947858
0.5,3623,19,3.1203519810729e-17
0.5,3623,20,0.03570002562582607
0.5,3623,21,5.2734458473367805e-17
0.5,3623,22,0.0
0.5,3623,23,0.1291495801135285
0.5,3623,24,4.1904775697981285e-17
0.5,3623,25,0.030166799157254984
0.5,3623,26,0.08926700903168627
0.5,3623,27,8.278550791642574e-17
0.5,3623,28,0.013309173002878401
0.5,3623,29,0.09018083501809747
0.5,3623,30,0.012863277732966139
0.5,3623,31,4.387603446119241e-18
0.5,3623,32,0.0
0.5,3623,33,5.924632305210039e-17
0.5,3623,34,2.5453289817940575e-17
0.5,3623,35,6.355223522551055e-17
0.5,3623,36,6.956190843478756e-17
0.5,3623,37,1.197159107653096e-17
0.5,3623,38,0.0
0.5,3623,39,0.0
0.5,3623,40,1.7813611895467843e-17
0.5,3623,41,4.5854006742765627e-17
0.5,3623,42,0.0
0.5,3623,43,0.0
0.5,3623,44,0.0
0.5,3623,45,0.009686908124232745
0.5,3623,46,2.6464115530064058e-17
0.5,3623,47,9.156041358821494e-17
0.5,3623,48,2.377169507177451e-17
