seed,time,condition_a,condition_b,comparison,paired_rms,baseline_projection_scale,rbf_bandwidth,swd_mean,swd_std,linear_mmd2_mean,linear_mmd2_std,c2st_auc_mean,c2st_auc_std,swd_mean_excess_over_split_null,linear_mmd2_mean_excess_over_split_null,c2st_auc_mean_excess_over_split_null
1,0.85,baseline,factorized_g2p5_r1p35,cross_condition,0.3283966183662414,0.720085620880127,5.566220578962501,0.0819914981107771,0.0020028033730192,0.0003588723053132,0.0051111400444349,,,-0.0012509529883525383,0.00282735021310535,
1,0.85,baseline,factorized_g3_r1,cross_condition,0.2171933501958847,0.720085620880127,5.566220578962501,0.0689395495371715,0.002450919339391,0.0003180317388647,0.0074383714439474,,,-0.014157461511753552,0.0028230726198932004,
1,0.85,baseline,closed_g3,cross_condition,0.2534071207046509,0.720085620880127,5.566220578962501,0.0702914464823968,0.0026163819667642,0.0017447786413425,0.0070199084206583,,,-0.011155524907273506,0.00520494602507035,
1,0.85,factorized_g1_r1p5,factorized_g1p5_r1p35,cross_condition,0.0620443001389503,0.720085620880127,5.566220578962501,0.0637362980164454,0.0021672638986353,-0.0017414246244955,0.0089952946835167,,,-0.019372237608168003,-0.00352590367962035,
1,0.85,factorized_g1_r1p5,factorized_g2_r1p35,cross_condition,0.1085380688309669,0.720085620880127,5.566220578962501,0.0644020502005109,0.0020829306578255,-0.003125170821657,0.011567971758182,,,-0.019773577388494543,-0.006333540206026949,
1,0.85,factorized_g1_r1p5,factorized_g2p5_r1p35,cross_condition,0.1559199839830398,0.720085620880127,5.566220578962501,0.0694816087474933,0.0017374032787599,-0.0017978836520268,0.0078155578992052,,,-0.015328951814732192,-0.00175006917153925,
1,0.85,factorized_g1_r1p5,factorized_g3_r1,cross_condition,0.1541712433099746,0.720085620880127,5.566220578962501,0.0628161135167493,0.0023327852553633,0.0019432685694054,0.0058272812941454,,,-0.02184900699527159,0.0020276460231293,
1,0.85,factorized_g1_r1p5,closed_g3,cross_condition,0.2001742571592331,0.720085620880127,5.566220578962501,0.0673538658416668,0.0038383429910708,0.0039216816065032,0.006292236728366,,,-0.01566121501109935,0.00496118556292645,
1,0.85,factorized_g1p5_r1p35,factorized_g2_r1p35,cross_condition,0.0770168378949165,0.720085620880127,5.566220578962501,0.0650375062930964,0.0027636438380815,-0.0030704791301856,0.0077210346626259,,,-0.019060123457567746,-0.005851956459178799,
1,0.85,factorized_g1p5_r1p35,factorized_g2p5_r1p35,cross_condition,0.1304941177368164,0.720085620880127,5.566220578962501,0.0681715532911628,0.0023183214630337,-0.0052300164914061,0.0052362632488905,,,-0.016561009432721402,-0.0047553099555418,
1,0.85,factorized_g1p5_r1p35,factorized_g3_r1,cross_condition,0.1135568544268608,0.720085620880127,5.566220578962501,0.0657493521448594,0.0034342955635234,0.0004780031636452,0.0046475971289481,,,-0.0188377705288202,0.00098927267274585,
