state_id,t,horizon,alpha,gap_norm,gap_transport_error,exact_carrier_endpoint_error,linear_write_endpoint_error
1,0.0,0.7,0.25,0.7454483246727879,2.7755575615628914e-17,2.168861597624289e-14,0.001020943815647879
1,0.0,0.7,0.5,0.7454483246727879,2.7755575615628914e-17,2.154621196681034e-14,0.004083775262526623
1,0.0,0.7,1.0,0.7454483246727879,2.7755575615628914e-17,2.8649754549883386e-14,0.01633510105004876
1,0.0,0.7,2.0,0.7454483246727879,2.7755575615628914e-17,3.0311579354912414e-14,0.06534040420011089
1,0.3,0.2,0.25,0.5857800936354355,7.850462293418876e-17,9.619459469222108e-15,9.491263633731872e-05
1,0.3,0.2,0.5,0.5857800936354355,7.850462293418876e-17,9.66149221397011e-15,0.00037965054532063114
1,0.3,0.2,1.0,0.5857800936354355,7.850462293418876e-17,9.215519889170635e-15,0.0015186021812532147
1,0.3,0.2,2.0,0.5857800936354355,7.850462293418876e-17,8.327829086705872e-15,0.006074408724984326
1,0.3,0.7,0.25,0.5857800936354355,2.7755575615628914e-17,4.054200409646983e-14,0.0006708078873074452
1,0.3,0.7,0.5,0.5857800936354355,2.7755575615628914e-17,2.2664887625809782e-14,0.002683231549091003
1,0.3,0.7,1.0,0.5857800936354355,2.7755575615628914e-17,2.587177362828113e-14,0.010732926196299175
1,0.3,0.7,2.0,0.5857800936354355,2.7755575615628914e-17,2.853467563692507e-14,0.042931704785121816
2,0.0,0.2,0.25,0.6001095127400549,2.0816681711721685e-17,4.3520742565306136e-14,0.00014445338358992643
2,0.0,0.2,0.5,0.6001095127400549,2.0816681711721685e-17,4.796369058830623e-14,0.0005778135344849389
2,0.0,0.2,1.0,0.6001095127400549,2.0816681711721685e-17,1.0770880041763767e-14,0.002311254138121388
2,0.0,0.2,2.0,0.6001095127400549,2.0816681711721685e-17,3.064537334844551e-14,0.009245016552558383
2,0.0,0.7,0.25,0.6001095127400549,0.0,1.3678109870329564e-13,0.0010209438154895611
2,0.0,0.7,0.5,0.6001095127400549,0.0,1.2901269258050264e-13,0.0040837752623761325
2,0.0,0.7,1.0,0.6001095127400549,0.0,1.054209231621824e-13,0.016335101049915313
2,0.0,0.7,2.0,0.6001095127400549,0.0,7.729193771176087e-14,0.06534040420015774
2,0.3,0.2,0.25,0.4868841452520956,8.551764481076296e-17,4.196643033083092e-14,9.491263628569335e-05
2,0.3,0.2,0.5,0.4868841452520956,8.551764481076296e-17,5.0850153745045333e-14,0.000379650545260235
2,0.3,0.2,1.0,0.4868841452520956,8.551764481076296e-17,3.5766416726155605e-14,0.0015186021812081396
2,0.3,0.2,2.0,0.4868841452520956,8.551764481076296e-17,1.130575599193137e-13,0.006074408725088576
2,0.3,0.7,0.25,0.4868841452520956,1.5612511283791264e-17,1.361155614358814e-13,0.0006708078871309198
2,0.3,0.7,0.5,0.4868841452520956,1.5612511283791264e-17,1.2479030264039021e-13,0.0026832315489433434
2,0.3,0.7,1.0,0.4868841452520956,1.5612511283791264e-17,1.224047947609726e-13,0.01073292619615085
2,0.3,0.7,2.0,0.4868841452520956,1.5612511283791264e-17,3.269463361297709e-13,0.042931704785419855
3,0.0,0.2,0.25,0.9075380973762615,1.1102230246251565e-16,8.940053240787483e-15,0.00014445338364227345
3,0.0,0.2,0.5,0.9075380973762615,1.1102230246251565e-16,9.106536260365895e-15,0.0005778135345418933
3,0.0,0.2,1.0,0.9075380973762615,1.1102230246251565e-16,8.215650382226158e-15,0.002311254138140151
3,0.0,0.2,2.0,0.9075380973762615,1.1102230246251565e-16,8.216400498674398e-15,0.009245016552535956
3,0.0,0.7,0.25,0.9075380973762615,0.0,1.955127648994194e-14,0.001020943815645825
3,0.0,0.7,0.5,0.9075380973762615,0.0,2.5990840306802545e-14,0.004083775262530953
3,0.0,0.7,1.0,0.9075380973762615,0.0,2.647975012557614e-14,0.016335101050046597
3,0.0,0.7,2.0,0.9075380973762615,0.0,3.6083785499453464e-14,0.06534040420011655
3,0.3,0.2,0.25,0.7118825057598869,5.551115123125783e-17,9.217525952370938e-15,9.491263633687463e-05
3,0.3,0.2,0.5,0.7118825057598869,5.551115123125783e-17,9.048317650695026e-15,0.0003796505453199095
3,0.3,0.2,1.0,0.7118825057598869,5.551115123125783e-17,8.770761894538737e-15,0.0015186021812526596
3,0.3,0.2,2.0,0.7118825057598869,5.551115123125783e-17,8.107669216110732e-15,0.006074408724984104
3,0.3,0.7,0.25,0.7118825057598869,2.7755575615628914e-17,1.8929628145658634e-14,0.0006708078872860734
3,0.3,0.7,0.5,0.7118825057598869,2.7755575615628914e-17,2.2483112738488026e-14,0.0026832315490907255
3,0.3,0.7,1.0,0.7118825057598869,2.7755575615628914e-17,2.625700925079136e-14,0.010732926196299564
3,0.3,0.7,2.0,0.7118825057598869,2.7755575615628914e-17,3.019827035422946e-14,0.042931704785123426
4,0.0,0.2,0.25,0.6091915229667463,1.3877787807814457e-17,1.2379484572418056e-14,0.00014445338364565963
4,0.0,0.2,0.5,0.6091915229667463,1.3877787807814457e-17,1.1659456277311549e-14,0.0005778135345446689
4,0.0,0.2,1.0,0.6091915229667463,1.3877787807814457e-17,9.276343563884516e-15,0.0023112541381412055
4,0.0,0.2,2.0,0.6091915229667463,1.3877787807814457e-17,6.772360450213455e-15,0.009245016552534513
4,0.0,0.7,0.25,0.6091915229667463,1.3877787807814457e-17,2.51745518943184e-14,0.0010209438156514317
