arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,sfid,inception_score,independent_top1,independent_target_probability,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,complete
semantic_contract_control_01,,semantic_contract_control,semantic_contract,control,heun64,0.75,0.8,True,47.868194719809935,210.2923825083185,53.396507263183594,0.8040000200271606,0.6931288242340088,484.0,0.0,8.0,8.0,452.88908701064065,True
cfg_sde_native_01,,cfg_sde_native,native_sde,native,sde_tail64,1.25,0.0,False,47.752143163492974,215.54567918822875,64.19126892089844,0.8659999966621399,0.7789514660835266,128.0,0.0,0.0,0.0,102.97100873570889,True
full_root_control_02,,full_root_control,full_root,control,heun64,1.25,0.5,False,45.4859450966232,208.10694693336495,63.0045280456543,0.859000027179718,0.7800599336624146,740.0,0.0,0.0,0.0,503.3348242617212,True
full_root_control_03,,full_root_control,full_root,control,heun64,1.25,1.0,False,45.51310767437428,208.1540520695936,63.17609786987305,0.8579999804496765,0.7787864804267883,740.0,0.0,0.0,0.0,501.78916796762496,True
fsg_operator_control_02,,fsg_operator_control,fsg_operator_control,control,heun64,1.25,0.0625,False,54.199889657468304,206.3412388608458,68.93600463867188,0.9390000104904175,0.8835031986236572,260.0,0.0,0.0,0.0,192.69631803268567,True
fsg_operator_control_03,,fsg_operator_control,fsg_operator_control,control,heun64,1.25,0.125,False,53.849953934240034,205.40893817355436,69.02666473388672,0.9309999942779541,0.8696244359016418,260.0,0.0,0.0,0.0,192.3834999781102,True
semantic_contract_control_02,,semantic_contract_control,semantic_contract,control,heun64,1.25,0.5,True,45.44036472812343,208.0046000454107,64.15892028808594,0.8659999966621399,0.7837011814117432,484.0,0.0,8.0,8.0,452.2944481265731,True
semantic_contract_control_03,,semantic_contract_control,semantic_contract,control,heun64,1.25,0.8,True,45.48677397884063,208.017256226501,64.18958282470703,0.8650000095367432,0.7847949266433716,484.0,0.0,8.0,8.0,452.9928083564155,True
cfg_sde_native_02,,cfg_sde_native,native_sde,native,sde_tail64,1.75,0.0,False,49.2160654503557,211.69660636592369,68.1522445678711,0.906000018119812,0.830597996711731,128.0,0.0,0.0,0.0,103.087994732894,True
full_root_control_04,,full_root_control,full_root,control,heun64,1.75,0.5,False,47.38827637604339,207.3324650760785,67.80023193359375,0.9010000228881836,0.830763041973114,740.0,0.0,0.0,0.0,501.6657826541923,True
full_root_control_05,,full_root_control,full_root,control,heun64,1.75,1.0,False,47.515636308845046,207.27757624084575,68.01994323730469,0.9020000100135803,0.8313760757446289,740.0,0.0,0.0,0.0,503.44109341921285,True
fsg_operator_control_04,,fsg_operator_control,fsg_operator_control,control,heun64,1.75,0.0625,False,60.768382600096515,207.48188622197426,71.54663848876953,0.9459999799728394,0.8990423679351807,260.0,0.0,0.0,0.0,192.30557387322187,True
fsg_operator_control_05,,fsg_operator_control,fsg_operator_control,control,heun64,1.75,0.125,False,60.68223672174054,206.6464421898654,70.6337661743164,0.9520000219345093,0.9047828316688538,260.0,0.0,0.0,0.0,195.24262519506738,True
semantic_contract_control_04,,semantic_contract_control,semantic_contract,control,heun64,1.75,0.5,True,47.60629559651784,206.92643063510207,67.0726089477539,0.9089999794960022,0.8362247347831726,484.0,0.0,8.0,8.0,454.7636868050322,True
semantic_contract_control_05,,semantic_contract_control,semantic_contract,control,heun64,1.75,0.8,True,47.751725497934444,207.0528670725712,66.96765899658203,0.9089999794960022,0.8371131420135498,484.0,0.0,8.0,8.0,454.9107660232112,True
cfg_sde_native_03,,cfg_sde_native,native_sde,native,sde_tail64,2.25,0.0,False,52.07193872247706,210.1232830247361,70.43912506103516,0.9190000295639038,0.8658621311187744,128.0,0.0,0.0,0.0,109.10197440953925,True
full_root_control_06,,full_root_control,full_root,control,heun64,2.25,0.5,False,50.87891778864457,207.2580593545639,70.31770324707031,0.9229999780654907,0.8667067885398865,740.0,0.0,0.0,0.0,507.3840273609385,True
full_root_control_07,,full_root_control,full_root,control,heun64,2.25,1.0,False,51.05828796184909,207.24488302949953,70.32340240478516,0.921999990940094,0.8669173717498779,740.0,0.0,0.0,0.0,504.4103800067678,True
