time,future_time,metric,samples,samples_per_class,total_energy,class_constant_energy,state_varying_energy,class_constant_fraction,recomposition_error,unbiased_class_constant_energy,unbiased_state_varying_energy,unbiased_class_constant_fraction,unbiased_recomposition_error
0.2,0.23125,degree2_common,12800,128,9.990413011982134e-05,1.6043338797984817e-05,8.386079132183654e-05,0.16058734287304263,1.3552527156068805e-20,1.5383017606474294e-05,8.452111251334705e-05,0.15397779439172804,0.0
0.2,0.23125,degree2_unique,12800,128,0.0012944038510561812,0.00012845808172509617,0.001165945769331085,0.09924111522094095,0.0,0.0001192774063760325,0.0011751264446801485,0.09214852557701135,2.168404344971009e-19
0.3,0.33125,raw_revision,12800,128,0.002155970907599623,0.00025178839395812466,0.0019041825136414986,0.11678654525002677,0.0,0.00023679483085858532,0.0019191760767410379,0.10983210859845217,0.0
0.3,0.33125,degree1_defect,12800,128,0.00513552482874015,0.0001741589186082841,0.004961365910131866,0.03391258428615345,0.0,0.00013509304530015916,0.0050004317834399905,0.02630559676084757,8.673617379884035e-19
0.3,0.33125,degree1_common,12800,128,0.0002781193900619593,9.453295605822012e-06,0.0002686660944561373,0.03399006305786882,0.0,7.337814547112269e-06,0.0002707815755148471,0.026383685601631564,5.421010862427522e-20
0.3,0.33125,degree1_unique,12800,128,0.0018778515169759285,0.00018420358607742132,0.0016936479308985073,0.09809273225929,2.168404344971009e-19,0.0001708677755979055,0.001706983741378023,0.09099110022983559,0.0
0.3,0.33125,degree2_defect,12800,128,0.0017073290823731275,0.0002006866183764482,0.0015066424639966795,0.11754419253346333,2.168404344971009e-19,0.00018882329188828534,0.0015185057904848422,0.11059572160852997,0.0
0.3,0.33125,degree2_common,12800,128,0.00027972513053825337,3.371521844644361e-05,0.00024600991209180974,0.12052981575723294,0.0,3.177813252446085e-05,0.00024794699801379246,0.11360485367658121,5.421010862427522e-20
0.3,0.33125,degree2_unique,12800,128,0.001876245776511513,0.0001484730825446782,0.001727772693966835,0.07913306689528324,2.168404344971009e-19,0.00013486857314336454,0.0017413772033681484,0.07188214616217523,0.0
0.4,0.43125,raw_revision,12800,128,0.003541377526862691,0.00026406462185393976,0.003277312905008751,0.07456551013014272,0.0,0.00023825900842867402,0.003303118518434017,0.06727862438313598,0.0
0.4,0.43125,degree1_defect,12800,128,0.008335745030175305,0.0002431953946713592,0.008092549635503947,0.029175004008759213,1.734723475976807e-18,0.00017947453139967464,0.008156270498775632,0.021530712701741575,1.734723475976807e-18
0.4,0.43125,degree1_common,12800,128,3.619032602415443e-05,1.0124080293553384e-06,3.517791799479909e-05,0.02797454846578694,0.0,7.354165490813296e-07,3.54549094750731e-05,0.020320804752919114,6.776263578034403e-21
0.4,0.43125,degree1_unique,12800,128,0.0035051872008213755,0.00024066943748257132,0.0032645177633388043,0.06866093697539889,0.0,0.000214964573204313,0.0032902226276170627,0.06132755852638628,4.336808689942018e-19
0.4,0.43125,degree2_defect,12800,128,0.002050595636859407,0.00015476689786490642,0.0018958287389945004,0.0754741183892988,2.168404344971009e-19,0.000139839112518493,0.0019107565243409136,0.0681943870380334,4.336808689942018e-19
0.4,0.43125,degree2_common,12800,128,0.0005076386262625498,3.776056748571997e-05,0.0004698780587768299,0.07438474050670502,5.421010862427522e-20,3.4060740251256745e-05,0.00047357788601129307,0.06709643137683655,5.421010862427522e-20
0.4,0.43125,degree2_unique,12800,128,0.0030337389008329705,0.00012921348253650786,0.0029045254182964624,0.04259215666220644,4.336808689942018e-19,0.00010634320365228373,0.0029273956971806866,0.03505351222647578,0.0
