sample_index,run_index,global_seed,class_slot,class_id,pred_xstart_cond_uncond_disagreement_rms_channel4__q1_centered_cusum_range,cfg_variance_raw_gap_tile4x4_concentration_guided3__q2_max_positive_jump,fixed_two_phase_predicted_clean_score_label_free_reference,learned_range_cond_minus_uncond_logstd_gap_tile4x4_concentration_guided3__q2_max_positive_jump,weak_conditional_cfg1_full_running_max_log_e_from_E0__full_maximum,weak_conditional_cfg1_tile4x4_uniform_mixture_running_max_log_e_from_E0__full_maximum,weak_unconditional_full_running_max_log_e_from_E0__full_maximum,weak_unconditional_tile4x4_uniform_mixture_running_max_log_e_from_E0__full_maximum,z_A_low_is_bad,z_B_high_is_bad,S_AND
128,16,26,0,207,4.959672548865252,0.0208008838072855,0.6184712064567738,0.0207991669578535,0.2438379854291788,0.0179156868095049,0.3253237932209386,0.0250223320999777,1.2782468082834197,2.836893638897291,1.2782468082834197
133,16,26,5,602,1.6799237133125742,0.1161476096369838,0.9048291822312872,0.1161257437479209,0.3555602585538351,0.1003998117098223,0.41628787044411,0.0967866459817525,-0.7901097083755788,-2.056073974084067,-2.056073974084067
134,16,26,6,795,2.8992579552367346,0.0654712461678848,0.1336336615955439,0.0654106296516447,0.6850422762818645,0.5064872938845232,1.1074670035322234,0.8171298951554875,-0.7027839113496321,-0.38857476898791987,-0.7027839113496321
136,17,27,0,207,2.4566274444363185,0.0453516563376021,-0.3275065006934853,0.0454000015761148,0.0,0.4175991748128382,0.0,0.6448851636765538,0.08339619518553298,-0.3071253813515233,-0.3071253813515233
141,17,27,5,602,6.162331695134516,0.0691577667507702,0.4674886847257654,0.0691613129435152,0.0,0.1531733921261306,0.0,0.197354709050431,0.7381208006347908,5.16769312585915,0.7381208006347908
142,17,27,6,795,3.2941243785536702,0.0543370199517209,-0.032508330280802,0.0543386524043907,2.1071028817429167,0.2664121148750562,3.119484524846821,0.3863055522634228,-0.21722203408002427,-0.002037398386598532,-0.21722203408002427
144,18,28,0,207,2.5775231954217435,0.0357236490273878,-0.1388317617246839,0.0358041314430816,1.2940402710629524,0.1599947481117138,1.7766961787763205,0.1904152157314003,0.549462956316939,-0.15527093019006116,-0.15527093019006116
149,18,28,5,602,3.312136240394682,0.1118692135042057,0.8167028297513683,0.1118544567906254,0.8403926033563649,1.340122210196097,0.5829876049143435,1.5890655060671572,-0.6511213095155484,0.5743700196503881,-0.6511213095155484
150,18,28,6,795,2.210435589973026,0.0807729449200018,-1.2221342579289711,0.0807203231917071,0.129842539768999,0.262669322807687,0.3318387638191469,0.2420876101442965,-1.3741909572391802,-1.0628675681675286,-1.3741909572391802
152,19,29,0,207,1.8983362754889692,0.0758252290064094,-0.3070093567529773,0.0756960073789522,4.240529899777347,1.469774077220246,4.240817275552125,1.864314116853328,-1.3880661218314105,-1.008382442561323,-1.3880661218314105
157,19,29,5,602,5.2049258382681245,0.1174001599177831,0.2776953424385193,0.1173611438966965,0.42606915253381,0.2920109452113655,0.5033489582206006,0.4312609817839465,-0.8303098378322253,3.624755276789632,-0.8303098378322253
158,19,29,6,795,9.705303085680171,0.0635374331559494,0.4459086240290671,0.0635793945649201,0.3034758315787377,0.3554227782874093,0.4216201073275422,0.6813142217114949,-0.6224750445072171,6.2739081203307165,-0.6224750445072171
