noisy_state,conditional_mean,null_mean,linear_guidance,probability_guidance
-1.534999999999999920e+00,-9.871535079178148653e-01,-9.956994201844218129e-01,-9.764711175845564028e-01,-9.502218533447793769e-01
-1.530000000000000027e+00,-9.868956919542392070e-01,-9.956127332865825075e-01,-9.759993902888099981e-01,-9.492417889328965686e-01
-1.524999999999999911e+00,-9.866327366931912923e-01,-9.955243029574473157e-01,-9.755182788628713464e-01,-9.482429404792581673e-01
-1.520000000000000018e+00,-9.863645410985972806e-01,-9.954340942929938985e-01,-9.750275996056014804e-01,-9.472249683038357349e-01
-1.515000000000000124e+00,-9.860910022052155055e-01,-9.953420716969064719e-01,-9.745271653406015755e-01,-9.461875273913971096e-01
-1.510000000000000009e+00,-9.858120150841266360e-01,-9.952481988671100233e-01,-9.740167853553973742e-01,-9.451302673403390031e-01
-1.504999999999999893e+00,-9.855274728076991453e-01,-9.951524387820520623e-01,-9.734962653397580823e-01,-9.440528323124691701e-01
-1.500000000000000000e+00,-9.852372664140311986e-01,-9.950547536867305753e-01,-9.729654073231570610e-01,-9.429548609838156459e-01
-1.495000000000000107e+00,-9.849412848708617441e-01,-9.949551050784607442e-01,-9.724240096113627718e-01,-9.418359864965472061e-01
-1.489999999999999991e+00,-9.846394150389519151e-01,-9.948534536923793192e-01,-9.718718667221677432e-01,-9.406958364121006388e-01
-1.484999999999999876e+00,-9.843315416349284197e-01,-9.947497594866796522e-01,-9.713087693202395734e-01,-9.395340326655937657e-01
-1.479999999999999982e+00,-9.840175471935889151e-01,-9.946439816275739476e-01,-9.707345041511075134e-01,-9.383501915216306832e-01
-1.475000000000000089e+00,-9.836973120296667039e-01,-9.945360784739779580e-01,-9.701488539742775252e-01,-9.371439235315875971e-01
-1.469999999999999973e+00,-9.833707141990516432e-01,-9.944260075619154593e-01,-9.695515974954718175e-01,-9.359148334924878299e-01
-1.464999999999999858e+00,-9.830376294594632691e-01,-9.943137255886341785e-01,-9.689425092979995213e-01,-9.346625204075684756e-01
-1.459999999999999964e+00,-9.826979312305781367e-01,-9.941991883964316212e-01,-9.683213597732613920e-01,-9.333865774486440614e-01
-1.455000000000000071e+00,-9.823514905536067099e-01,-9.940823509561855786e-01,-9.676879150503832072e-01,-9.320865919203898953e-01
-1.449999999999999956e+00,-9.819981760503179169e-01,-9.939631673505832099e-01,-9.670419369249860786e-01,-9.307621452266466866e-01
-1.444999999999999840e+00,-9.816378538815127008e-01,-9.938415907570453678e-01,-9.663831827870967839e-01,-9.294128128388834398e-01
