scale,solver_index_in_ig_interval,time,delta_t,paired_nmse,paired_nrmse
0.92,35,0.9369369149208069,0.0026303675938713633,0.43137581058326446,0.6567920603838512
0.92,36,0.9343065619468689,0.002698436256189485,0.4237577284351126,0.6509667644627586
0.92,37,0.9316081404685974,0.0027691817760147064,0.4162419571136795,0.6451681618877977
0.92,38,0.9288389682769775,0.002842746377275107,0.4089848646768149,0.6395192449620378
0.92,39,0.9259961843490601,0.002919281856663347,0.4017610159616178,0.6338462084461954
0.92,40,0.9230769276618958,0.0029989503673714113,0.394639483323257,0.6282033773574104
0.92,41,0.9200779795646667,0.003081925278721531,0.38762970025256877,0.6225991489333798
0.92,42,0.9169960618019104,0.0031683921202089183,0.3807622452704484,0.6170593531180355
0.92,43,0.913827657699585,0.0032585496195642882,0.37383748053321325,0.6114225057464054
0.92,44,0.9105691313743591,0.003352610845696047,0.36702691935303794,0.6058274666545236
0.92,45,0.907216489315033,0.003450804468791757,0.3602907125495504,0.6002422115692552
0.92,46,0.9037656784057617,0.0035533761515159634,0.35365537142155,0.5946893066312442
0.92,47,0.900212287902832,0.003660590087122162,0.3470513850959671,0.5891106730453686
0.92,48,0.8965517282485962,0.0037727307024824075,0.3404275411268901,0.583461687796971
0.92,49,0.8927789926528931,0.0038901045465596917,0.3338391993092738,0.5777881958895265
0.92,50,0.8888888955116272,0.004013042387760124,0.3272889430629144,0.5720917260919917
0.92,51,0.8848758339881897,0.004141901547000226,0.3207901114508239,0.5663833608527213
0.92,52,0.8807339668273926,0.004277068497251957,0.31436055021705195,0.5606786514725275
0.92,53,0.8764568567276001,0.0044189617649335045,0.3079305217167568,0.5549148779017884
0.92,54,0.8720378875732422,0.0045680351738708325,0.30159980141033926,0.5491810279045874
0.92,55,0.8674699068069458,0.004724781478856466,0.29530151436509733,0.5434165201437083
0.92,56,0.8627451062202454,0.004889736443205672,0.28905486545250025,0.5376382291583256
0.92,57,0.8578553795814514,0.005063483423421222,0.2829001053777994,0.5318835449398669
0.92,58,0.8527919054031372,0.005246658534345916,0.27677562150543017,0.5260946887257371
0.92,59,0.8475452065467834,0.005439956480348229,0.2707259689308817,0.5203133372602337
0.92,60,0.8421052694320679,0.005644137152532758,0.2647547912042661,0.514543284092083
0.92,61,0.8364611268043518,0.005860033109187146,0.2588694136161914,0.5087921123761565
0.92,62,0.8306010961532593,0.006088558077233297,0.25307255473128765,0.5030631717103605
0.92,63,0.8245125412940979,0.006330716637123368,0.24731917581416812,0.49731195020245406
0.92,64,0.8181818127632141,0.006587615283267345,0.24164914873617985,0.49157822239820576
0.92,65,0.8115941882133484,0.006860475087899887,0.2360426259492845,0.48584218214280706
0.92,66,0.8047337532043457,0.007150646239653891,0.23050803234448053,0.48011252050376746
0.92,67,0.7975831031799316,0.007459624780873586,0.22501286097602025,0.4743552054905904
0.92,68,0.790123462677002,0.007789071932079228,0.21963376913819208,0.4686510099617754
0.92,69,0.7823343873023987,0.008140836470947432,0.21432872153436663,0.46295650069349564
0.92,70,0.774193525314331,0.008516980730331025,0.2090873703365182,0.4572607246817927
0.92,71,0.7656765580177307,0.008919810900008929,0.20393200276536047,0.45158831114784237
0.92,72,0.7567567825317383,0.009351912466099344,0.1988283472652672,0.4459017237747206
0.92,73,0.7474048733711243,0.009816191808387997,0.19377142119035176,0.4401947537060747
0.92,74,0.73758864402771,0.010315925209542165,0.18876433871982287,0.43447018162334555
0.92,75,0.7272727489471436,0.01085481682496603,0.18379967322856522,0.42871864110225627
0.92,76,0.7164179086685181,0.011437067535883916,0.17887159809279554,0.42293214360319736
0.92,77,0.7049808502197266,0.012067457085105704,0.17398256216853386,0.41711216976795806
0.92,78,0.6929134130477905,0.012751442506933497,0.16912188729603275,0.4112443158221555
0.92,79,0.6801619529724121,0.013495276653171517,0.16425921755149683,0.40528905431987283
0.92,80,0.6666666865348816,0.014306151645207432,0.15939907247474877,0.39924813396526826
0.92,81,0.6523604989051819,0.015192373428538852,0.15451732021297823,0.3930869117803062
0.92,82,0.6371681690216064,0.016163575382874718,0.1496129079554251,0.3867982781184853
0.92,83,0.621004581451416,0.017230981304385273,0.14466671830605926,0.38035078323313504
0.92,84,0.6037735939025879,0.018407731247123693,0.13966604884364894,0.3737192112317066
0.92,85,0.5853658318519592,0.019709288001970915,0.13457099334366848,0.36683919275844623
