weak,t,id,split,fit_type,delta,tau,squared_residual,squared_gap
depth6,0.15,708,fit,finite_signed,0.001,0.03211111111111112,9.207629205382082e-06,9.177444545461867e-06
depth6,0.15,1505,fit,finite_signed,0.001,0.03211111111111112,6.319176176801459e-05,6.383023127249317e-05
depth6,0.15,2304,fit,finite_signed,0.001,0.03211111111111112,1.596451901177326e-05,1.5821942867893038e-05
depth6,0.15,307,fit,finite_signed,0.001,0.03211111111111112,1.2539159321004435e-05,1.243592437775732e-05
depth6,0.15,4093,fit,finite_signed,0.001,0.03211111111111112,1.19270082094944e-05,1.1746172999271554e-05
depth6,0.15,769,fit,finite_signed,0.001,0.03211111111111112,2.3026157808770615e-05,2.3313809909910458e-05
depth6,0.15,3769,fit,finite_signed,0.001,0.03211111111111112,1.0678996025090954e-05,1.0691619203359864e-05
depth6,0.15,1780,fit,finite_signed,0.001,0.03211111111111112,2.5339650123697202e-05,2.5296236365774836e-05
depth6,0.15,2797,test,finite_signed,0.001,0.03211111111111112,1.892301533594494e-05,1.8767383751234378e-05
depth6,0.15,2744,test,finite_signed,0.001,0.03211111111111112,1.7501292688835625e-05,1.7600675850337755e-05
depth6,0.15,2114,test,finite_signed,0.001,0.03211111111111112,1.043917528277913e-05,1.0213275730859249e-05
depth6,0.15,843,test,finite_signed,0.001,0.03211111111111112,1.6956491932450844e-05,1.712447956761374e-05
depth6,0.15,3732,test,finite_signed,0.001,0.03211111111111112,2.1164033620908272e-05,2.1060958008471135e-05
depth6,0.15,3823,test,finite_signed,0.001,0.03211111111111112,2.1681494953375345e-05,2.149332308314243e-05
depth6,0.15,2922,test,finite_signed,0.001,0.03211111111111112,1.3099410128911943e-05,1.2769713639561402e-05
depth6,0.15,1517,test,finite_signed,0.001,0.03211111111111112,1.514576806790657e-05,1.5500897123399925e-05
depth6,0.15,1686,test,finite_signed,0.001,0.03211111111111112,1.0779605066638047e-05,1.0642164032856362e-05
depth6,0.15,4998,test,finite_signed,0.001,0.03211111111111112,1.3421467739202336e-05,1.3681225521937615e-05
depth6,0.15,151,test,finite_signed,0.001,0.03211111111111112,8.559133042614405e-06,8.395385001129164e-06
depth6,0.15,3630,test,finite_signed,0.001,0.03211111111111112,2.0522522188354553e-05,1.9998515166620254e-05
depth6,0.15,1841,test,finite_signed,0.001,0.03211111111111112,1.955412783128213e-05,1.976851941358102e-05
depth6,0.15,3028,test,finite_signed,0.001,0.03211111111111112,4.921836267273511e-05,4.986042767324486e-05
depth6,0.15,2347,test,finite_signed,0.001,0.03211111111111112,1.4255914045016737e-05,1.4446228416954073e-05
depth6,0.15,4021,test,finite_signed,0.001,0.03211111111111112,1.9068773931274313e-05,1.8676890937180665e-05
depth8,0.15,713,fit,finite_nonnegative,0.003,0.09633333333333334,8.478387354563158e-06,7.950736058545738e-06
depth8,0.15,3623,fit,finite_nonnegative,0.003,0.09633333333333334,8.415198207600169e-06,8.790838257074474e-06
depth8,0.15,3296,fit,finite_nonnegative,0.003,0.09633333333333334,2.0020132541787456e-05,2.02835070880347e-05
depth8,0.15,4345,fit,finite_nonnegative,0.003,0.09633333333333334,9.57942240020516e-06,1.058850040827128e-05
depth8,0.15,2364,fit,finite_nonnegative,0.003,0.09633333333333334,1.508601073559674e-05,1.6045667753083435e-05
depth8,0.15,3510,fit,finite_nonnegative,0.003,0.09633333333333334,3.483251394049463e-05,3.3846973652385036e-05
depth8,0.15,4640,fit,finite_nonnegative,0.003,0.09633333333333334,1.374011942109588e-05,1.312205710226398e-05
depth8,0.15,1298,fit,finite_nonnegative,0.003,0.09633333333333334,9.649052780238413e-06,9.939289927292956e-06
depth8,0.15,708,fit,finite_nonnegative,0.003,0.09633333333333334,8.472830053117583e-06,8.741513303353208e-06
depth8,0.15,1505,fit,finite_nonnegative,0.003,0.09633333333333334,5.530518168268089e-05,5.664728798419754e-05
depth8,0.15,2304,fit,finite_nonnegative,0.003,0.09633333333333334,1.2895053492980315e-05,1.2822052728335363e-05
depth8,0.15,307,fit,finite_nonnegative,0.003,0.09633333333333334,1.4377578218858734e-05,1.3388655625129571e-05
depth8,0.15,4093,fit,finite_nonnegative,0.003,0.09633333333333334,1.098663442933473e-05,1.0337415973290878e-05
depth8,0.15,769,fit,finite_nonnegative,0.003,0.09633333333333334,2.138668424943214e-05,2.255131700074874e-05
depth8,0.15,3769,fit,finite_nonnegative,0.003,0.09633333333333334,9.647019341148345e-06,1.0052223561070904e-05
depth8,0.15,1780,fit,finite_nonnegative,0.003,0.09633333333333334,2.1762202063416678e-05,2.096166149954123e-05
depth8,0.15,2797,test,finite_nonnegative,0.003,0.09633333333333334,1.6681741437483283e-05,1.663075740698132e-05
