weak,t,q,delta,tau,fit_ratio,test_ratio
depth4,0.3,5.4444444444444455,0.03,0.16333333333333336,1.043154678137288,1.0088849827740098
depth4,0.3,5.4444444444444455,0.1,0.5444444444444446,2.0009611203465845,1.79359452950719
depth4,0.3,5.4444444444444455,0.25,1.3611111111111114,6.735598043738725,5.898871882317844
depth4,0.3,5.4444444444444455,0.5,2.7222222222222228,18.1643871819315,16.037370089809645
depth4,0.3,5.4444444444444455,1.0,5.4444444444444455,41.8739048966491,37.33048141057478
depth4,0.3,5.4444444444444455,2.0,10.888888888888891,76.7595036791114,68.876032357002
depth4,0.3,5.4444444444444455,4.0,21.777777777777782,113.02939413474775,101.76986556124542
depth6,0.3,5.4444444444444455,-0.75,-4.083333333333334,712.8379652334967,676.7455787665236
depth6,0.3,5.4444444444444455,-0.5,-2.7222222222222228,105.47654157135595,100.22714746403847
depth6,0.3,5.4444444444444455,-0.25,-1.3611111111111114,16.53006517726439,15.343463752538035
depth6,0.3,5.4444444444444455,-0.1,-0.5444444444444446,3.2632329566762124,3.1065217789879984
depth6,0.3,5.4444444444444455,-0.03,-0.16333333333333336,1.2667636277626462,1.2483373864091876
depth6,0.3,5.4444444444444455,-0.01,-0.054444444444444455,1.054575992008365,1.0507878826763788
depth6,0.3,5.4444444444444455,0.0,0.0,1.0,1.0
depth6,0.3,5.4444444444444455,0.01,0.054444444444444455,0.9777303542667236,0.9794057601677514
depth6,0.3,5.4444444444444455,0.03,0.16333333333333336,1.0242964416799287,1.0232056300770194
depth6,0.3,5.4444444444444455,0.1,0.5444444444444446,2.0039963457014984,1.9404147609025808
depth6,0.3,5.4444444444444455,0.25,1.3611111111111114,6.992733582037559,6.641425586368491
depth6,0.3,5.4444444444444455,0.5,2.7222222222222228,19.127788308119406,18.179171901560302
depth6,0.3,5.4444444444444455,1.0,5.4444444444444455,44.37304707310992,42.33682078888018
depth6,0.3,5.4444444444444455,2.0,10.888888888888891,81.55562262720521,78.04366806053729
depth6,0.3,5.4444444444444455,4.0,21.777777777777782,120.23769537629106,115.22893197456398
depth8,0.3,5.4444444444444455,-0.75,-4.083333333333334,869.9841702499047,860.2653510257801
depth8,0.3,5.4444444444444455,-0.5,-2.7222222222222228,129.2265818098802,127.4027789518456
depth8,0.3,5.4444444444444455,-0.25,-1.3611111111111114,20.19578243455172,19.27001188049455
depth8,0.3,5.4444444444444455,-0.1,-0.5444444444444446,3.83836386225822,3.669499451373832
depth8,0.3,5.4444444444444455,-0.03,-0.16333333333333336,1.3462109412214711,1.3106591086229435
depth8,0.3,5.4444444444444455,-0.01,-0.054444444444444455,1.073302299079063,1.0626520036962115
depth8,0.3,5.4444444444444455,0.0,0.0,1.0,1.0
depth8,0.3,5.4444444444444455,0.01,0.054444444444444455,0.9662941786127239,0.9759098055455439
depth8,0.3,5.4444444444444455,0.03,0.16333333333333336,1.0105025590991976,1.0363419526696842
depth8,0.3,5.4444444444444455,0.1,0.5444444444444446,2.164963205599507,2.2232936102397147
depth8,0.3,5.4444444444444455,0.25,1.3611111111111114,8.170543865505687,8.250593259978004
depth8,0.3,5.4444444444444455,0.5,2.7222222222222228,22.851189528956915,22.99095063605143
depth8,0.3,5.4444444444444455,1.0,5.4444444444444455,53.443291270862545,53.78526840905393
depth8,0.3,5.4444444444444455,2.0,10.888888888888891,98.51694820862691,99.20140677008683
depth8,0.3,5.4444444444444455,4.0,21.777777777777782,145.4182245067221,146.45584159814595
depth10,0.3,5.4444444444444455,-0.75,-4.083333333333334,2340.652126820283,2053.108558789937
depth10,0.3,5.4444444444444455,-0.5,-2.7222222222222228,346.42123199533626,303.21913030877954
depth10,0.3,5.4444444444444455,-0.25,-1.3611111111111114,52.26498318662846,44.38792564401858
depth10,0.3,5.4444444444444455,-0.1,-0.5444444444444446,8.409204240359962,7.21236621106585
depth10,0.3,5.4444444444444455,-0.03,-0.16333333333333336,1.8613915802616074,1.6900003254612777
depth10,0.3,5.4444444444444455,-0.01,-0.054444444444444455,1.1738266500733976,1.1320497502024531
depth10,0.3,5.4444444444444455,0.0,0.0,1.0,1.0
depth10,0.3,5.4444444444444455,0.01,0.054444444444444455,0.9327182880735039,0.960123880647936
depth10,0.3,5.4444444444444455,0.03,0.16333333333333336,1.0983859234531017,1.1400272243096665
