weak,t,q,fit_type,delta,tau,fit_ratio,test_ratio,test_ratio_ci_low,test_ratio_ci_high,gap_rms
depth6,0.7,0.18367346938775517,finite_nonnegative,0.75,0.13775510204081637,0.6741103521802821,0.6184902395717692,0.5744305232072116,0.6626022778642319,0.8418679692204457
depth6,0.7,0.18367346938775517,finite_signed,0.75,0.13775510204081637,0.6741103521802821,0.6184902395717692,0.5744305232072116,0.6626022778642319,0.8418679692204457
depth8,0.7,0.18367346938775517,finite_nonnegative,0.5,0.09183673469387758,0.7362461872533412,0.6940187620463124,0.6537538373573297,0.7337220212795714,0.7319304673377672
depth8,0.7,0.18367346938775517,finite_signed,0.5,0.09183673469387758,0.7362461872533412,0.6940187620463124,0.6537538373573297,0.7337220212795714,0.7319304673377672
depth10,0.7,0.18367346938775517,finite_nonnegative,0.15,0.027551020408163273,0.8905120004002511,0.883432438891593,0.8651071170246205,0.9003825671573871,0.4455729303754763
depth10,0.7,0.18367346938775517,finite_signed,0.15,0.027551020408163273,0.8905120004002511,0.883432438891593,0.8651071170246205,0.9003825671573871,0.4455729303754763
external_v500,0.7,0.18367346938775517,finite_nonnegative,0.01,0.0018367346938775518,0.9959332408568926,0.9937914132465866,0.9925275224940785,0.995141212979804,0.15113576835912723
external_v500,0.7,0.18367346938775517,finite_signed,0.01,0.0018367346938775518,0.9959332408568926,0.9937914132465866,0.9925275224940785,0.995141212979804,0.15113576835912723
depth4,0.9,0.012345679012345671,finite_nonnegative,8.0,0.09876543209876537,0.35255670190634214,0.3162048517252138,0.2749746656351347,0.3669903205092055,3.546023985674815
depth4,0.9,0.012345679012345671,finite_signed,8.0,0.09876543209876537,0.35255670190634214,0.3162048517252138,0.2749746656351347,0.3669903205092055,3.546023985674815
depth6,0.9,0.012345679012345671,finite_nonnegative,6.0,0.07407407407407403,0.43949888234922413,0.40000554687507767,0.35462224644665774,0.45248725594992384,3.49941817821656
depth6,0.9,0.012345679012345671,finite_signed,6.0,0.07407407407407403,0.43949888234922413,0.40000554687507767,0.35462224644665774,0.45248725594992384,3.49941817821656
depth8,0.9,0.012345679012345671,finite_nonnegative,4.0,0.049382716049382686,0.5312919264158141,0.5000083792621887,0.4510818798410773,0.5568921669133835,3.1977756371033363
depth8,0.9,0.012345679012345671,finite_signed,4.0,0.049382716049382686,0.5312919264158141,0.5000083792621887,0.4510818798410773,0.5568921669133835,3.1977756371033363
depth10,0.9,0.012345679012345671,finite_nonnegative,1.0,0.012345679012345671,0.7522868379504437,0.7302326137707356,0.6895765535593054,0.7733108500617591,2.2115282769314013
depth10,0.9,0.012345679012345671,finite_signed,1.0,0.012345679012345671,0.7522868379504437,0.7302326137707356,0.6895765535593054,0.7733108500617591,2.2115282769314013
external_v500,0.9,0.012345679012345671,finite_nonnegative,0.03,0.00037037037037037014,0.9929627706928014,0.9916650611297453,0.9902815016419316,0.99308344943368,0.7073712109544879
external_v500,0.9,0.012345679012345671,finite_signed,0.03,0.00037037037037037014,0.9929627706928014,0.9916650611297453,0.9902815016419316,0.99308344943368,0.7073712109544879
