grid_index,noise_time,heat_variance,heat_step_from_previous,cumulative_log_weight_mean,cumulative_log_weight_std,increment_mean,increment_std,potential_mean,potential_std,potential_q10,potential_median,potential_q90,potential_min,potential_max,k4_ess_mean,k4_ess_min,k4_ess_fraction_mean,k4_ess_fraction_min,k4_entropy_ess_fraction_mean,k4_max_weight_mean,k4_max_weight_max,k4_log_weight_range_mean,k4_log_weight_range_max,k8_ess_mean,k8_ess_min,k8_ess_fraction_mean,k8_ess_fraction_min,k8_entropy_ess_fraction_mean,k8_max_weight_mean,k8_max_weight_max,k8_log_weight_range_mean,k8_log_weight_range_max
23,0.964006245136261,717.307523053627,87.18921119934464,6.275757909558985,2.1020621492366205,0.950904916808745,0.2648278943794093,0.012377873601508327,0.0033674376055311795,0.00872400337830186,0.01193631300702691,0.015028338599950076,0.006421706173568964,0.024518746882677078,1.7939978388247755,1.0021548425085542,0.44849945970619387,0.25053871062713856,0.5331557821172359,0.7530348034978582,0.9989238616058834,4.842975563917609,11.084642453184703,2.4012870816935283,1.0030216338243432,0.30016088521169104,0.1253777042280429,0.3913603848841508,0.6612942806433019,0.998492105808557,5.938027995242539,11.279181297905785
24,0.9620253443717957,641.7787585975867,75.52876445604034,7.352327056948875,2.358339876329063,1.0765691473898895,0.2844541491692975,0.016129653435200453,0.004176891770444932,0.011579402908682822,0.015791441313922405,0.02034633830189705,0.008098618127405643,0.03016018494963646,1.720048231741408,1.0009453158634467,0.430012057935352,0.2502363289658617,0.5023711461659097,0.7718364965617056,0.9995275842650686,5.497189033644519,12.601207457743236,2.2140446351042606,1.0013257626458427,0.2767555793880326,0.12516572033073034,0.35915873050797226,0.6907519789289509,0.9993376767280844,6.704193516267066,12.601207457743236
25,0.9599999785423279,575.9993562703617,65.77940232722506,8.567804711192673,2.631376645298491,1.2154776542437977,0.30730217921120945,0.02082652467652224,0.005181883583727744,0.015038009919226169,0.020479089580476284,0.027173838578164577,0.010279419831931591,0.03691120818257332,1.6496270116771934,1.0004171534752209,0.41240675291929835,0.2501042883688052,0.47361115425416783,0.7810847067687701,0.9997914696450482,6.197995656698648,14.202717358032658,2.0847605919410332,1.0005960647992813,0.26059507399262916,0.12507450809991016,0.3352935605438696,0.7118390812210044,0.9997020800766986,7.573294390801475,14.202717358032658
26,0.9579287767410278,518.4372048026094,57.5621514677523,9.93307512681308,2.9239521948063607,1.365270415620408,0.3331986212835928,0.0266098681895528,0.006416070431624444,0.01911199148744345,0.026408866047859192,0.035196628049016,0.013129553757607937,0.04495926946401596,1.50655817873764,1.00018453585753,0.37663954468441,0.2500461339643825,0.4366141093969267,0.8318750208297772,0.9999077410248252,7.076591698162596,15.885302333814915,2.01084620380962,1.0002752522266913,0.2513557754762025,0.12503440652833642,0.3181344954339912,0.7232881736528655,0.9998623979525029,8.495082692381093,15.885302333814915
27,0.9558101296424866,467.8404867578903,50.59671804471907,11.458473314427476,3.2392227247951886,1.5253981876143947,0.36268791213034224,0.033686461159959435,0.00794814189115133,0.023709006048738955,0.03418055735528469,0.044226874411106114,0.016848990693688393,0.054523225873708725,1.2969734538713327,1.0000814399192015,0.32424336346783317,0.2500203599798004,0.38312070214637617,0.8874604080650346,0.9999592817660773,8.049723542004461,17.643638236812222,1.977463847501146,1.000130690540389,0.24718298093764324,0.12501633631754863,0.30328293247032106,0.7213464810143873,0.999934660198787,9.468159651029865,17.643638236812222
28,0.9536424279212952,423.18451230917907,44.65597444871122,13.154656884745158,3.580210774037279,1.696183570317682,0.3952231673930012,0.042280241672415286,0.009775925217705374,0.02972516305744648,0.042453404515981674,0.05440153442323208,0.02172151394188404,0.06609193235635757,1.1541765635401968,1.0000356541705648,0.2885441408850492,0.2500089135426412,0.3314550479516063,0.9325326649028842,0.999982173242969,9.11235763218294,19.470276510468786,1.8658566533552474,1.0000636859706855,0.23323208166940593,0.1250079607463357,0.27963782565893014,0.7213522581791616,0.9999681583241226,10.543350258447731,19.470276510468786
29,0.9514237642288208,383.61914590182664,39.56536640735243,15.032318715355665,3.94920535782531,1.8776618306105073,0.42779184422551375,0.05263417470268905,0.011866464839542042,0.03796492181718349,0.0524606890976429,0.06596006006002426,0.028213854879140854,0.08386427909135818,1.0955935016192364,1.0000153828454574,0.2738983754048091,0.25000384571136436,0.3011912730741274,0.9563367074245642,0.999992308638041,10.247815272748726,21.35309441429833,1.6151475922094263,1.0000316023371654,0.20189344902617828,0.12500395029214567,0.2428444149871442,0.7840238986437267,0.999984199154966,11.859817254370878,21.35309441429833
30,0.9491525292396545,348.44425480461535,35.17489109721129,17.101995649426087,4.346050763224008,2.0696769340704195,0.4570548191030791,0.06504504871554673,0.014138379481701378,0.04817447401583195,0.06482547894120216,0.08025728017091752,0.03710398077964783,0.10349631309509277,1.0796900918055568,1.0000064996242133,0.2699225229513892,0.2500016249060533,0.28869253815306145,0.9640216098155232,0.9999967501986996,11.434009770624186,23.269913850103954,1.447422493567311,1.0000158008850106,0.18092781169591388,0.12500197511062633,0.21178678289997413,0.833746681292217,0.9999920996380646,13.263197663071553,23.269913850103954
31,0.9468267560005188,317.0696919998475,31.374562804767834,19.375612320727186,4.767593434905912,2.273616671301102,0.48031766242472573,0.07988871086854488,0.016503027311387104,0.059802983328700064,0.07906665280461311,0.09731790199875832,0.04968665540218353,0.12461463361978531,1.0817728181733344,1.0000026765674148,0.2704432045433336,0.2500006691418537,0.28541954229597993,0.963735642789936,0.99999866171812,12.646521087856735,25.182270120861876,1.3770699940661717,1.000007898336054,0.17213374925827146,0.12500098729200676,0.1953677748475779,0.8609002338520839,0.9999960508518918,14.730792166681837,25.182270120861876
32,0.9444444179534912,288.999708175872,28.06998382397552,21.86827850120808,5.20793954611078,2.4926661804808976,0.49702234003594803,0.09771496686153114,0.018953609937871232,0.0727301999926567,0.09684871137142181,0.11788027584552765,0.06437419354915619,0.14718732237815857,1.0931050586179256,1.0000010737592202,0.2732762646544814,0.25000026843980505,0.286595880266434,0.9594410033145125,0.9999994631206834,13.857712977677688,27.030115789438412,1.3449617162306653,1.0000039419886328,0.16812021452883316,0.1250004927485791,0.18751798837520053,0.8750399777344142,0.9999980290105727,16.23460829138851,27.030115789438412
33,0.9420035481452942,263.8166659753355,25.183042200536477,24.597561906361165,5.664010506667715,2.729283405153084,0.5139006962713488,0.11904068826697767,0.021917700430262727,0.09016047939658164,0.1186247281730175,0.1429130718111992,0.07857726514339447,0.17341917753219604,1.1122643419770966,1.00000042228114,0.27806608549427414,0.250000105570285,0.29031402548304336,0.9520563382163141,0.9999997888594754,15.161189293093301,28.776030853766642,1.3231954718644954,1.0000019786863683,0.16539943398306192,0.12500024733579604,0.18306469745206772,0.8851442556239619,0.9999990106580294,17.760465209616108,28.776030853766642
34,0.9395017623901367,241.16248575749017,22.65418021784535,27.58147162229692,6.139580853446103,2.983909715935753,0.538320582423634,0.14439058024436235,0.025679150232687,0.10971955507993698,0.14343254268169403,0.17434963285923005,0.09578707069158554,0.2042037397623062,1.140329534471455,1.0000001649198957,0.28508238361786375,0.25000004122997393,0.2958049128630278,0.9412647850790128,0.999999917540059,16.481402643735912,30.436137601268154,1.300578325010525,1.0000010145461313,0.16257229062631562,0.12500012681826642,0.17955329317086888,0.8951222831303793,0.9999994927272502,19.31661119051541,30.436137601268154
35,0.9369369745254517,220.73497472516254,20.42751103232763,30.836564763359974,6.638407695680603,3.255093141063057,0.5688915198471737,0.17430640989914536,0.03011484235753377,0.13296258598566055,0.17197391390800476,0.21282155811786652,0.11636655032634735,0.24097537994384766,1.1776000384324403,1.0000000652024674,0.2944000096081101,0.25000001630061686,0.3023209937983996,0.9264539445625519,0.9999999673987674,17.809876668066973,32.00521548384399,1.2726439591934542,1.0000005426007852,0.15908049489918177,0.12500006782509815,0.17587576316003792,0.9058889138565435,0.9999997286996977,20.900153249824054,32.00521548384399
