k,objective,iteration,variant,shift_rms,state_rms,agreement_rms,write_rms,local_gap_rms,agreement_ratio,write_ratio,local_gap_ratio,conditional_drift_rms,guided_drift_rms,u_resnet_p,u_resnet_top1,u_resnet_prediction,u_convnext_p,u_convnext_top1,u_convnext_prediction,c_resnet_p,c_resnet_top1,c_resnet_prediction,c_convnext_p,c_convnext_top1,c_convnext_prediction,g_resnet_p,g_resnet_top1,g_resnet_prediction,g_convnext_p,g_convnext_top1,g_convnext_prediction,initial_agreement_rms,initial_local_gap_rms,initial_state_rms,conditional_drift_over_initial_gap,guided_drift_over_initial_gap,shift_over_initial_state_rms,reference_radius_rms,shift_over_reference_radius,coarse_relative_mse,coarse_objective_rms_ratio,fine_objective_rms_ratio,n
24,agreement,64,cfg_equal,0.2814268758520484,0.7678708955645561,0.0746638928540051,0.5029997229576111,0.1251439955085516,0.9668740145862103,6.820355445146561,1.2156370878219604,0.4942059572786093,0.4448241572827101,0.499695516176871,0.6875,472.25,0.4397155166443554,0.625,528.6875,0.6081677856127499,0.625,437.9375,0.5461300713359378,0.875,427.6875,0.6644314483855851,0.6875,403.25,0.6325579694384942,0.875,427.6875,0.08149197814054787,0.10740266554057598,0.7044146284461021,6.703714484776534,6.07693001844033,0.398588876972843,0.008390833245357499,35.78845084388516,,,0.9668740145862103,16
24,agreement,64,optimized,0.2814268786460161,0.6927619390189648,0.0091899583931081,0.3375770151615143,0.05262442526873201,0.11520490515977144,4.494678899645805,0.49688988365232944,0.3372013121843338,0.35431599989533424,0.4544752779793271,0.5625,418.125,0.45985880700754933,0.625,428.8125,0.45659572918896174,0.5625,418.125,0.47157902293110965,0.625,447.5625,0.456160561323145,0.5625,418.125,0.477338841654273,0.625,441.5625,0.08149197814054787,0.10740266554057598,0.7044146284461021,4.490411575048177,4.701458308166755,0.3985888807444472,0.008390833245357499,35.78845130726611,0.013551437994465232,0.11538665686679782,0.11520490515977144,16
24,agreement,64,radius4_projected,0.033563331817276776,0.6973288208246231,0.05504948575980961,0.09656588966026902,0.09522573370486498,0.7020837124437094,1.2084375098347664,0.8962601013481617,0.07468328485265374,0.08083975850604475,0.36427378820110334,0.3125,449.625,0.33895610491435946,0.4375,365.4375,0.5543750377929655,0.6875,470.4375,0.4854298924592513,0.6875,419.5625,0.714459429559156,0.8125,459.0,0.569004469218271,0.875,458.0,0.08149197814054787,0.10740266554057598,0.7044146284461021,0.9213663130640717,0.9942776530306927,0.04748785951174335,0.008390833245357499,3.999999888613102,,,0.7020837124437094,16
24,agreement,64,radius_projected,0.008390833187149838,0.7024851627647877,0.07286320463754237,0.07994349114596844,0.10417291661724448,0.9029091708362103,0.9896651320159435,0.97234807908535,0.022512881027068943,0.019569485390093178,0.3367087948134042,0.375,450.625,0.30048002404146246,0.4375,388.8125,0.5849689072513797,0.8125,432.0625,0.48647572972731723,0.6875,461.0,0.73963537207419,0.8125,432.9375,0.6078580608591437,0.8125,519.4375,0.08149197814054787,0.10740266554057598,0.7044146284461021,0.27598831748223646,0.24522387100672324,0.011871965209939335,0.008390833245357499,0.999999997203481,,,0.9029091708362103,16
24,frozen_inverse,1,oracle,0.04430242569651455,0.7052224576473236,0.07618515519425273,7.786917296925822e-05,0.10680914670228958,0.9512618258595467,0.001009324874758022,0.994130328297615,0.07618723553605378,0.06377717712894082,0.5872355832465814,0.8125,463.875,0.4884823760639847,0.6875,481.0625,0.7398076081626641,0.8125,432.9375,0.6243847822952375,0.875,484.375,0.8351170159803587,0.875,417.0,0.652633969206363,0.875,431.9375,0.08149197814054787,0.10740266554057598,0.7044146284461021,0.9512799659930775,0.819537638164679,0.06274614477618719,0.008390833245357499,5.486953422551681,,,,16
24,local,0,optimized,0.0,0.7044146284461021,0.08149197814054787,0.08149197814054787,0.10740266554057598,1.0,1.0,1.0,0.0,0.0,0.32425109519206785,0.375,453.875,0.2864882164849405,0.4375,388.8125,0.5878438397562604,0.8125,463.875,0.48853483889615745,0.6875,481.0625,0.7508947748419814,0.8125,432.9375,0.6161261786837713,0.8125,519.4375,0.08149197814054787,0.10740266554057598,0.7044146284461021,0.0,0.0,0.0,0.008390833245357499,0.0,1.0,1.0,1.0,16
24,local,1,optimized,0.006682576629827963,0.7042297348380089,0.07375817373394966,0.08044846751727164,0.09739210130646825,0.9123395197093487,0.9960636980831623,0.9037357307970524,0.027142737148096785,0.032131761487107724,0.32073092261794045,0.375,386.4375,0.2991287515769727,0.4375,401.6875,0.5894702390155544,0.8125,458.4375,0.4940948130351899,0.6875,492.375,0.7311169965777253,0.8125,431.4375,0.6147662214752927,0.875,458.0,0.08149197814054787,0.10740266554057598,0.7044146284461021,0.340721443128898,0.4125708986230313,0.009532483821427918,0.008390833245357499,0.8686063899627676,0.8208369389176369,0.9037357332893673,0.9037357307970524,16
24,local,4,optimized,0.05978253157809377,0.7035189419984818,0.05555842677131295,0.179779929574579,0.06120725232176483,0.7005788832902908,2.33583602309227,0.5623492877930403,0.16934225941076875,0.18171633034944534,0.2952962197260547,0.375,469.3125,0.27332599298006244,0.4375,457.1875,0.4437833034766072,0.5625,459.75,0.4364601303859672,0.625,454.75,0.6150465863888712,0.75,455.6875,0.5120117316982942,0.75,458.75,0.08149197814054787,0.10740266554057598,0.7044146284461021,2.2185561661673994,2.3794749118321628,0.0848326079986966,0.008390833245357499,7.641671313076454,0.3199465088546276,0.5623492809790586,0.5623492877930403,16
24,local,16,optimized,0.1844572378322482,0.7023413516581059,0.038548356969840825,0.3299865461885929,0.027207928826101124,0.48674266412854195,4.376360312104225,0.25406246446073055,0.3275387464091182,0.34056701697409153,0.24212191916058146,0.3125,435.625,0.25702851818005,0.5625,458.4375,0.30956881356996746,0.375,426.0,0.3375225727313591,0.625,445.9375,0.3891543799433066,0.5625,392.0625,0.40078197209822974,0.625,438.375,0.08149197814054787,0.10740266554057598,0.7044146284461021,4.348011204699724,4.503739096955815,0.2616800564968718,0.008390833245357499,23.5837893708466,0.0659601108636707,0.25406246802450105,0.25406246446073055,16
24,local,32,optimized,0.28060715831816196,0.6942128203809261,0.03656271693762392,0.41083429381251335,0.01697519310982898,0.4707729909569025,5.457339912652969,0.16118215024471283,0.40856504440307617,0.4192901533097029,0.17911355858450406,0.375,336.9375,0.138468865145569,0.25,477.25,0.2581946989150765,0.5,387.8125,0.21428631514481822,0.375,463.8125,0.34077356364213074,0.5625,366.25,0.3071272795168625,0.6875,426.25,0.08149197814054787,0.10740266554057598,0.7044146284461021,5.430263110188901,5.560293352965261,0.39797078257458945,0.008390833245357499,35.78545375011366,0.026707492244895548,0.1611821531573814,0.16118215024471283,16
