family,sampling_progress,kappa,gamma,strong_error_rms,guided_error_l2,relative_equality_residual
constant_ratio,0.9500000000000001,3.0,0.4999999999999999,0.10643307756520051,6.206335383118183e-17,6.115823777188337e-16
constant_ratio,0.96,3.0,0.4999999999999999,0.10288530831302721,5.551115123125783e-17,8.027322689137751e-17
constant_ratio,0.97,3.0,0.5000000000000001,0.09933753906085385,5.551115123125783e-17,2.801333932073533e-16
constant_ratio,0.98,3.0,0.49999999999999983,0.0957897698086805,5.551115123125783e-17,3.1575331444570555e-16
constant_ratio,0.99,3.0,0.5000000000000001,0.09224200055650712,6.206335383118183e-17,4.6014433665786e-16
constant_ratio,1.0,3.0,0.5000000000000001,0.08869423130433378,1.2719202621569003e-16,2.0325758417126096e-16
growing_ratio,0.0,1.5,1.9999999999999958,0.443471156521669,1.9563251226435534e-15,4.092162955216344e-16
growing_ratio,0.01,1.5069797398950144,1.9724654089867177,0.4399233872694956,6.684427777288335e-16,1.031230065644377e-15
growing_ratio,0.02,1.5140569133280333,1.9453098948245733,0.4363756180173223,1.2585248453105973e-15,3.7290755606508906e-16
growing_ratio,0.03,1.5212328804205608,1.918528238650527,0.43282784876514896,4.552252871008668e-16,1.0293243774667753e-15
growing_ratio,0.04,1.5285090202806901,1.8921152934511936,0.4292800795129756,6.497413668604471e-16,4.057452471925463e-16
growing_ratio,0.05,1.5358867312681466,1.8660659830736144,0.4257323102608022,3.236828524569469e-16,6.96219647847837e-16
growing_ratio,0.06,1.543367431263029,1.8403753012497506,0.42218454100862884,6.206335383118183e-17,1.3970877225041302e-16
growing_ratio,0.07,1.5509525579383054,1.8150383106343226,0.41863677175645553,7.631521572941402e-16,7.161475392638388e-17
growing_ratio,0.08,1.55864356903611,1.790050141855948,0.41508900250428216,1.756294223338048e-15,5.21736244906172e-16
growing_ratio,0.09,1.5664419426478993,1.7654059925813117,0.41154123325210884,8.252325904466732e-16,6.33768012528547e-16
growing_ratio,0.1,1.5743491774985174,1.7411011265922511,0.4079934639999354,1.107443988915824e-15,5.680478850440057e-16
growing_ratio,0.11,1.582366793234228,1.7171308728755101,0.40444569474776215,1.3620043033829906e-15,1.6046037504395704e-16
growing_ratio,0.12,1.5904963307147653,1.6934906247250543,0.4008979254955888,1.0007415106216802e-16,1.692304882980796e-16
growing_ratio,0.13,1.5987393523094644,1.6701758388567403,0.39735015624341546,7.570711667007543e-16,1.139098910180997e-15
growing_ratio,0.14,1.6070974421975235,1.6471820345351462,0.39380238699124204,5.551115123125783e-17,4.446099749615071e-16
growing_ratio,0.15,1.615572206672458,1.6245047927124714,0.3902546177390687,6.206335383118183e-17,1.5732493807249417e-16
growing_ratio,0.16,1.624165274450806,1.602139755179244,0.3867068484868954,2.3551386880256624e-16,7.571539520798195e-16
growing_ratio,0.17,1.6328782969851399,1.580082623726754,0.38315907923472203,2.7894008272968645e-16,1.8172847457749813e-16
growing_ratio,0.18,1.6417129487814521,1.5583291593209985,0.37961130998254866,5.530259263078839e-16,1.325886510676359e-16
growing_ratio,0.19,1.6506709277209668,1.5368751812880106,0.37606354073037523,9.710485573708405e-16,4.27248495755196e-16
