method,noise_variance,sigma,gamma,variance,target_variance,variance_ratio
exact_path,0.002511886431509577,0.05011872336272719,1.9962416109990713,1.0025118864057785,1.0025118864315097,0.9999999999743333
exact_path,0.0022387211385683377,0.04731512589614803,1.9966494193079694,1.0022387211128376,1.0022387211385684,0.9999999999743268
exact_path,0.001995262314968879,0.04466835921509631,1.9970130662439076,1.001995262289239,1.0019952623149688,0.9999999999743213
exact_path,0.0017782794100389228,0.042169650342858224,1.9973373158812853,1.0017782793843102,1.001778279410039,0.9999999999743169
exact_path,0.0015848931924611108,0.03981071705534969,1.9976264220787971,1.0015848931667335,1.0015848931924611,0.9999999999743131
exact_path,0.0014125375446227527,0.037583740428844395,1.997884182354927,1.0014125375188967,1.0014125375446228,0.9999999999743102
exact_path,0.0012589254117941662,0.03548133892335753,1.9981139862329673,1.0012589253860698,1.001258925411794,0.999999999974308
exact_path,0.001122018454301963,0.03349654391578276,1.998318858590233,1.0011220184285792,1.001122018454302,0.9999999999743061
exact_path,0.001,0.03162277660168379,1.9985014985014988,1.0009999999742787,1.001,0.9999999999743044
exact_path,0.0008912509381337441,0.02985382618917957,1.9986643140241782,1.0008912509124142,1.0008912509381338,0.9999999999743032
exact_path,0.0007943282347242806,0.028183829312644522,1.9988094533327465,1.0007943282090062,1.0007943282347243,0.9999999999743023
exact_path,0.0007079457843841374,0.026607250597988085,1.9989388325724307,1.0007079457586674,1.0007079457843842,0.9999999999743014
exact_path,0.000630957344480193,0.025118864315095794,1.99905416076749,1.0006309573187648,1.0006309573444803,0.9999999999743008
exact_path,0.0005623413251903491,0.023713737056616554,1.9991569620872718,1.0005623412994764,1.0005623413251903,0.9999999999743006
exact_path,0.0005011872336272714,0.022387211385683378,1.9992485957437796,1.0005011872079144,1.0005011872336274,0.9999999999742999
exact_path,0.00044668359215096256,0.021134890398366454,1.9993302737674927,1.0004466835664392,1.000446683592151,0.9999999999742996
exact_path,0.0003981071705534969,0.01995262314968879,1.999403076883543,1.000398107144843,1.0003981071705534,0.9999999999742997
exact_path,0.0003548133892335753,0.018836490894898,1.999467968687983,1.0003548133635238,1.0003548133892335,0.9999999999742994
exact_path,0.00031622776601683794,0.01778279410038923,1.9995258083035552,1.000316227740308,1.000316227766017,0.9999999999742991
exact_path,0.0002818382931264449,0.016788040181225587,1.9995773616759742,1.0002818382674183,1.0002818382931264,0.9999999999742991
exact_path,0.0002511886431509577,0.015848931924611124,1.999623311655108,1.0002511886174437,1.0002511886431509,0.9999999999742992
exact_path,0.00022387211385683378,0.014962356560944329,1.9996642669904734,1.00022387208815,1.0002238721138568,0.999999999974299
exact_path,0.00019952623149688788,0.01412537544622754,1.9997007703569176,1.0001995262057908,1.0001995262314969,0.999999999974299
exact_path,0.00017782794100389227,0.01333521432163324,1.9997333055142255,1.0001778279152982,1.0001778279410038,0.9999999999742989
exact_path,0.0001584893192461111,0.012589254117941663,1.9997623036934566,1.000158489293541,1.0001584893192461,0.9999999999742989
