id,window,input_band,mode,total_rms,out_low,out_mid,out_high
12,2,1,replay,0.11948315799236298,0.02421320043504238,0.1107359230518341,0.03778225556015968
12,2,2,recursive,0.15261904895305634,0.029862429946660995,0.04152355343103409,0.14379361271858215
12,2,2,replay,0.15267474949359894,0.02986396849155426,0.041539907455444336,0.14384768903255463
16,0,0,recursive,0.5999786853790283,0.3341333270072937,0.33117708563804626,0.3723587989807129
16,0,0,replay,0.5971820950508118,0.3342553675174713,0.3287440836429596,0.36990153789520264
16,0,1,recursive,0.08106611669063568,0.04115934669971466,0.046900663524866104,0.05174891650676727
16,0,1,replay,0.08083586394786835,0.04101384058594704,0.04676993563771248,0.0516224205493927
16,0,2,recursive,0.03850441798567772,0.018973466008901596,0.021669257432222366,0.02555466629564762
16,0,2,replay,0.038501087576150894,0.01897275447845459,0.021667413413524628,0.025551743805408478
16,1,0,recursive,0.18270662426948547,0.10843867063522339,0.10044701397418976,0.10739253461360931
16,1,0,replay,0.17732132971286774,0.10484287142753601,0.0972762480378151,0.10482440143823624
16,1,1,recursive,0.08421815186738968,0.03546947240829468,0.051963116973638535,0.05598613619804382
16,1,1,replay,0.08419825881719589,0.03546302020549774,0.05195482447743416,0.05596799775958061
16,1,2,recursive,0.11153807491064072,0.042961157858371735,0.06106872111558914,0.08285947144031525
16,1,2,replay,0.10954169929027557,0.042356450110673904,0.06004125624895096,0.08124260604381561
16,2,0,recursive,0.1394605040550232,0.13574574887752533,0.021640459075570107,0.023537496104836464
16,2,0,replay,0.13945773243904114,0.13574273884296417,0.021640928462147713,0.02353803440928459
16,2,1,recursive,0.11766114085912704,0.02361154928803444,0.10879480093717575,0.03808316960930824
16,2,1,replay,0.11767546832561493,0.023615054786205292,0.10880742222070694,0.03808918967843056
16,2,2,recursive,0.14980025589466095,0.02889109030365944,0.04146572947502136,0.14101777970790863
16,2,2,replay,0.14984671771526337,0.028895067051053047,0.04148000851273537,0.14106212556362152
20,0,0,recursive,0.19777828454971313,0.11759747564792633,0.1021159440279007,0.12189920991659164
20,0,0,replay,0.19781938195228577,0.11759049445390701,0.10213824361562729,0.12195391207933426
20,0,1,recursive,0.058317285031080246,0.02576947771012783,0.034031275659799576,0.039733000099658966
20,0,1,replay,0.05834536254405975,0.02577551081776619,0.03404610604047775,0.03975760191679001
20,0,2,recursive,0.022170916199684143,0.008901749737560749,0.012242651544511318,0.016199560835957527
20,0,2,replay,0.02217150293290615,0.008901823312044144,0.012243020348250866,0.016200048848986626
20,1,0,recursive,0.11236860603094101,0.07369091361761093,0.05486147478222847,0.06470371782779694
20,1,0,replay,0.11236880719661713,0.0736997127532959,0.05485747009515762,0.06469743698835373
20,1,1,recursive,0.0626765638589859,0.027261964976787567,0.04072149842977524,0.03907550871372223
20,1,1,replay,0.0626756101846695,0.027262110263109207,0.04072217270731926,0.03907318785786629
20,1,2,recursive,0.07524819672107697,0.027997875586152077,0.03925563022494316,0.05777028203010559
20,1,2,replay,0.07526945322751999,0.028005193918943405,0.03926631063222885,0.05778716132044792
20,2,0,recursive,0.15159761905670166,0.1479082554578781,0.02270207554101944,0.02428169921040535
20,2,0,replay,0.15159030258655548,0.1479007601737976,0.022702110931277275,0.02428160421550274
20,2,1,recursive,0.1175459772348404,0.022482605651021004,0.110430046916008,0.0334184393286705
20,2,1,replay,0.11755891889333725,0.022483820095658302,0.11044211685657501,0.03342326730489731
20,2,2,recursive,0.13446272909641266,0.02471080981194973,0.03419104218482971,0.1276737004518509
20,2,2,replay,0.13448955118656158,0.024711383506655693,0.03419927507638931,0.12769962847232819
24,0,0,recursive,0.8665457963943481,0.49191832542419434,0.5012439489364624,0.5076143741607666
24,0,0,replay,0.8640919923782349,0.48963236808776855,0.49999797344207764,0.506869912147522
24,0,1,recursive,0.4632236957550049,0.242051899433136,0.2764793634414673,0.2820394039154053
24,0,1,replay,0.4601791203022003,0.23992867767810822,0.2744166851043701,0.2808816730976105
24,0,2,recursive,0.05304641276597977,0.028133993968367577,0.030717212706804276,0.03284589573740959
24,0,2,replay,0.05306839197874069,0.02814389578998089,0.030728675425052643,0.03286219388246536
24,1,0,recursive,0.4104464054107666,0.21348747611045837,0.24130523204803467,0.2542855143547058
24,1,0,replay,0.44303184747695923,0.2364477813243866,0.26357945799827576,0.2662621736526489
24,1,1,recursive,0.40335530042648315,0.23685301840305328,0.26237237453460693,0.19431127607822418
24,1,1,replay,0.4238981604576111,0.24808508157730103,0.27619436383247375,0.20459739863872528
24,1,2,recursive,0.09970587491989136,0.046853870153427124,0.055875953286886215,0.06799892336130142
