provider,evidence_label,known_best_fid1k_gain,time,rms,centroid,dc_fraction,low_fraction,mid_fraction,high_fraction
depth10_v,depth_probe,nan,0.46000000834465027,0.17118003964424133,0.3468632102012634,0.03407634049654007,0.13069778680801392,0.15021833777427673,0.7190839052200317
depth12_v,depth_probe,nan,0.46000000834465027,0.014520920813083649,0.30200183391571045,0.11376535892486572,0.27146202325820923,0.11806691437959671,0.6104710698127747
depth12_x,failed,0.0458,0.46000000834465027,0.09362858533859253,0.31617093086242676,0.06538362056016922,0.19157913327217102,0.1655009537935257,0.6429198980331421
external_v500,useful,6.6,0.46000000834465027,0.06675174087285995,0.31052565574645996,0.004516600165516138,0.16328155994415283,0.21429702639579773,0.6224214434623718
final_linear_x,failed,-0.3325,0.46000000834465027,0.22592374682426453,0.33957016468048096,0.07743925601243973,0.155339315533638,0.14340798556804657,0.7012526988983154
raw_final_h4,depth_probe,nan,0.46000000834465027,4.791431903839111,0.38738083839416504,0.03297042101621628,0.08871477842330933,0.08741188049316406,0.8238733410835266
raw_final_h6,depth_probe,nan,0.46000000834465027,3.9766831398010254,0.38227736949920654,0.03860761970281601,0.10122955590486526,0.08556074649095535,0.8132096529006958
raw_final_h8,failed,-0.039,0.46000000834465027,1.8029916286468506,0.38632726669311523,0.03576938062906265,0.09649209678173065,0.08503876626491547,0.8184691071510315
raw_final_h10,depth_probe,nan,0.46000000834465027,0.4416844844818115,0.3585619330406189,0.0512407124042511,0.13349276781082153,0.11133769154548645,0.7551695108413696
depth4_v,depth_probe,nan,0.47999998927116394,0.3529645502567291,0.330452024936676,0.012902900576591492,0.14419278502464294,0.1820547878742218,0.6737524271011353
depth6_v,depth_probe,nan,0.47999998927116394,0.338317334651947,0.3493753969669342,0.015853870660066605,0.12207705527544022,0.15520831942558289,0.7227146625518799
depth8_v,useful,12.4539,0.47999998927116394,0.29911184310913086,0.35904309153556824,0.02163795568048954,0.11673255264759064,0.1404602974653244,0.742807149887085
depth8_x,useful,5.6779,0.47999998927116394,0.3209383487701416,0.3433062434196472,0.027575861662626266,0.14089232683181763,0.14507000148296356,0.7140376567840576
depth8_epsilon,useful,7.191,0.47999998927116394,0.34496504068374634,0.367624431848526,0.014356490224599838,0.09460271149873734,0.14159861207008362,0.763798713684082
depth10_v,depth_probe,nan,0.47999998927116394,0.17723101377487183,0.35132288932800293,0.03147837519645691,0.12257388234138489,0.14701367914676666,0.7304124236106873
depth12_v,depth_probe,nan,0.47999998927116394,0.014610134065151215,0.30279603600502014,0.1121358573436737,0.26873552799224854,0.11923003196716309,0.6120344400405884
depth12_x,failed,0.0458,0.47999998927116394,0.09833429753780365,0.31730109453201294,0.06494361162185669,0.18817497789859772,0.16526170074939728,0.6465632915496826
external_v500,useful,6.6,0.47999998927116394,0.06818264722824097,0.31858354806900024,0.004048982635140419,0.149123877286911,0.20730236172676086,0.6435737609863281
final_linear_x,failed,-0.3325,0.47999998927116394,0.24292424321174622,0.34420183300971985,0.06975304335355759,0.14299295842647552,0.1439540982246399,0.7130529284477234
raw_final_h4,depth_probe,nan,0.47999998927116394,4.649083614349365,0.38594764471054077,0.03466245159506798,0.09331753849983215,0.08617367595434189,0.8205088376998901
raw_final_h6,depth_probe,nan,0.47999998927116394,3.8652820587158203,0.38075459003448486,0.040412649512290955,0.10616926848888397,0.08419886231422424,0.809631884098053
raw_final_h8,failed,-0.039,0.47999998927116394,1.7493312358856201,0.3854043185710907,0.0371796116232872,0.10039208829402924,0.08362391591072083,0.8159840106964111
raw_final_h10,depth_probe,nan,0.47999998927116394,0.4398289620876312,0.3585248589515686,0.051462724804878235,0.13361856341362,0.11097747832536697,0.755403995513916
depth4_v,depth_probe,nan,0.5,0.3663882613182068,0.3370569348335266,0.01185558456927538,0.1321905553340912,0.17717351019382477,0.6906359791755676
depth6_v,depth_probe,nan,0.5,0.3514866530895233,0.35518258810043335,0.014769797213375568,0.1121894121170044,0.15049347281455994,0.7373170852661133
depth8_v,useful,12.4539,0.5,0.30994197726249695,0.3639153242111206,0.02041468769311905,0.10872761905193329,0.13661235570907593,0.7546600103378296
depth8_x,useful,5.6779,0.5,0.3367333710193634,0.34798356890678406,0.02611200511455536,0.1328165978193283,0.14199838042259216,0.7251850366592407
depth8_epsilon,useful,7.191,0.5,0.3480711579322815,0.37029463052749634,0.013824841938912868,0.09088487178087234,0.1389913707971573,0.7701237797737122
depth10_v,depth_probe,nan,0.5,0.18345847725868225,0.3554115295410156,0.029130447655916214,0.1151890754699707,0.1441093236207962,0.7407016158103943
depth12_v,depth_probe,nan,0.5,0.014666297473013401,0.3033742606639862,0.11080934852361679,0.2667258381843567,0.12023912370204926,0.6130349636077881
depth12_x,failed,0.0458,0.5,0.10346120595932007,0.31849440932273865,0.06430239975452423,0.18456771969795227,0.16504669189453125,0.6503855586051941
external_v500,useful,6.6,0.5,0.0696604996919632,0.3258364200592041,0.0036616548895835876,0.13650169968605042,0.20087555050849915,0.6626228094100952
final_linear_x,failed,-0.3325,0.5,0.2613275945186615,0.3483770489692688,0.06271126121282578,0.1319100558757782,0.14436252415180206,0.7237273454666138
raw_final_h4,depth_probe,nan,0.5,4.503806114196777,0.3843727707862854,0.03647546097636223,0.09826070070266724,0.08493314683437347,0.8168061971664429
raw_final_h6,depth_probe,nan,0.5,3.7515807151794434,0.37910938262939453,0.04232705384492874,0.11142360419034958,0.08282188326120377,0.805754542350769
raw_final_h8,failed,-0.039,0.5,1.696602463722229,0.38444235920906067,0.038631319999694824,0.10441870987415314,0.08221112936735153,0.8133701682090759
raw_final_h10,depth_probe,nan,0.5,0.4384477734565735,0.3587989807128906,0.051474958658218384,0.13315054774284363,0.11050349473953247,0.7563459873199463
depth4_v,depth_probe,nan,0.5199999809265137,0.3797435760498047,0.34322354197502136,0.010812120512127876,0.12126030027866364,0.1724313497543335,0.7063083648681641
depth6_v,depth_probe,nan,0.5199999809265137,0.3646799325942993,0.36057063937187195,0.013690769672393799,0.1032547652721405,0.1459721326828003,0.7507731318473816
depth8_v,useful,12.4539,0.5199999809265137,0.32071495056152344,0.36849379539489746,0.01912720501422882,0.10123603045940399,0.13306355476379395,0.7657003998756409
depth8_x,useful,5.6779,0.5199999809265137,0.3529301583766937,0.35220617055892944,0.02471865341067314,0.12553462386131287,0.13936975598335266,0.7350956201553345
depth8_epsilon,useful,7.191,0.5199999809265137,0.35138851404190063,0.37313851714134216,0.013222509995102882,0.08695286512374878,0.1361953318119049,0.7768517732620239
depth10_v,depth_probe,nan,0.5199999809265137,0.18983972072601318,0.35921716690063477,0.026876309886574745,0.10831679403781891,0.14150948822498322,0.7501736879348755
depth12_v,depth_probe,nan,0.5199999809265137,0.014691700227558613,0.30371859669685364,0.10980141162872314,0.26555725932121277,0.12103112041950226,0.6134116053581238
depth12_x,failed,0.0458,0.5199999809265137,0.10909277200698853,0.31977006793022156,0.06353796273469925,0.18077857792377472,0.16476233303546906,0.6544591188430786
external_v500,useful,6.6,0.5199999809265137,0.07112814486026764,0.3324636220932007,0.003335219342261553,0.12516000866889954,0.19489918649196625,0.6799408197402954
final_linear_x,failed,-0.3325,0.5199999809265137,0.2813132405281067,0.3522208631038666,0.056187793612480164,0.12178392708301544,0.14463892579078674,0.7335771322250366
raw_final_h4,depth_probe,nan,0.5199999809265137,4.356292247772217,0.38264864683151245,0.038410745561122894,0.1035560891032219,0.08369307965040207,0.8127508163452148
raw_final_h6,depth_probe,nan,0.5199999809265137,3.636014938354492,0.3773326575756073,0.04435953497886658,0.11700809001922607,0.08143123239278793,0.801560640335083
raw_final_h8,failed,-0.039,0.5199999809265137,1.6447925567626953,0.38344693183898926,0.04011806473135948,0.10854831337928772,0.08080879598855972,0.8106428980827332
raw_final_h10,depth_probe,nan,0.5199999809265137,0.4374774694442749,0.35938575863838196,0.05125024542212486,0.13208335638046265,0.10993597656488419,0.7579806447029114
depth4_v,depth_probe,nan,0.5400000214576721,0.392927885055542,0.34895938634872437,0.009775407612323761,0.11130835860967636,0.16785314679145813,0.7208384871482849
depth6_v,depth_probe,nan,0.5400000214576721,0.3777870535850525,0.3655532896518707,0.012639554217457771,0.09518255293369293,0.14166104793548584,0.7631564140319824
depth8_v,useful,12.4539,0.5400000214576721,0.3314335346221924,0.37274181842803955,0.01783119887113571,0.0942646712064743,0.1298321783542633,0.7759031653404236
depth8_x,useful,5.6779,0.5400000214576721,0.3695569932460785,0.35594260692596436,0.02341409958899021,0.11905673146247864,0.1371810883283615,0.743762195110321
depth8_epsilon,useful,7.191,0.5400000214576721,0.35493409633636475,0.37609511613845825,0.012570265680551529,0.08282574266195297,0.13331419229507446,0.7838600873947144
depth10_v,depth_probe,nan,0.5400000214576721,0.19633647799491882,0.36267760396003723,0.02484530210494995,0.10207733511924744,0.13918831944465637,0.758734405040741
depth12_v,depth_probe,nan,0.5400000214576721,0.014679760672152042,0.3035546839237213,0.10938587784767151,0.2657886743545532,0.1216658502817154,0.6125454306602478
depth12_x,failed,0.0458,0.5400000214576721,0.11533352732658386,0.32112231850624084,0.06263508647680283,0.17678380012512207,0.16446521878242493,0.6587510108947754
external_v500,useful,6.6,0.5400000214576721,0.07258822023868561,0.3385462760925293,0.003059885697439313,0.11493249237537384,0.18922212719917297,0.695845365524292
final_linear_x,failed,-0.3325,0.5400000214576721,0.3031408488750458,0.3557749390602112,0.050164949148893356,0.11252596974372864,0.14477328956127167,0.7427006959915161
raw_final_h4,depth_probe,nan,0.5400000214576721,4.207642078399658,0.38076502084732056,0.040478650480508804,0.1092224270105362,0.08245714008808136,0.8083204627037048
raw_final_h6,depth_probe,nan,0.5400000214576721,3.519455909729004,0.375413179397583,0.0465167760848999,0.12294523417949677,0.0800318717956543,0.7970229387283325
raw_final_h8,failed,-0.039,0.5400000214576721,1.59429132938385,0.3824191689491272,0.04163714125752449,0.11276578903198242,0.07943077385425568,0.8078034520149231
raw_final_h10,depth_probe,nan,0.5400000214576721,0.43689659237861633,0.36026066541671753,0.050803303718566895,0.13046953082084656,0.1092807799577713,0.760249674320221
