name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline
screen_map_external_v500_equal_action_early_high,screen,causal_map,band_time,external_v500,equal_action,early,high,,3.0,,,,[],1000,dopri5,82.74539661395119,221.06657457721712,30.718505859375,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7876,96.24810240598163,2.223307779884749
screen_map_depth8_v_equal_action_early_mid,screen,causal_map,band_time,depth8_v,equal_action,early,mid,,0.4,,,,[],1000,dopri5,82.77219050533296,220.7178129151314,30.76092529296875,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6706,53.287934181978926,2.1965138885029774
screen_map_depth8_v_equal_action_early_high,screen,causal_map,band_time,depth8_v,equal_action,early,high,,0.4,,,,[],1000,dopri5,82.83543605043826,220.73856111259067,30.135072708129883,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6826,54.82071644201642,2.133268343397674
screen_map_external_v500_equal_action_early_mid,screen,causal_map,band_time,external_v500,equal_action,early,mid,,3.0,,,,[],1000,dopri5,82.84767727826659,221.4398421089162,30.499893188476562,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7642,94.23874103603885,2.1210271155693476
screen_map_external_v500_native_early_high,screen,causal_map,band_time,external_v500,native,early,high,,3.0,,,,[],1000,dopri5,83.09935242577984,221.24374868604548,30.79838752746582,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7726,92.27248768304707,1.869351968056094
screen_map_external_v500_native_early_mid,screen,causal_map,band_time,external_v500,native,early,mid,,3.0,,,,[],1000,dopri5,83.25816633645195,221.57730766041482,30.411277770996094,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7336,89.42010801105062,1.7105380573839852
screen_map_external_v500_native_late_high,screen,causal_map,band_time,external_v500,native,late,high,,3.0,,,,[],1000,dopri5,83.44529615222916,223.92063695141383,28.74790382385254,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10336,116.77419945097063,1.5234082416067736
screen_map_depth8_v_native_late_mid,screen,causal_map,band_time,depth8_v,native,late,mid,,0.4,,,,[],1000,dopri5,83.54615484914359,222.08794486140096,29.685949325561523,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6970,57.986683605005965,1.4225495446923446
screen_map_depth8_v_native_early_mid,screen,causal_map,band_time,depth8_v,native,early,mid,,0.4,,,,[],1000,dopri5,83.57823960541737,221.41101632511595,30.22190284729004,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6658,54.825308289029635,1.3904647884185692
screen_map_external_v500_native_mid_mid,screen,causal_map,band_time,external_v500,native,mid,mid,,3.0,,,,[],1000,dopri5,83.59542406594016,222.22911809637344,29.19272804260254,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7378,88.63683038705494,1.3732803278957704
screen_map_external_v500_equal_action_mid_mid,screen,causal_map,band_time,external_v500,equal_action,mid,mid,,3.0,,,,[],1000,dopri5,83.60828717270488,222.17915844400386,29.144161224365234,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7204,90.72273206600221,1.3604172211310583
screen_map_depth8_v_equal_action_late_mid,screen,causal_map,band_time,depth8_v,equal_action,late,mid,,0.4,,,,[],1000,dopri5,83.63222652109971,222.09780651459312,29.676557540893555,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6880,57.65295725100441,1.336477872736225
screen_map_depth8_v_equal_action_mid_low,screen,causal_map,band_time,depth8_v,equal_action,mid,low,,0.4,,,,[],1000,dopri5,83.65666974604642,221.48540447729,29.773685455322266,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6658,53.04116573097417,1.3120346477895168
screen_map_depth8_v_native_mid_low,screen,causal_map,band_time,depth8_v,native,mid,low,,0.4,,,,[],1000,dopri5,83.8882542516219,221.59067571526953,29.72307586669922,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6676,52.7418613480404,1.0804501422140333
screen_static_depth12,screen,idea1_time_varying_depth,static_depth,,,,,,0.4,False,,12,[],1000,dopri5,83.97475665281411,220.34789325829115,29.446504592895508,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6688,49.377350720984396,0.9939477410218274
