name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline,fid_gain_vs_adaptive_baseline,matched_baseline_name,matched_baseline_fid,fid_gain_vs_integrator_baseline
screen_map_depth8_v_native_late_mid,screen,causal_map,band_time,depth8_v,native,late,mid,,0.4,,,,[],1000,dopri5,83.54615484914359,222.08794486140096,29.685949325561523,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6970,57.986683605005965,1.4225495446923446,1.4225495446923446,screen_baseline_adaptive,84.96870439383594,1.4225495446923446
screen_map_depth8_v_native_mid_high,screen,causal_map,band_time,depth8_v,native,mid,high,,0.4,,,,[],1000,dopri5,76.44074523007362,218.29737896375585,29.730077743530277,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7696,62.71712959097931,8.527959163762318,8.527959163762318,screen_baseline_adaptive,84.96870439383594,8.527959163762318
screen_map_depth8_v_native_mid_low,screen,causal_map,band_time,depth8_v,native,mid,low,,0.4,,,,[],1000,dopri5,83.8882542516219,221.59067571526955,29.72307586669922,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6676,52.7418613480404,1.0804501422140331,1.0804501422140333,screen_baseline_adaptive,84.96870439383594,1.0804501422140333
screen_map_depth8_v_native_mid_mid,screen,causal_map,band_time,depth8_v,native,mid,mid,,0.4,,,,[],1000,dopri5,82.69249732723426,221.4910864791996,29.90218734741211,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6712,56.31209859199589,2.276207066601671,2.276207066601671,screen_baseline_adaptive,84.96870439383594,2.276207066601671
screen_map_external_v500_equal_action_early_high,screen,causal_map,band_time,external_v500,equal_action,early,high,,3.0,,,,[],1000,dopri5,82.74539661395119,221.06657457721712,30.718505859375,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7876,96.24810240598164,2.223307779884749,2.223307779884749,screen_baseline_adaptive,84.96870439383594,2.223307779884749
screen_map_external_v500_equal_action_early_low,screen,causal_map,band_time,external_v500,equal_action,early,low,,3.0,,,,[],1000,dopri5,82.61044544904905,220.59824467427572,30.573156356811523,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7636,90.60602251597447,2.3582589447868827,2.3582589447868827,screen_baseline_adaptive,84.96870439383594,2.3582589447868827
screen_map_external_v500_equal_action_early_mid,screen,causal_map,band_time,external_v500,equal_action,early,mid,,3.0,,,,[],1000,dopri5,82.84767727826659,221.4398421089162,30.49989318847656,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7642,94.23874103603885,2.121027115569348,2.1210271155693476,screen_baseline_adaptive,84.96870439383594,2.1210271155693476
screen_map_external_v500_equal_action_late_high,screen,causal_map,band_time,external_v500,equal_action,late,high,,3.0,,,,[],1000,dopri5,84.11858384028722,222.7373081755311,29.48505973815918,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7984,95.69670674402732,0.8501205535487202,0.8501205535487202,screen_baseline_adaptive,84.96870439383594,0.8501205535487202
screen_map_external_v500_equal_action_late_low,screen,causal_map,band_time,external_v500,equal_action,late,low,,3.0,,,,[],1000,dopri5,84.7961832918358,222.71144496298015,29.57473564147949,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8194,96.84237511304671,0.1725211020001325,0.1725211020001325,screen_baseline_adaptive,84.96870439383594,0.1725211020001325
screen_map_external_v500_equal_action_late_mid,screen,causal_map,band_time,external_v500,equal_action,late,mid,,3.0,,,,[],1000,dopri5,84.51761111367642,222.94290383769783,29.441913604736328,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7810,93.68929191405186,0.4510932801595118,0.4510932801595118,screen_baseline_adaptive,84.96870439383594,0.4510932801595118
screen_map_external_v500_equal_action_mid_high,screen,causal_map,band_time,external_v500,equal_action,mid,high,,3.0,,,,[],1000,dopri5,82.0223008980496,221.8386767549465,30.21087455749512,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7282,89.8899885879946,2.946403495786342,2.946403495786342,screen_baseline_adaptive,84.96870439383594,2.946403495786342
screen_map_external_v500_equal_action_mid_low,screen,causal_map,band_time,external_v500,equal_action,mid,low,,3.0,,,,[],1000,dopri5,84.30853729952617,222.2359240789242,30.015411376953125,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7390,89.44063611800084,0.6601670943097702,0.6601670943097702,screen_baseline_adaptive,84.96870439383594,0.6601670943097702
screen_map_external_v500_equal_action_mid_mid,screen,causal_map,band_time,external_v500,equal_action,mid,mid,,3.0,,,,[],1000,dopri5,83.60828717270488,222.17915844400383,29.144161224365234,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7204,90.7227320660022,1.3604172211310583,1.3604172211310583,screen_baseline_adaptive,84.96870439383594,1.3604172211310583
screen_map_external_v500_native_early_high,screen,causal_map,band_time,external_v500,native,early,high,,3.0,,,,[],1000,dopri5,83.09935242577984,221.24374868604548,30.79838752746582,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7726,92.27248768304707,1.869351968056094,1.869351968056094,screen_baseline_adaptive,84.96870439383594,1.869351968056094
screen_map_external_v500_native_early_low,screen,causal_map,band_time,external_v500,native,early,low,,3.0,,,,[],1000,dopri5,82.54700275515052,220.5334571814741,30.99366569519043,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7696,93.4654333940125,2.42170163868542,2.4217016386854198,screen_baseline_adaptive,84.96870439383594,2.4217016386854198
screen_map_external_v500_native_early_mid,screen,causal_map,band_time,external_v500,native,early,mid,,3.0,,,,[],1000,dopri5,83.25816633645195,221.5773076604148,30.411277770996094,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7336,89.42010801105062,1.7105380573839852,1.7105380573839852,screen_baseline_adaptive,84.96870439383594,1.7105380573839852
screen_map_external_v500_native_late_high,screen,causal_map,band_time,external_v500,native,late,high,,3.0,,,,[],1000,dopri5,83.44529615222916,223.92063695141383,28.74790382385254,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10336,116.77419945097064,1.5234082416067736,1.5234082416067736,screen_baseline_adaptive,84.96870439383594,1.5234082416067736
screen_map_external_v500_native_late_low,screen,causal_map,band_time,external_v500,native,late,low,,3.0,,,,[],1000,dopri5,84.71864459503917,222.43625494646997,29.695606231689453,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7660,92.46980840101604,0.2500597987967694,0.25005979879676943,screen_baseline_adaptive,84.96870439383594,0.25005979879676943
screen_map_external_v500_native_late_mid,screen,causal_map,band_time,external_v500,native,late,mid,,3.0,,,,[],1000,dopri5,84.5174413849528,222.9433763176113,29.440967559814453,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7810,93.77984107402152,0.4512630088831315,0.45126300888313153,screen_baseline_adaptive,84.96870439383594,0.45126300888313153
screen_map_external_v500_native_mid_high,screen,causal_map,band_time,external_v500,native,mid,high,,3.0,,,,[],1000,dopri5,78.3810725604219,221.40878723372725,31.195772171020508,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8050,96.60054649598897,6.5876318334140365,6.5876318334140365,screen_baseline_adaptive,84.96870439383594,6.5876318334140365
screen_map_external_v500_native_mid_low,screen,causal_map,band_time,external_v500,native,mid,low,,3.0,,,,[],1000,dopri5,84.2561043507472,222.20949709525485,29.96043968200684,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7306,90.82626964402152,0.7126000430887416,0.7126000430887416,screen_baseline_adaptive,84.96870439383594,0.7126000430887416
screen_map_external_v500_native_mid_mid,screen,causal_map,band_time,external_v500,native,mid,mid,,3.0,,,,[],1000,dopri5,83.59542406594016,222.22911809637344,29.19272804260254,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7378,88.63683038705494,1.3732803278957704,1.3732803278957704,screen_baseline_adaptive,84.96870439383594,1.3732803278957704
