direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean,critic_seed
internal_depth8,q2,0.5,0.75,1017,-0.00023322110424906146,0.00035582844746818055,0.0013281495756853827,0.0002806121018641945,1.7175090475543466e-06,8.176702343543651e-05,-0.17559852332799886,0.02100491097013574,-2.383486316691797e-06,-7.833200534032781e-05,0.5889872173058014,25.885144581328507,-7.062904491185439,-0.004503709681972436,seed3
internal_depth8,q3,0.75,1.0,997,-0.002070137453494349,0.0016946418614993898,0.0033663859955313517,0.00047357893668414957,-0.00048541995390436095,0.00023471245590471596,-0.6149435793287863,-2.0681473935129477,-2.5270318135446233e-05,-0.0012055523637134382,0.6810431293881645,25.2496170970333,-5.182624038447109,-0.002879547413762624,seed3
internal_depth10,overall,0.0,1.0,4096,-0.0014058532403282697,0.0005593283932961655,-0.00012549389636440367,9.261003131532078e-05,-5.7650645855941196e-05,3.513699901944481e-05,11.202562682777932,-1.6407390347717896,3.371032836659143e-07,-0.00015043829073132695,0.501708984375,12.782515059893226,-1.5640985802929208,-0.001065523503148116,seed3
internal_depth10,high_noise,0.0,0.5,2082,-0.001660548495787431,0.000722696790384558,-0.001297659351259704,0.00012750356810684347,-3.3238919327602684e-06,3.5515069502142764e-05,1.279649003550471,-0.09359102993054047,2.6257327756458344e-06,-4.216285336766331e-05,0.40393852065321806,8.279649236268646,-0.30642921924161637,0.0005907125023086029,seed3
internal_depth10,low_noise,0.5,1.0,2014,-0.0011425585422816093,0.000857960519260366,0.0010862481478719497,0.00012913066441875033,-0.00011381166952429405,3.474616349562299e-05,-1.0518393467643432,-3.275517584513497,-3.6621392395325874e-06,-0.00026236950254421103,0.602780536246276,16.168949854310803,-2.8642314550242096,-0.0027776800887294906,seed3
internal_depth10,q0,0.0,0.25,994,-0.00246539192615729,0.0014479397182963992,-0.0021517290475875374,0.00022003130572168455,-8.621502351026519e-06,5.2704816963338277e-05,1.1457724795421724,-0.16358091817345038,5.9797729481688895e-06,-6.9947821665391e-05,0.35110663983903423,6.0350848647049675,0.06598185452537038,0.0018269845616671247,seed3
internal_depth10,q1,0.25,0.5,1088,-0.000925241170614968,0.0004032408894734581,-0.0005173787647249008,0.00013408446196864799,1.5160205265748869e-06,1.9810465663513786e-05,1.7883245964045988,0.0765262438715431,6.897194816625225e-07,-1.6778424610364075e-05,0.4522058823529412,9.894794922898493,-0.646665071561823,-0.0005387492872156358,seed3
internal_depth10,q2,0.5,0.75,1017,-0.00023322110424906146,0.00035582844746818055,0.0007837199493363543,0.0001442026646501197,2.3728463725312028e-06,2.1741335987057743e-05,-0.29758219686324255,0.10913986030774368,-9.797770230002637e-07,-1.699564324199535e-05,0.5958702064896755,15.517704229949896,-2.9745934170138755,-0.0030138799261999927,seed3
internal_depth10,q3,0.75,1.0,997,-0.002070137453494349,0.0016946418614993898,0.0013948451166891015,0.00021506111322612363,-0.00023232686778615092,4.801187019192275e-05,-1.4841342803767108,-4.838946428402956,-7.720635135315042e-06,-0.0005126656057642242,0.6098294884653962,16.80728092179099,-2.7516556121521036,-0.002536742039875428,seed3
internal_depth12,overall,0.0,1.0,4096,-0.0014058532403282697,0.0005593283932961655,-0.00011363009418763337,1.0067922149345123e-05,-5.4698854313264365e-06,4.2799351428468835e-07,12.37219110288542,-12.78029981474914,3.0658267391989143e-07,-1.1367764376937588e-05,0.42578125,0.8724124536553716,-0.13010105777220815,-0.002277923351815303,seed3
