direction,time_bin,critic_seeds,samples_per_seed,A_mean,A_mean_between_seed_sd,A_se,A_se_between_seed_sd,B_mean,B_mean_between_seed_sd,B_se,B_se_between_seed_sd,AB_mean,AB_mean_between_seed_sd,B2_mean,B2_mean_between_seed_sd,gamma_hat_mean,gamma_hat_mean_between_seed_sd,gamma_hat_sample_ls,gamma_hat_sample_ls_between_seed_sd,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_mean_residual_between_seed_sd,predicted_reduction_gamma1_sample_ls,predicted_reduction_gamma1_sample_ls_between_seed_sd,B_positive_fraction,B_positive_fraction_between_seed_sd,direction_rms,direction_rms_between_seed_sd,euclidean_B_mean,euclidean_B_mean_between_seed_sd,euclidean_cosine_mean,euclidean_cosine_mean_between_seed_sd,gamma_hat_multicritic,A_positive_seed_fraction,B_positive_seed_fraction,gamma_positive_seed_fraction
internal_depth4,q3,4,997,-0.0006250224834954443,0.0010196277257605948,0.0007951626501752542,0.0006196775998833166,-0.0011825676227887588,0.0029991439073574298,0.0003230084145722079,8.215327725706119e-05,-8.81192156673167e-05,8.586399445864716e-05,0.0001171033356963257,5.5603682948988374e-05,-0.09688576700576604,0.41292894381536643,-0.615114588147355,0.4739215904861931,-1.1129014753518768e-05,1.0470893776049385e-05,-0.000293341767030959,0.00022170685945713391,0.41374122367101307,0.17622062716924267,28.397417784359,0.0,-5.69106015141534,0.0,-0.0027828455961295233,0.0,-0.1832131223625887,0.25,0.25,0.5
internal_depth6,high_noise,4,2082,-0.0007563128197423315,0.0007468488195768111,0.0007553129393064644,0.00010237283090622096,-0.0008149694466354314,0.0005399057763736205,0.0001910467895019738,1.6635945705300626e-05,5.048121424782472e-06,8.963791435355722e-06,7.72689042622456e-05,1.2908044861494576e-05,1.4255514517135297,1.5314135015943209,0.06413314116398935,0.10362006434757912,6.531013348713505e-08,1.4041419825446901e-06,-6.717266141268078e-05,1.9532069070630422e-05,0.45749279538904897,0.03315744867559119,15.070643200632128,0.0,-4.287736484743332,0.0,-0.003937119756880308,0.0,0.5369903806155751,0.0,0.0,1.0
internal_depth6,low_noise,4,2014,-0.0003443901061876113,0.0006337050756331097,0.00043994994858047315,0.0002872466074469812,-0.0011314452842294321,0.0031237883086021948,0.00024567295647012804,8.180536407707245e-05,-0.0001111139781948535,0.00015695758789993636,0.00014019715371469521,8.989594905531206e-05,-0.03199261317920407,0.3266288437106752,-0.5269116672389293,0.5835582634637523,-1.0436067282949162e-05,1.1338525620973669e-05,-0.0003624251101044022,0.00039855264760667964,0.4350794438927508,0.1566439831152735,28.844423370629467,0.0,-7.314983235274432,0.0,-0.0039160064366019565,0.0,-0.10683923106171289,0.5,0.25,0.25
internal_depth6,overall,4,4096,-0.0005537707433020955,0.0006902635826104194,0.0004523983809395036,9.297385977152132e-05,-0.0009705803687336534,0.0015776635094706785,0.000157167416203614,3.719442122010581e-05,-5.206869220655219e-05,7.921412687769228e-05,0.0001082106753553202,4.980240101065244e-05,-0.07765799985818106,0.894424680269912,-0.3376111190220835,0.4631534653807588,-3.297692216865302e-06,3.538924111718685e-06,-0.0002123480597684245,0.00020372407890202233,0.44647216796875,0.09038950148719202,22.90287265270309,0.0,-5.77623134694295,0.0,-0.003926738353794223,0.0,-0.08703015432759068,0.25,0.25,0.5
internal_depth6,q0,4,994,-0.0014114446696159861,0.0012746901680018145,0.0015342023158276188,0.00022443075772389485,-0.0006048219458381014,0.0006554688579656258,0.00032978440013466055,2.4817853221332145e-05,9.502147669618165e-06,1.850730030497105e-05,0.00010914319624039665,1.6280996433060795e-05,2.2731253344047446,1.8736428382045507,0.07951327224672167,0.15656453669336604,1.717797167848258e-06,1.5756533038072223e-06,-9.013890090116039e-05,3.089826044535103e-05,0.4786217303822937,0.01831934586674898,10.194781792848985,0.0,-2.732265293478246,0.0,-0.0028182737563109063,0.0,1.7483280623551376,0.25,0.25,1.0
internal_depth6,q1,4,1088,-0.00015778243483937864,0.0005656667304065833,0.0003471796994367728,3.8070546072267686e-05,-0.0010069608214447565,0.0008389075346122111,0.00020524119350648947,3.167474871475786e-05,9.789099474233952e-07,3.776837457408297e-06,4.814845736308923e-05,1.4070221132519398e-05,0.5838779890463068,1.599980871966498,0.004906857420691125,0.10304164028280993,-1.595343429026833e-06,2.48217974925931e-06,-4.619063746824246e-05,1.1014512729287132e-05,0.43818933823529416,0.05645594887062004,18.43018399476371,0.0,-5.708819539998384,0.0,-0.004959300753724042,0.0,-0.017365785425207378,0.5,0.0,0.5
internal_depth6,q2,4,1017,-6.927655635879172e-05,0.00044935784509480333,0.0003408488326671884,3.966443060854172e-05,-0.0006468409278161385,0.0019444256346723618,0.0002781517929712252,2.333563397791814e-05,-2.360723299835536e-06,5.455753699785234e-06,8.227525960613472e-05,1.5914285374781108e-05,-1.729944611240019,3.071757148194523,-0.036610558032603616,0.06845339259862368,-3.899197093466916e-06,4.446907417393182e-06,-8.69967062058058e-05,1.1626020277211773e-05,0.4668141592920354,0.10037970149808173,29.744627645264668,0.0,-9.033608023395931,0.0,-0.005126294987104872,0.0,-0.09913972348279923,0.5,0.5,0.0
internal_depth6,q3,4,997,-0.0006250224834954443,0.0010196277257605948,0.0007951626501752542,0.0006196775998833166,-0.0016257708915236341,0.0044686447153149894,0.0003941145848563312,0.00018996318433701584,-0.00022204884301755488,0.0003169342800074281,0.00019928097147638634,0.0001677373993413459,-0.05257772981183964,0.29999166168570207,-0.6872038309730745,0.7005831895218669,-2.2122609916342802e-05,2.168073610760487e-05,-0.0006433786575114958,0.0007937420001102626,0.40270812437311937,0.22253618828416893,27.896247580640022,0.0,-5.561882523619902,0.0,-0.002681439279268493,0.0,-0.1277798308776741,0.25,0.25,0.5
internal_depth8,high_noise,4,2082,-0.0007563128197423315,0.0007468488195768111,0.0007553129393064644,0.00010237283090622096,-0.0008867431595623433,0.0006446601264624884,0.00016916199307081832,1.3936722603962088e-05,6.192590677766053e-07,4.7104303517350665e-06,6.095058937508053e-05,9.817414308075197e-06,1.6499737327283064,2.3492197777153976,0.015043956174673391,0.08043323340305611,2.912370894909294e-07,1.7413321541294424e-06,-5.97120712395275e-05,1.6380623124768817e-05,0.449207492795389,0.039450316369824226,13.442277230246656,0.0,-2.5708021722111303,0.0,-0.0023282637325344503,0.0,0.6326212099508546,0.0,0.0,1.0
internal_depth8,low_noise,4,2014,-0.0003443901061876113,0.0006337050756331097,0.00043994994858047315,0.0002872466074469812,-0.0014181441570284663,0.0029740116705681305,0.00022646342185638548,6.374598072067177e-05,-8.850399909320737e-05,0.00010868520052871304,0.00011801771334925898,6.488684534800122e-05,-0.11443353426719341,0.29440715811080354,-0.5802418188332555,0.6504883572611352,-9.815591555407494e-06,1.045005321535812e-05,-0.00029502571153567367,0.000267809128413197,0.40752234359483613,0.16311479196058637,25.57251053370031,0.0,-6.1321003147305655,0.0,-0.0036996929086828712,0.0,-0.06772361899199164,0.5,0.25,0.25
