sample,index,noise_time,h,H,native_rms,latent_rms,identity_residual_rms,contrast_rms,contrast_over_native,contrast_cos_native,clock_rms,clock_over_native,clock_cos_native,state_rms,state_over_native,state_cos_native,total_rms,total_over_native,total_cos_native,contrast_cos_clock,contrast_cos_state,clock_cos_state,contrast_over_latent,clock_over_latent,state_over_latent,total_over_latent
0,15,0.625,0.025,0.125,0.0291870292276144,0.6826512217521667,8.487910374554986e-10,0.0126962848007678,0.4349974989891052,0.6919365525245667,0.0098654879257082,0.3380093276500702,0.4211850464344024,0.0027526291087269,0.0943100154399871,-0.7279532551765442,0.0131235066801309,0.4496348798274994,0.8333469033241272,-0.0840614214539527,-0.660397469997406,-0.4908017218112945,0.01859849421814574,0.014451725290092308,0.004032262773458023,0.019224321676956327
1,15,0.625,0.025,0.125,0.021838117390871,0.6699844598770142,5.627181498546463e-10,0.0076453667134046,0.3500927686691284,0.3402651250362396,0.0092998035252094,0.4258518815040588,0.423306941986084,0.0016569833969697,0.0758757442235946,-0.636111855506897,0.0081264395266771,0.3721218109130859,0.6748461127281189,-0.3921084702014923,-0.3245169818401336,-0.5731578469276428,0.011411259769828128,0.013880625719164473,0.002473166910877104,0.01212929554839053
2,15,0.625,0.025,0.125,0.0348814725875854,0.7322971820831299,7.963410486588883e-10,0.0130136860534548,0.3730830550193786,0.764677882194519,0.0092032784596085,0.2638443112373352,0.2184855043888092,0.0024549921508878,0.0703809782862663,-0.7606547474861145,0.0124099096283316,0.3557736873626709,0.813435435295105,-0.1889653354883194,-0.6379775404930115,-0.443667471408844,0.01777104483242091,0.012567682472064667,0.003352453363133536,0.016946548384946313
3,15,0.625,0.025,0.125,0.0222676657140254,0.6825596690177917,5.66272140289925e-10,0.0060158572159707,0.2701610922813415,0.4582110941410064,0.0092480275779962,0.4153119325637817,0.4738571345806122,0.0015203217044472,0.0682748556137085,-0.6499902009963989,0.0088218180462718,0.3961716592311859,0.6972011923789978,-0.20023974776268,-0.2805915772914886,-0.6682174801826477,0.008813672253192987,0.013549039003878119,0.0022273828552380687,0.012924610765482904
4,0,1.0,0.025,0.025,0.0267794094979763,1.0175812244415283,1.7768571336507222e-10,0.0030049956403672,0.1122129186987876,0.3217326998710632,0.0024030276108533,0.0897341519594192,-0.3159831464290619,0.000773748208303,0.0288933999836444,0.6861856579780579,0.0032100493554025,0.1198700591921806,0.230035126209259,-0.3239069879055023,0.2123104631900787,-0.3786777853965759,0.002953076932032045,0.002361509384346332,0.0007603798003718578,0.0031545878385917034
5,0,1.0,0.025,0.025,0.0265743527561426,0.9990286827087402,1.8695203718444017e-10,0.0033981124870479,0.127871885895729,0.4134470820426941,0.0016566154081374,0.0623388811945915,-0.5062832236289978,0.0007248035981319,0.027274552732706,0.7196394801139832,0.0034215238410979,0.1287528574466705,0.317934513092041,-0.3016318380832672,0.2005941867828369,-0.292399138212204,0.003401416341555226,0.001658226071793751,0.0007255082968856175,0.0034248504575673144
6,0,1.0,0.025,0.025,0.0247742868959903,0.9713345766067504,2.2828784695949622e-10,0.0036521439906209,0.1474167108535766,0.1644027829170227,0.0038337935693562,0.1547489017248153,-0.0806283578276634,0.0006045122281648,0.0244007930159568,0.9657800197601318,0.0038005821406841,0.153408333659172,0.230263665318489,-0.4964478015899658,0.1345417946577072,-0.1400431543588638,0.003759923798223327,0.003946934106627948,0.0006223522179933061,0.00391274256287778
7,0,1.0,0.025,0.025,0.0253511220216751,1.0064201354980469,1.6397451452210274e-10,0.0025879724416881,0.1020851209759712,0.1236926019191742,0.002803954295814,0.110604740679264,-0.0723331347107887,0.0006154621369205,0.0242775101214647,0.9844917058944702,0.0029620039276778,0.116839163005352,0.2441629320383072,-0.4178885221481323,0.1259574890136718,-0.145293653011322,0.0025714632988810293,0.002786067365818757,0.0006115359929836126,0.0029431087705851532
4,0,1.0,0.025,0.125,0.0267794094979763,1.0175812244415283,3.3617864048096635e-10,0.0030049956403672,0.1122129186987876,0.3217326998710632,0.0058000870048999,0.21658755838871,-0.2819066345691681,0.0009808633476495,0.0366275198757648,0.3903276920318603,0.0054587153717875,0.2038400173187255,-0.0522868931293487,-0.2162882536649704,0.0556480847299099,-0.5821744203567505,0.002953076932032045,0.005699876202101822,0.0009639165150554149,0.005364402605584008
5,0,1.0,0.025,0.125,0.0265743527561426,0.9990286827087402,3.1434232994342887e-10,0.0033981124870479,0.127871885895729,0.4134470820426941,0.0049945274367928,0.1879453957080841,-0.2833761572837829,0.0009819061961025,0.0369493924081325,0.3836011290550232,0.005170177668333,0.1945551633834839,0.0708428546786308,-0.107300117611885,0.0627951323986053,-0.7649363875389099,0.003401416341555226,0.004999383424358517,0.0009828608658564088,0.005175204433885437
