weak,s,target_t,dt,n,disc_auc,gap_rms_mean,gap_rms_std,grad_rms_mean,grad_rms_std,cos_grad_gap_mean,cos_grad_gap_std,inner_mean_mean,inner_mean_std,signed_coeff_mean,signed_coeff_std,positive_coeff_mean,positive_coeff_std,finite_delta_plus_mean,finite_delta_plus_std,finite_delta_minus_mean,finite_delta_minus_std,positive_alignment_fraction
v300,0.1875,0.23749999701976776,0.05000000074505806,128,0.5146484375,0.051132961772964336,0.02262414951068392,0.00024705314450557125,9.646101101233384e-05,-0.018289146213646745,0.08116493480841853,-1.3845958227176602e-07,1.1015815145739737e-06,-4.492496530783541e-06,3.062941577649684e-05,8.268243687048482e-06,1.7982659402695507e-05,-2.68986627816048e-05,0.00022267758094842517,2.9715477353420283e-05,0.00022881794810866452,0.3984375
v300,0.3125,0.36250001192092896,0.05000000074505806,128,0.54498291015625,0.07238906490965746,0.022500783456558218,0.0002048217518790807,9.955739523178165e-05,-0.0031714395004200924,0.06142329926906015,-3.4983389962661704e-08,9.296816641866218e-07,2.1032256436459562e-07,1.1170361762509976e-05,3.7657281088954164e-06,7.923046828107476e-06,-7.242269930429757e-06,0.00018922453370090797,7.130351605155738e-06,0.00019161943102483846,0.46875
v300,0.4375,0.48750001192092896,0.05000000074505806,128,0.50152587890625,0.09610957439872436,0.02316625387255973,0.00014130434075809717,7.50700394930092e-05,0.001860457334032617,0.046773510354712625,3.823297381466695e-08,6.528629438546903e-07,-1.6781040522440005e-08,4.412104262483296e-06,1.495047191713006e-06,2.3555114699191173e-06,7.388166523014661e-06,0.0001340819903843912,-8.290131859212124e-06,0.00013340817448297953,0.4921875
v300,0.5625,0.612500011920929,0.05000000074505806,128,0.50006103515625,0.11514899949543178,0.023031371469936654,0.00012627590315617,7.552336426322229e-05,-0.0008129242476115905,0.02933335668981747,2.9541187690496074e-09,4.6412156175607813e-07,-8.578781447721173e-08,2.037434304561419e-06,6.409424699316268e-07,1.113666833376824e-06,3.826789907179773e-07,9.527305361248094e-05,-9.001523721963167e-07,9.46312083363602e-05,0.5
v300,0.6875,0.737500011920929,0.05000000074505806,128,0.49786376953125,0.12609157845145091,0.016494034277466152,0.00010209427482266165,5.617268283549781e-05,-0.002371373124447018,0.019363161100559675,-2.531378082148983e-08,3.045302287067775e-07,-7.593411894060709e-08,9.767681819233402e-07,3.0044558178496383e-07,5.962134252033249e-07,-5.442132533062249e-06,6.224169561430847e-05,4.9169466365128756e-06,6.271200844702825e-05,0.4453125
v300,0.8125,0.862500011920929,0.05000000074505806,128,0.56719970703125,0.1386344478232786,0.017556025036523232,8.627709978270559e-05,5.638133532962669e-05,-0.0011257414037117996,0.016872609995105214,-2.036573884534043e-08,2.7284114561976747e-07,-4.8958691361428164e-08,8.026015205880325e-07,1.9901949431869181e-07,4.791570001424916e-07,-4.3823529267683625e-06,5.595964851016051e-05,3.954577550757676e-06,5.5947941376292014e-05,0.46875
v300,0.9375,0.987500011920929,0.05000000074505806,128,0.4659423828125,0.10575967890326865,0.02480783021227818,7.074734035938945e-05,3.635087715068636e-05,-0.0015904822627703652,0.013856508155979318,-9.47230306344582e-09,1.1655433579219185e-07,-5.767381043748909e-08,5.717483761892235e-07,1.5730308963041173e-07,3.462454419685593e-07,-2.060187398456037e-06,2.3641562577398027e-05,1.8385098883300088e-06,2.4003361511149616e-05,0.40625
v400,0.0625,0.11249999701976776,0.05000000074505806,128,0.4486083984375,0.025926112903107423,0.013032051671396335,0.00030046820722873235,8.95664508830851e-05,-0.005472997203469276,0.09271876711771468,-7.595683784722418e-08,8.060517651686283e-07,8.198096701272917e-06,7.783070428500086e-05,2.9436305162500176e-05,6.142252697986815e-05,-1.467534457333386e-05,0.0001646101693443395,1.6602010873612016e-05,0.00016568096889327879,0.46875
v400,0.1875,0.23749999701976776,0.05000000074505806,128,0.47308349609375,0.04444030502054375,0.01827752599787818,0.000255757139598245,9.826064589563823e-05,0.016338505377461843,0.0867542538991627,1.8364956100302976e-07,1.041185395548998e-06,5.143051959533018e-06,3.432978362976962e-05,1.4096574094679681e-05,2.3688861724422505e-05,3.822598955594003e-05,0.00021407829907131454,-3.714311606017873e-05,0.00021262792568958045,0.5625
v400,0.3125,0.36250001192092896,0.05000000074505806,128,0.4962158203125,0.06394433614332229,0.018979097033477818,0.00017518072300504173,7.802699758719214e-05,-0.0066435888479645655,0.06019012636829684,-6.269693264560061e-08,7.020799178933889e-07,-1.0629996320954405e-06,1.0898943991287697e-05,3.211930584390288e-06,5.647491800411444e-06,-1.2682459328061668e-05,0.00014392353410937685,1.2881391739938408e-05,0.0001435782394214468,0.484375
