direction,state,alpha,m,h,predicted_coefficient,estimated_coefficient,raw_error,corrected_error
1,4,1.0,1,0.04,0.0,2.727173581855156e-05,1.630596441666432e-05,1.630596441666432e-05
1,4,1.0,1,0.02,0.0,-2.618403825770704e-05,2.0607226397284167e-06,2.0607226397284167e-06
1,4,1.0,1,0.01,0.0,-2.2919677123583158e-05,2.5896424119287577e-07,2.5896424119287577e-07
1,4,1.0,1,0.005,0.0,-1.390016721807064e-05,3.245541560784845e-08,3.245541560784845e-08
1,4,1.0,2,0.08,0.25,0.25247474339196124,0.0010434900595090576,0.00025573579999095086
1,4,1.0,2,0.04,0.25,0.25137550382708107,0.0002539275642148828,3.2617296425471716e-05
1,4,1.0,2,0.02,0.25,0.25071881562824766,6.2926962365303e-05,4.115885800319887e-06
1,4,1.0,2,0.01,0.25,0.2503667507696992,1.5684575384786926e-05,5.168446068895552e-07
1,4,1.0,2,0.005,0.25,0.25018515908534744,3.916710284791733e-06,6.475107047626948e-08
1,4,1.5,1,0.08,-0.375,-0.37387513460715954,0.001499279613021888,5.729816629515769e-05
1,4,1.5,1,0.04,-0.375,-0.37550179969487707,0.0003762578580875135,7.79844851415852e-06
1,4,1.5,1,0.02,-0.375,-0.3755089845478729,9.40515856830945e-05,1.0199354145747035e-06
1,4,1.5,1,0.01,-0.375,-0.37531792137364983,2.3499926021662173e-05,1.3043397952505547e-07
1,4,1.5,1,0.005,-0.375,-0.37517467620698425,5.872673403261636e-06,1.649127741523899e-08
1,4,1.5,2,0.08,0.1875,0.19078620595630721,0.000837846804709865,0.0003430352787711621
1,4,1.5,2,0.04,0.1875,0.18902216993429077,0.0001944447498954299,4.419307159611909e-05
1,4,1.5,2,0.02,0.1875,0.18822760925527848,4.7472925157984044e-05,5.602221264618818e-06
1,4,1.5,2,0.01,0.1875,0.18785508014660168,1.1783155794850962e-05,7.050276438451673e-07
1,4,1.5,2,0.005,0.1875,0.1876753177665328,2.93903169909208e-06,8.842118426675034e-08
1,4,2.0,1,0.08,-1.0,-0.9960173277014238,0.003993580405732549,0.00013771586306817238
1,4,2.0,1,0.04,-1.0,-1.0011899911387963,0.0010031232579440236,1.631749456070627e-05
1,4,2.0,1,0.02,-1.0,-1.0013636441808909,0.0002507991316272715,2.010968493683108e-06
1,4,2.0,1,0.01,-1.0,-1.0008702304819965,6.266740826002664e-05,2.5041666504514565e-07
1,4,2.0,1,0.005,-1.0,-1.0004817255657668,1.5660680993139903e-05,3.1267953440383375e-08
1,4,2.0,2,0.08,0.0,0.003173140464769247,0.00036705995862622943,0.00036705995862622943
1,4,2.0,2,0.04,0.0,0.0005809652997515854,4.799189455882572e-05,4.799189455882572e-05
1,4,2.0,2,0.02,0.0,4.475003254686532e-05,6.125352894759645e-06,6.125352894759645e-06
1,4,2.0,2,0.01,0.0,-3.8141401226191803e-05,7.73376837796603e-07,7.73376837796603e-07
1,4,2.0,2,0.005,0.0,-3.407341583678685e-05,9.714762785088462e-08,9.714762785088462e-08
1,5,0.25,1,0.08,0.09375,0.10382022522445551,0.00040091644421767645,4.744162722341847e-05
1,5,0.25,1,0.04,0.09375,0.09880256552085603,9.522473886923078e-05,5.943958936299251e-06
1,5,0.25,1,0.02,0.09375,0.09628010949211185,2.31874268473497e-05,7.43755416213599e-07
1,5,0.25,1,0.01,0.09375,0.09501594737015304,5.720023944379482e-06,9.301405386493412e-08
1,5,0.25,1,0.005,0.09375,0.09438318901919487,1.4204367712920951e-06,1.1629458005213661e-08
1,5,0.25,2,0.08,0.109375,0.12088943466095646,0.0004666551277594792,5.304668587188891e-05
1,5,0.25,2,0.04,0.109375,0.1151492729269106,0.00011096774646014044,6.644070978764131e-06
1,5,0.25,2,0.02,0.109375,0.11226574347741135,2.7036536049103746e-05,8.31230181385522e-07
1,5,0.25,2,0.01,0.109375,0.11082119610899431,6.671462339352809e-06,1.0394584261384e-07
1,5,0.25,2,0.005,0.109375,0.1100982947714424,1.656941042553287e-06,1.2995770226569168e-08
1,5,0.5,1,0.08,0.125,0.14259344927531326,0.0005516986302935077,8.463110792744514e-05
1,5,0.5,1,0.04,0.125,0.13383835383378645,0.00012906543293387168,1.0622590685169059e-05
1,5,0.5,1,0.02,0.125,0.12942834965342884,3.11754883086044e-05,1.3302856950570374e-06
1,5,0.5,1,0.01,0.125,0.12721632013279657,7.65882146496767e-06,1.664315864813298e-07
1,5,0.5,1,0.005,0.125,0.1261086783161882,1.8979151024972914e-06,2.0812822536707983e-08
1,5,0.5,2,0.08,0.1875,0.21075645682447935,0.0008140409954761249,0.00010670231806234259
1,5,0.5,2,0.04,0.1875,0.19917765749275,0.00019197892954155368,1.3385419595907849e-05
1,5,0.5,2,0.02,0.1875,0.1933492474763181,4.656585058363794e-05,1.6758152954429758e-06
1,5,0.5,2,0.01,0.1875,0.19042700075290517,1.146389790540413e-05,2.0963211365948685e-07
1,5,0.5,2,0.005,0.1875,0.1889640670904395,2.8438528383808173e-06,2.6213426887788802e-08
1,5,1.0,1,0.08,0.0,0.023627789083257744,0.00012568887793234967,0.00012568887793234967
1,5,1.0,1,0.04,0.0,0.011861207477548692,1.5858350412960993e-05,1.5858350412960993e-05
1,5,1.0,1,0.02,0.0,0.005940684916253253,1.9907853346904754e-06,1.9907853346904754e-06
