left,right,time,region,cosine_mean,cosine_std
v180,v400,0.95,late,0.5694508058950305,0.016343935310073533
v180,v500,0.95,late,0.4252498473506421,0.019548597514178968
v180,v600,0.95,late,0.3046160654630512,0.022533294158706328
v240,v270,0.95,late,0.9616283075883985,0.0017093056867687035
v240,v300,0.95,late,0.9103051205165684,0.003881036756348238
v240,v400,0.95,late,0.7145957094617188,0.011213809030038576
v240,v500,0.95,late,0.5436849379912019,0.016861139826592878
v240,v600,0.95,late,0.3930073492228985,0.020619527389757464
v270,v300,0.95,late,0.9586537037976086,0.001793938033721134
v270,v400,0.95,late,0.7829972272738814,0.008678297250691754
v270,v500,0.95,late,0.6059495932422578,0.014965300314163101
v270,v600,0.95,late,0.4407949799206108,0.019968840384198154
v300,v400,0.95,late,0.8486144612543285,0.0063926401029350075
v300,v500,0.95,late,0.6727469363249838,0.012974265061356256
v300,v600,0.95,late,0.494396802270785,0.01912190675954078
v400,v500,0.95,late,0.8635662044398487,0.005908038194759488
v400,v600,0.95,late,0.6766517455689609,0.020130225794741094
v500,v600,0.95,late,0.818042634986341,0.02201561298994021
