seed,ambient_dim,hidden_dim,condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
20260831,2,128,S0_xv_switch,0.99,0.6927486658096313,0.0407566214678574,0.0407566214678574,5.651493495406613e-08,5.650083778618865e-08,0.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.01,0.0019980925135314,0.0292859430253625,0.0292859430253625,5.3718395065516233e-08,5.482566933778799e-08,1.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.03,0.0010225377045571,0.0311105227329017,0.0311105227329017,5.3176542280652945e-08,5.3512387410137314e-08,1.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.1,0.0004521934897638,0.0238810949891685,0.0238810949891685,4.879328230344981e-08,4.8166953092732e-08,1.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.3,0.0007873231079429,0.0237737104351439,0.0237737104351439,4.149346466419957e-08,3.9727964917801735e-08,1.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.5,0.0065393201075494,0.0177476641980098,0.0177476641980098,3.9081754721337354e-08,3.732086995000827e-08,1.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.7,0.0228294394910335,0.023510464407812,0.023510464407812,4.2250142939792574e-08,4.2173606829010175e-08,0.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.9,1.536651849746704,0.0372046556100069,0.0372046556100069,5.1297956105145204e-08,5.2573049913462455e-08,0.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.97,4.710202217102051,0.0474617253111201,0.0474617253111201,5.535782321430816e-08,5.5274526289395e-08,0.0,0.0
20260831,2,128,S1_xv_consistency_switch,0.99,1.317440152168274,0.0527288039134247,0.0527288039134247,5.7055000723948985e-08,5.650083778618865e-08,0.0,0.0
20260831,512,128,Bayes_exact,0.01,0.0,0.001725553490926,0.001725553490926,0.9872359037399292,0.9878277778625488,,
20260831,512,128,Bayes_exact,0.03,0.0,0.0016148951757702,0.0016148951757702,0.9672917127609252,0.9677074551582336,,
20260831,512,128,Bayes_exact,0.1,0.0,0.0039237585460608,0.0039237585460608,0.8974871635437012,0.8981572985649109,,
20260831,512,128,Bayes_exact,0.3,0.0,0.0047695804180446,0.0047695804180446,0.6980456113815308,0.6981247663497925,,
20260831,512,128,Bayes_exact,0.5,0.0,0.0110739710765998,0.0110739710765998,0.4986039996147156,0.4987595677375793,,
20260831,512,128,Bayes_exact,0.7,0.0,0.0189953836635743,0.0189953836635743,0.2991623878479004,0.2993428111076355,,
20260831,512,128,Bayes_exact,0.9,0.0,0.0185698164841208,0.0185698164841208,0.099720798432827,0.0998213291168212,,
20260831,512,128,Bayes_exact,0.97,0.0,0.0137773139297056,0.0137773139297056,0.0299162454903125,0.0299235116690397,,
20260831,512,128,Bayes_exact,0.99,0.0,0.0197905172625278,0.0197905172625278,0.009972071275115,0.0099869864061474,,
20260831,512,128,B0_v_ind,0.01,0.9471117854118348,0.0015952396241748,0.0015952396241748,0.9964143633842468,0.9878277778625488,,
20260831,512,128,B0_v_ind,0.03,0.9855763912200928,0.0017847967043195,0.0017847967043195,0.9949342012405396,0.9677074551582336,,
20260831,512,128,B0_v_ind,0.1,1.1461741924285889,0.0044991698958988,0.0044991698958988,0.9901052117347716,0.8981572985649109,,
20260831,512,128,B0_v_ind,0.3,1.9249465465545652,0.0128374777689476,0.0128374777689476,0.9778496026992798,0.6981247663497925,,
20260831,512,128,B0_v_ind,0.5,3.746384620666504,0.0268597005478192,0.0268597005478192,0.9682082533836364,0.4987595677375793,,
20260831,512,128,B0_v_ind,0.7,10.231903076171877,0.040644383395499,0.040644383395499,0.9612349271774292,0.2993428111076355,,
20260831,512,128,B0_v_ind,0.9,91.66294860839844,0.0546521892656875,0.0546521892656875,0.957627296447754,0.0998213291168212,,
20260831,512,128,B0_v_ind,0.97,1018.8688354492188,0.0577046982582884,0.0577046982582884,0.9571723341941832,0.0299235116690397,,
20260831,512,128,B0_v_ind,0.99,9170.2568359375,0.0579363790710671,0.0579363790710671,0.9571160078048706,0.0099869864061474,,
20260831,512,128,B1_x_ind,0.01,0.0011859229998663,0.0016694517887891,0.0016694517887891,0.9872359037399292,0.9878277778625488,,
20260831,512,128,B1_x_ind,0.03,0.0020422178786247,0.0018532518194566,0.0018532518194566,0.9672917127609252,0.9677074551582336,,
20260831,512,128,B1_x_ind,0.1,0.0022116350010037,0.0045232190735255,0.0045232190735255,0.897487223148346,0.8981572985649109,,
20260831,512,128,B1_x_ind,0.3,0.0087040159851312,0.0070074497319009,0.0070074497319009,0.6980457305908203,0.6981247663497925,,
20260831,512,128,B1_x_ind,0.5,0.0159282721579074,0.0160888665497045,0.0160888665497045,0.4986046552658081,0.4987595677375793,,
20260831,512,128,B1_x_ind,0.7,0.0154098495841026,0.0270188464254451,0.0270188464254451,0.2991640269756317,0.2993428111076355,,
20260831,512,128,B1_x_ind,0.9,0.034127403050661,0.0348429456024113,0.0348429456024113,0.0997284948825836,0.0998213291168212,,
20260831,512,128,B1_x_ind,0.97,0.5733687877655029,0.0418971043467564,0.0418971043467564,0.0299593061208724,0.0299235116690397,,
20260831,512,128,B1_x_ind,0.99,10.002086639404297,0.0548918894159561,0.0548918894159561,0.0101448688656091,0.0099869864061474,,
20260831,512,128,B2_eps_ind,0.01,1494250.875,0.5282742643253011,0.5282742643253011,12.0799560546875,0.9878277778625488,,
20260831,512,128,B2_eps_ind,0.03,1555734.5,1.672271216828353,1.672271216828353,36.20260620117188,0.9677074551582336,,
20260831,512,128,B2_eps_ind,0.1,1806158.75,5.652234478730675,5.652234478730675,120.63534545898438,0.8981572985649109,,
20260831,512,128,B2_eps_ind,0.3,2983903.25,16.988263406099104,16.988263406099104,361.8546447753906,0.6981247663497925,,
20260831,512,128,B2_eps_ind,0.5,5840426.5,28.319227612843264,28.319227612843264,603.0640258789062,0.4987595677375793,,
20260831,512,128,B2_eps_ind,0.7,16191209.0,39.64651242472294,39.64651242472294,844.2678833007812,0.2993428111076355,,
20260831,512,128,B2_eps_ind,0.9,145625952.0,50.97351476808011,50.97351476808011,1085.466064453125,0.0998213291168212,,
20260831,512,128,B2_eps_ind,0.97,1618059008.0,54.940671228996486,54.940671228996486,1169.884033203125,0.0299235116690397,,
20260831,512,128,B2_eps_ind,0.99,14562535424.0,56.06925760477701,56.06925760477701,1194.0037841796875,0.0099869864061474,,
20260831,512,128,D0_x_shared,0.01,0.0022523482330143,0.0016086750255607,0.0016086750255607,0.9872359037399292,0.9878277778625488,,
20260831,512,128,D0_x_shared,0.03,0.0036225812509655,0.0018356402479217,0.0018356402479217,0.9672917127609252,0.9677074551582336,,
20260831,512,128,D0_x_shared,0.1,0.0073586185462772,0.0048973871925104,0.0048973871925104,0.8974874019622803,0.8981572985649109,,
20260831,512,128,D0_x_shared,0.3,0.0580556541681289,0.0156134432985161,0.0156134432985161,0.6980465650558472,0.6981247663497925,,
20260831,512,128,D0_x_shared,0.5,0.088863581418991,0.0323942414566532,0.0323942414566532,0.498605877161026,0.4987595677375793,,
20260831,512,128,D0_x_shared,0.7,0.0804721266031265,0.0530147125540782,0.0530147125540782,0.2991657853126526,0.2993428111076355,,
20260831,512,128,D0_x_shared,0.9,0.2575404047966003,0.074630085034348,0.074630085034348,0.0997429937124252,0.0998213291168212,,
