base,k,horizon,variant,amount,displacement_rms,desired_rms,direction_cos_cfg,local_cfg_limit_error,jacobian_target_relative_error,finite_target_relative_error,linearization_relative_error,finite_difference_relative_disagreement,response_target_cosine,best_linear_ray_relative_error,achieved_progress_fraction,native_euler_relative_difference,flow_same_field_relative_error,inverse_resolution_relative_error,conditional_resolution_relative_error,n
cfg_high,8,0.0625,same_field_flow,2.75,1.1629337457463862e-06,0.02850178035441786,0.04749404205358587,0.9999960735440254,1.0000027865171432,1.0000028014183044,0.0787268974527251,0.00073033610146922,-0.06944030322483741,0.9950122833251953,-2.8024276197413656e-06,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.125,capped_cfg_equal,2.75,0.01996884479012806,0.05761283851461485,1.000000013038516,0.6333333384245634,0.7280070837587118,0.6942739561200142,0.15551249095005915,0.0012676378510150244,0.7063780976459384,0.6865431927144527,0.4224528819322586,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,euler_capped,2.75,0.01996884476102423,0.05761283851461485,0.6863063536584377,0.7915781661868095,0.8040718156844378,0.7882983256131411,0.10497508506523445,0.0004959072646215645,0.5981585425324738,0.7736613303422928,0.29945454304106534,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,euler_cfg_equal,2.75,0.04031445679720491,0.05761283851461485,0.9999999981373549,0.2251104761089664,0.8741974420845509,0.7452834565192461,0.24183450418058783,0.0012676724704761,0.7063780911266804,0.686543233692646,0.86248645093292,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,euler_debiased,2.75,0.03805832314537838,0.05761283851461485,0.8913324568420649,0.4766766969114542,0.7953509483486414,0.7052843943238258,0.1701673597563058,0.0005971757752831763,0.6683719251304865,0.7244964838027954,0.6108540371060371,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,euler_fsg,2.75,0.04031445673899725,0.05761283851461485,0.6863063406199217,0.7361176665872335,0.8959983475506306,0.8296152744442225,0.17500416684197262,0.0004959344300914381,0.598158516921103,0.7736613126471639,0.6167536079883575,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,flow_capped,2.75,0.019968844979302958,0.05761283851461485,0.7192367222160101,0.7781397551298141,0.5919607412070036,0.5677095530554652,0.08536577102495357,0.000414883973689939,0.9843454677611589,0.1574012180790305,0.434074348770082,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,flow_cfg_equal,2.75,0.044023172347806394,0.05761283851461485,1.0000000055879354,0.19253591194865294,0.9000713136047125,0.7603451916947961,0.2530919264536351,0.001267668552827672,0.7063780063763261,0.6865433026105165,0.9037858666852117,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,flow_inverse,2.75,0.04402317217318341,0.05761283851461485,0.7192367315292358,0.7281726468354464,0.1725612955633551,0.00046508499144692905,0.17264255252666771,0.00041488581405246805,0.9843454714864492,0.15740118373651057,1.0001160148531199,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,resolution,2.75,,,,,,,,,,,,,,0.005982684568152763,0.00627748589249677,32
cfg_high,8,0.125,same_field_euler,2.75,0.02246927173109725,0.05761283851461485,-0.21732812412665226,1.2008075825870037,1.2266911771148443,1.2168036978691816,0.14146289322525263,0.0006398601362889167,-0.00710447337360165,0.9853909201920033,0.011461148926173337,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.125,same_field_flow,2.75,1.1091309609412292e-05,0.05761283851461485,0.10151669473270886,0.9999736286699772,1.0000190641731024,1.0000190567225218,0.0074120528806815855,0.00169977689370171,-0.04435206542984815,0.9931099135428667,-1.8939485121549637e-05,0.0033307389639958274,0.00027081507403181604,,,32
cfg_high,8,0.25,capped_cfg_equal,2.75,0.019968844804679975,0.11733089946210384,1.0000000037252903,0.816666666418314,0.8800370823591948,0.8228048663586378,0.3355467701330781,0.011385843987227418,0.5057271944824606,0.8427330330014229,0.2615140917478129,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,euler_capped,2.75,0.019968844804679975,0.11733089946210384,0.4319368707947433,0.934662751853466,0.941627498716116,0.9250220973044634,0.18862431874731556,0.002047783323632757,0.3379122891346924,0.9113583248108625,0.11622644683666294,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,euler_cfg_equal,2.75,0.09312530513852835,0.11733089946210384,1.000000011175871,0.2216420276217832,2.090387262403965,1.2923303600400686,0.785656085703522,0.0113857001560973,0.5057271555997431,0.8427330274134874,1.0468483911827207,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,euler_debiased,2.75,0.07320289150811732,0.11733089946210384,0.695047689601779,0.7073496710509062,1.2289031948894262,0.9830256458371878,0.5100541831925511,0.0032160671005385666,0.3281481065787375,0.9205484595149755,0.3587563514010981,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,euler_fsg,2.75,0.0931253049056977,0.11733089946210384,0.4319368762662634,1.0724628530442715,1.4397849570959806,1.2032075244933367,0.505600658711046,0.002047601194590243,0.3379122383776121,0.9113583490252495,0.4807160133495927,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,flow_capped,2.75,0.01996884484833572,0.11733089946210384,0.5047984523698688,0.9210216104984283,0.7932173386216164,0.7752455333247781,0.15626587287988514,0.002362103775567448,0.9225686304271221,0.3641371098347008,0.22863472253084183,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,flow_cfg_equal,2.75,0.07949839637149125,0.11733089946210384,1.0000000074505806,0.2512330607569311,1.668703367933631,1.0672541409730911,0.7213002755306661,0.011385889920347836,0.5057272198610008,0.8427329920232296,0.8638553097844124,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,flow_inverse,2.75,0.07949839637149125,0.11733089946210384,0.5047984523698688,0.9386355467140675,0.39980332320556045,0.0025940522045857506,0.40008323173969984,0.00236201297639127,0.9225684981793165,0.36413724534213543,1.0006277542561293,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,resolution,2.75,,,,,,,,,,,,,,0.02106503075629007,0.019320563995279372,32
cfg_high,8,0.25,same_field_euler,2.75,0.0702444245107472,0.11733089946210384,-0.13386520687345183,1.3608914650976658,1.4220596849918365,1.4080890789628029,0.3853418421931565,0.001043973121795716,0.11913198011461645,0.9758860822767019,0.11488555010873824,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,8,0.25,same_field_flow,2.75,9.515380918401206e-05,0.11733089946210384,0.1368315155250457,0.999867768958211,1.0001157652586699,1.0001193583011627,0.005640526484057773,0.0070033564434197615,-0.028908393112942576,0.9877232816070318,-0.00011520580210344633,0.003132733952952549,0.0012896451517008245,,,32
cfg_high,24,0.0009765625,short_limit,2.75,,,0.9999843556433916,0.005638754308165517,,,,,,,,,,,,32
cfg_high,24,0.00390625,short_limit,2.75,,,0.9997514765709639,0.02247140879626386,,,,,,,,,,,,32
cfg_high,24,0.03125,capped_cfg_equal,2.75,0.011496009101392701,0.012178513090475462,1.0000000279396772,0.05808897115639411,0.1746088326908648,0.17023813491687179,0.014611280377721414,0.00029205314979208197,0.9843551125377417,0.17202245187945664,0.9762824233621359,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,euler_capped,2.75,0.011496009232359938,0.012178513090475462,0.9835697691887617,0.18178299581632018,0.17576235672459006,0.17297916091047227,0.011268879439739976,0.00015111044763216341,0.9840179979801178,0.17416931851767004,0.9628911130130291,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,euler_cfg_equal,2.75,0.011496009101392701,0.012178513090475462,1.0000000279396772,0.05808897115639411,0.1746088326908648,0.17023813491687179,0.014611280377721414,0.00029205314979208197,0.9843551125377417,0.17202245187945664,0.9762824233621359,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,euler_debiased,2.75,0.011627820014837198,0.012178513090475462,0.9965129848569632,0.09259600983932614,0.14892313536256552,0.14442861056886613,0.01137853180989623,0.00015052631931666838,0.988855205476284,0.14622778841294348,0.9795874822884798,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,euler_fsg,2.75,0.011496009232359938,0.012178513090475462,0.9835697691887617,0.18178299581632018,0.17576235672459006,0.17297916091047227,0.011268879439739976,0.00015111044763216341,0.9840179979801178,0.17416931851767004,0.9628911130130291,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,flow_capped,2.75,0.011727068966138177,0.012178513090475462,0.9856104329228401,0.16936454316601157,0.011494582067825831,4.542166827548044e-06,0.011493717989651486,0.00013643734303059318,0.9999266248196363,0.010952893833746202,1.000000135973096,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,flow_cfg_equal,2.75,0.011727068878826685,0.012178513090475462,1.0,0.041004894897923805,0.17463414138182998,0.1703688132110983,0.014915360079612583,0.0002920909329304777,0.984355092048645,0.17202244768850505,0.9990582801401615,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,flow_inverse,2.75,0.011727068966138177,0.012178513090475462,0.9856104329228401,0.16936454316601157,0.011494582067825831,4.542166827548044e-06,0.011493717989651486,0.00013643734303059318,0.9999266248196363,0.010952893833746202,1.000000135973096,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,resolution,2.75,,,,,,,,,,,,,,0.0002708820263706002,0.0002733889937189815,32
cfg_high,24,0.03125,same_field_euler,2.75,0.001636398970731534,0.012178513090475462,-0.1586617530483636,1.0325305555015802,1.0286023635417223,1.0286139827221632,0.0030175274714565603,0.0004132672746663957,-0.10984868530067615,0.9995483495295048,-0.016633691604511114,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.03125,same_field_flow,2.75,4.606781389693282e-08,0.012178513090475462,0.00030122977477731183,0.9999999776482582,1.0000001080334187,1.0000000782310963,0.5162779190577567,0.0009679228280674579,-0.020748784292663913,0.9998783431947231,-8.172915731685659e-08,0.003664633084554225,4.243162258887878e-06,,,32
cfg_high,24,0.0625,capped_cfg_equal,2.75,0.017866894719190896,0.024272006266983226,0.9999999888241291,0.26666666846722364,0.3548004664480686,0.3388609681278467,0.05056273684022017,0.0007107872924052572,0.943527614697814,0.32381168892607093,0.7848635241389275,0.0038525320633198135,2.086933467637664e-05,,,32
