method,control,k,suffix,delta_resnet_top1,delta_resnet_top1_lo,delta_resnet_top1_hi,delta_convnext_top1,delta_convnext_top1_lo,delta_convnext_top1_hi,delta_resnet_p,delta_resnet_p_lo,delta_resnet_p_hi,delta_convnext_p,delta_convnext_p_lo,delta_convnext_p_hi,n
cfg_tuned,cfg_high,40,conditional,-0.08,-0.125,-0.04,-0.045,-0.09,-0.005,-0.097280259590043,-0.1315127386839267,-0.06626135739826716,-0.08275680934777484,-0.11115179003684897,-0.05497092495282415,200
cfg_tuned,cfg_high,40,null,-0.1,-0.15,-0.055,-0.055,-0.105,-0.005,-0.12168888400392461,-0.15845803155801605,-0.08674544823682483,-0.10107385996016091,-0.13213458889695176,-0.07155573156393438,200
cfg_tuned,cfg_high,48,conditional,-0.1,-0.145,-0.06,-0.05,-0.085,-0.015,-0.09645743084889545,-0.12909336092075865,-0.06762885845083297,-0.07983204188232776,-0.10625983846157033,-0.05411889616923873,200
cfg_tuned,cfg_high,48,null,-0.1,-0.15,-0.05987500000000068,-0.055,-0.095,-0.015,-0.102257686231751,-0.13595809192358865,-0.07214302314282398,-0.08633521197771188,-0.11381284601081279,-0.05908261401193159,200
cfg_tuned,cfg_high,64,guided,-0.1,-0.145,-0.06,-0.05,-0.085,-0.015,-0.09645743084889545,-0.12909336092075865,-0.06762885845083297,-0.07983204188232776,-0.10625983846157033,-0.05411889616923873,200
cfg_tuned,cfg_tuned,8,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,8,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,16,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,16,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,24,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,24,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,32,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,32,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,40,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,40,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,48,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,48,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,cfg_tuned,64,guided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_tuned,smc_high,8,conditional,0.06,0.01,0.11,0.025,-0.03,0.08,0.03573017458191771,0.004990487779956197,0.0658290960146513,0.030593175056455948,0.005490948219588973,0.05720643200719856,200
cfg_tuned,smc_high,8,null,0.005,-0.02,0.03,0.03,0.005,0.06,0.010549395003545783,-0.003286693690036749,0.023747173767462566,0.010441744463805662,-0.0007216594177316438,0.023075076341396196,200
cfg_tuned,smc_high,16,conditional,0.03,-0.03,0.09,-0.01,-0.06,0.045,0.03600666985938915,0.0028991981698284234,0.06968866309483018,0.009610510464553954,-0.01801736086597157,0.037287554686594344,200
cfg_tuned,smc_high,16,null,0.065,0.02,0.115,0.03,-0.015,0.075,0.045831794566026644,0.019718824458315937,0.07261139854102219,0.0333426379487355,0.015019820051031274,0.052571104918368285,200
cfg_tuned,smc_high,24,conditional,0.04,-0.01,0.09,-0.035,-0.08,0.01,0.02722137414142253,-0.008215349193725387,0.06307684633548251,-0.0020934439374832438,-0.028010643522407917,0.023889360836510602,200
cfg_tuned,smc_high,24,null,0.04,-0.015,0.095,0.065,0.005,0.125,0.05235777803903147,0.01854728063159564,0.08599880354442029,0.02547697654219519,-0.0009730672363893972,0.053305702051327855,200
cfg_tuned,smc_high,32,conditional,0.0,-0.045,0.045,-0.015,-0.05,0.015,0.027875878124486917,-0.0011332344221450512,0.05861877455419423,-0.008316519516229163,-0.029097527433892535,0.010174473147948438,200
cfg_tuned,smc_high,32,null,0.05,-0.005,0.105,0.02,-0.03,0.065,0.03931778216506473,0.0036178314711723942,0.07513528389268173,0.015934969565205393,-0.012951867196148669,0.044692191584648745,200
cfg_tuned,smc_high,40,conditional,-0.025,-0.065,0.015,-0.01,-0.045,0.025,0.01258203843710362,-0.015435216496440262,0.04109410651502547,-0.010262574029620736,-0.027981075624004006,0.005553021554747817,200
cfg_tuned,smc_high,40,null,-0.02,-0.07,0.03,-0.005,-0.04,0.025,0.030247792162444966,0.000696483599896056,0.06196168602997021,-0.0013449151114036794,-0.022007708242090303,0.018060361322575772,200
cfg_tuned,smc_high,48,conditional,-0.025,-0.07,0.015,-0.02,-0.055,0.015,0.002031512645407929,-0.025013628460113978,0.02970499112031026,-0.010897911399952135,-0.028051548663570427,0.0049831329678709105,200
cfg_tuned,smc_high,48,null,-0.025,-0.065,0.015,-0.02,-0.055,0.015,0.007113924788718577,-0.021263161282171494,0.03597828914649288,-0.0126732662221184,-0.030007431249861837,0.003530585720087396,200
cfg_tuned,smc_high,64,guided,-0.025,-0.07,0.015,-0.02,-0.055,0.015,0.002031512645407929,-0.025013628460113978,0.02970499112031026,-0.010897911399952135,-0.028051548663570427,0.0049831329678709105,200
fsg_high,cfg_high,8,conditional,0.08,0.025,0.14,0.105,0.05,0.16,0.13051890710972658,0.09212583214337793,0.17010704461144088,0.07953307156378286,0.04662842691359037,0.1127583792913756,200
fsg_high,cfg_high,8,null,0.175,0.12,0.235,0.175,0.12,0.23,0.12436697699072027,0.08843702346531375,0.1614927036640793,0.09885659918738383,0.0695903826723761,0.129179980660444,200
fsg_high,cfg_high,16,conditional,0.075,0.025,0.13,0.085,0.035,0.135,0.0979309614378144,0.06474441934734931,0.13216863452309185,0.05443714533641469,0.02224519921196043,0.08621256267030548,200
fsg_high,cfg_high,16,null,0.215,0.15,0.285,0.2,0.13,0.27,0.18290230395039772,0.13790784972191217,0.23009371594601807,0.13668523139029276,0.09648665868911484,0.17956517928707397,200
fsg_high,cfg_high,24,conditional,0.085,0.035,0.135,0.06,0.015,0.105,0.07729311797535048,0.04563681352464482,0.10942717718146738,0.0500417072919663,0.019079726837720957,0.08387385853225714,200
fsg_high,cfg_high,24,null,0.11,0.055,0.17,0.11,0.06,0.17,0.13331105969169585,0.09502446677067382,0.17411216253946793,0.08571562490134965,0.0492741984842287,0.12513749476709926,200
fsg_high,cfg_high,32,conditional,0.055,0.01,0.1,0.04,-0.005,0.085,0.0699333120090887,0.037268776579876435,0.10318079745606519,0.04125631085713394,0.013531206671410473,0.07050036062425352,200
fsg_high,cfg_high,32,null,0.075,0.025,0.125,0.07,0.02,0.12,0.08922752959071659,0.053784168127080194,0.1263452458987303,0.059271546502714045,0.028773365325439955,0.09224774484126824,200
fsg_high,cfg_high,40,conditional,0.05,0.015,0.085,0.03,0.0,0.06,0.053935419279150666,0.024254787087789737,0.08419749800569842,0.027387391543015838,0.003383427881635726,0.05082940678962038,200
fsg_high,cfg_high,40,null,0.055,0.015,0.1,0.04,0.0,0.08,0.06426066369749606,0.0328429794900585,0.09667434162506831,0.034779561797622593,0.00845777904667193,0.06124128914988247,200
fsg_high,cfg_high,48,conditional,0.01,-0.025,0.045,0.025,-0.005,0.055,0.03933763174340129,0.010635320780333132,0.06732036048686128,0.018604917821940035,-0.003355149133130908,0.0412342518335208,200
fsg_high,cfg_high,48,null,0.015,-0.02,0.05,0.03,0.0,0.06,0.04317187944892794,0.014222176716662944,0.07166521308140361,0.021725814051460474,-0.0011180439185118302,0.044578567965771046,200
fsg_high,cfg_high,64,guided,0.01,-0.025,0.045,0.025,-0.005,0.055,0.03933763174340129,0.010635320780333132,0.06732036048686128,0.018604917821940035,-0.003355149133130908,0.0412342518335208,200
fsg_high,cfg_tuned,8,conditional,0.185,0.12,0.255,0.175,0.10987500000000001,0.24,0.22166480569307168,0.1751059241824014,0.2737472612021047,0.16218750457188436,0.1201438336453566,0.20504724498303398,200
fsg_high,cfg_tuned,8,null,0.24,0.175,0.305,0.215,0.155,0.28,0.17661282710923018,0.135188874400472,0.21862643287220332,0.13830015695999465,0.1056395960449754,0.17530258429547937,200
fsg_high,cfg_tuned,16,conditional,0.19,0.125,0.26,0.185,0.125,0.245,0.21882737125685708,0.16868877706283092,0.2675710373729743,0.157792248257756,0.11782462233852857,0.19816429996506119,200
fsg_high,cfg_tuned,16,null,0.39,0.32,0.46,0.425,0.345,0.5,0.35596359472592437,0.29965913267246536,0.41010549971587157,0.30296870537116777,0.2592420275209943,0.34683967803796895,200
fsg_high,cfg_tuned,24,conditional,0.155,0.1,0.215,0.15,0.095,0.21,0.20646110918062277,0.15980889568982332,0.2561252792794339,0.14063094096491113,0.10291851163189131,0.18200774855941562,200
fsg_high,cfg_tuned,24,null,0.34,0.27487500000000004,0.415,0.295,0.225,0.365,0.34241704186512834,0.2881870904512587,0.39696199481669076,0.26355075269726513,0.21857209363314178,0.3092359235052317,200
fsg_high,cfg_tuned,32,conditional,0.135,0.08,0.19,0.07,0.02,0.12012499999999932,0.1755556218723177,0.13382752149442376,0.22100218065789204,0.12928210837504595,0.09599494682531803,0.166757789071984,200
fsg_high,cfg_tuned,32,null,0.215,0.15,0.28,0.18,0.125,0.245,0.27195858545305557,0.22336755826592128,0.325339042022445,0.199076982229235,0.16061787494687452,0.24241869417361706,200
fsg_high,cfg_tuned,40,conditional,0.13,0.08,0.18,0.075,0.035,0.12,0.15121567886919365,0.11048397140764428,0.19514513341247586,0.11014420089079067,0.07794024898076896,0.14486997236424928,200
fsg_high,cfg_tuned,40,null,0.155,0.1,0.215,0.095,0.05,0.14012499999999933,0.18594954770142066,0.1425046369182528,0.23270010765058302,0.1358534217577835,0.10080537494796227,0.1731938155814386,200
fsg_high,cfg_tuned,48,conditional,0.11,0.06,0.16,0.075,0.03,0.12,0.13579506259229673,0.09642745942031433,0.17728932043056736,0.09843695970426779,0.0672778226120281,0.1327308281027508,200
fsg_high,cfg_tuned,48,null,0.115,0.065,0.17,0.085,0.04,0.13012499999999932,0.14542956568067894,0.10566303152730688,0.18736906076571902,0.10806102602917235,0.0760413303317182,0.14352384866976353,200
fsg_high,cfg_tuned,64,guided,0.11,0.06,0.16,0.075,0.03,0.12,0.13579506259229673,0.09642745942031433,0.17728932043056736,0.09843695970426779,0.0672778226120281,0.1327308281027508,200
fsg_high,smc_high,8,conditional,0.245,0.175,0.32,0.2,0.135,0.265,0.2573949802749894,0.20428745765050335,0.3133934634481088,0.1927806796283403,0.15161634844167565,0.2363354604875785,200
fsg_high,smc_high,8,null,0.245,0.18,0.305,0.245,0.185,0.31,0.18716222211277597,0.14611038272108876,0.22969989194442597,0.1487419014238003,0.1157518634482949,0.18578663963736378,200
fsg_high,smc_high,16,conditional,0.22,0.149875,0.29,0.175,0.115,0.24,0.25483404111624625,0.20345689480477086,0.30553367667493647,0.16740275872230995,0.12496987455256021,0.20872330863843666,200
fsg_high,smc_high,16,null,0.455,0.385,0.525,0.455,0.38,0.525,0.401795389291951,0.3468526914813879,0.45671675058534783,0.33631134331990326,0.2934219326064922,0.38012395544623173,200
