arm,source_arm,method,handoff,tail,reused,fid,complete,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,directory,sfid,inception_score,resnet_p,resnet_top1,convnext_p,convnext_top1,inception_total_variance,inception_within_target_variance,fid_delta_tuned_cfg,sampling_cost_ratio_tuned_cfg,within_target_variance_ratio_tuned_cfg
fsg_high_null_32,,fsg_high,32.0,null,False,58.791578725041575,True,216.0,0.0,169.53548773145303,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/fsg_high_null_32,205.9233528970558,66.7129135131836,0.8582955598831177,0.9089999794960022,0.7008886933326721,0.921,161.23460095364157,62.07173326928195,13.084237813266384,0.9968056486571241,0.7209545112815119
fsg_high_null_48,,fsg_high,48.0,null,False,67.53711023927366,True,260.0,0.0,201.91376996738836,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/fsg_high_null_48,208.1240344322107,71.01904296875,0.9096143841743469,0.9470000267028809,0.744322657585144,0.953,158.8980491238654,46.611006118641605,21.829769327498468,1.1871779126501285,0.5413803250961411
fsg_high_conditional_32,,fsg_high,32.0,conditional,False,61.61277545566031,True,216.0,0.0,171.49113215645775,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/fsg_high_conditional_32,206.2402236025364,68.82698822021484,0.8830004930496216,0.9269999861717224,0.7222663760185242,0.937,159.6826447434339,55.26218321715423,15.905434543885121,1.0083041109300932,0.6418625386346278
smc_high_null_16,,smc_high,16.0,null,False,107.51409620443872,True,160.0,0.0,128.6119493455626,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/smc_high_null_16,210.83497666659207,19.930105209350586,0.1397983729839325,0.1899999976158142,0.11564547568559647,0.189,208.64462622708166,185.44388224269048,61.806755292663524,0.7561904549184025,2.1539047880686284
smc_high_null_32,,smc_high,32.0,null,False,57.905075512754195,True,192.0,0.0,153.77432325296104,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/smc_high_null_32,208.0860526532431,43.72761917114258,0.5711538791656494,0.7080000042915344,0.45788753032684326,0.69,178.17606234630222,124.10921250015039,12.197734600979004,0.9041358602145945,1.4415111666917098
smc_high_null_48,,smc_high,48.0,null,False,45.29606337905801,True,224.0,0.0,176.3084390326403,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/smc_high_null_48,207.92512448884202,60.86383819580078,0.7569963335990906,0.8600000143051147,0.6133469343185425,0.863,166.77044815475716,95.17115423141395,-0.41127753271717893,1.0366280846877285,1.1053996621834654
smc_high_conditional_32,,smc_high,32.0,conditional,False,47.641291796325845,True,192.0,0.0,155.89760809857398,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/smc_high_conditional_32,207.67098466781408,55.56522750854492,0.7008678913116455,0.8140000104904175,0.5647498965263367,0.818,169.82278751625856,104.12072404143491,1.9339508845506543,0.9166199858459645,1.209347665384409
instant_high_null_16,,instant_high,16.0,null,False,129.8009947106732,True,160.0,0.0,131.51890589576215,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/instant_high_null_16,206.31661001166685,13.912055969238281,0.014809833839535713,0.02199999988079071,0.009885351173579693,0.017,218.50091341654934,214.8530038491935,84.093653798898,0.7732822788687349,2.495487627443402
instant_high_null_32,,instant_high,32.0,null,False,124.76263787256443,True,192.0,0.0,157.28146055201069,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/instant_high_null_32,207.4836180618828,15.089632034301758,0.015492977574467659,0.023000000044703484,0.011635121889412403,0.021,217.4135102497768,212.1744591199577,79.05529696078924,0.9247565238708455,2.464376704572371
instant_high_null_48,,instant_high,48.0,null,False,122.52028648161462,True,224.0,0.0,181.27138295862824,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/instant_high_null_48,208.49475596767206,15.024088859558105,0.014271670021116734,0.020999999716877937,0.009705902077257633,0.021,214.90732226965392,208.63704889868026,76.81294556983943,1.0658083501624684,2.423290178983993
