start,base,amount,w,k,horizon,variant,index,displacement_rms,effective_coefficient_per_H,first_order_length_ratio,direction_cos_cfg,finite_error_flow_target,finite_error_own_euler_target,flow_vs_euler_target_relative_difference
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_capped,4,0.005011114291846752,1.25,0.555555522441864,1.0000001192092896,0.5297760367393494,0.4755878746509552,0.4587348997592926
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_capped,5,0.008654551580548286,1.2499998807907104,0.555555522441864,1.0000001192092896,0.28247854113578796,0.37099191546440125,0.36187058687210083
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_capped,6,0.019236773252487183,1.25,0.5555555820465088,1.0,0.44722023606300354,0.3254387378692627,0.24540884792804718
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_capped,7,0.009270105510950089,1.25,0.5555555820465088,1.0000001192092896,0.46295326948165894,0.4304477274417877,0.22887186706066132
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_first_order,0,0.011251663789153099,2.249999761581421,0.9999999403953552,1.0000001192092896,0.43532809615135193,0.43924230337142944,0.28860586881637573
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_first_order,1,0.01546240784227848,2.25,1.0,1.0,0.49898582696914673,0.46633973717689514,0.3142530024051666
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_first_order,2,0.009639168158173561,2.25,1.0,1.0,0.5737844705581665,0.8207679390907288,0.34763196110725403
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_first_order,3,0.01195871364325285,2.25,1.0,0.9999998807907104,0.5407642722129822,0.41869717836380005,0.43710845708847046
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_first_order,4,0.009020006284117699,2.25,1.0,1.0000001192092896,0.29471832513809204,0.45547130703926086,0.4587348997592926
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_first_order,5,0.01557819452136755,2.25,1.0,1.0000001192092896,0.5972188115119934,0.418010950088501,0.36187058687210083
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_first_order,6,0.03462618961930275,2.25,1.0,1.0,0.48989197611808777,0.41444021463394165,0.24540884792804718
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_first_order,7,0.01668618991971016,2.25,1.0,1.0,0.42445623874664307,0.38320502638816833,0.22887186706066132
0,cfg_tuned,1.25,2.25,8,0.0625,flow_inverse,0,0.009597607888281345,1.9192376136779785,0.8529945015907288,0.9377389550209045,3.778851169045083e-05,0.2958468794822693,0.28860586881637573
0,cfg_tuned,1.25,2.25,8,0.0625,flow_inverse,1,0.01404003705829382,2.043024778366089,0.9080110192298889,0.9108464121818542,3.482347528915852e-05,0.3429459035396576,0.3142530024051666
0,cfg_tuned,1.25,2.25,8,0.0625,flow_inverse,2,0.007224658038467169,1.6863987445831299,0.7495105266571045,0.9458785057067871,9.927948849508539e-05,0.3955781161785126,0.34763196110725403
0,cfg_tuned,1.25,2.25,8,0.0625,flow_inverse,3,0.01093685906380415,2.0577406883239746,0.9145514369010925,0.8840503096580505,6.653638411080465e-05,0.4419059455394745,0.43710845708847046
0,cfg_tuned,1.25,2.25,8,0.0625,flow_inverse,4,0.009687782265245914,2.4165737628936768,1.0740327835083008,0.9492294788360596,5.680003232555464e-05,0.5672866106033325,0.4587348997592926
0,cfg_tuned,1.25,2.25,8,0.0625,flow_inverse,5,0.011335433460772038,1.637206792831421,0.7276474237442017,0.9402807950973511,0.00019272991630714387,0.3073648512363434,0.36187058687210083
