arm,state_index,mean_spatial_channel_mean,rms_spatial_channel_mean,mean_spatial_channel_second_moment,first1024_squared_feature_difference_from_official,second1024_squared_feature_difference_from_official
candidate,51,-0.00016465136429445775,0.0984222769818406,0.7961987844111371,3.756327198588387e-06,5.671843718002349e-07
candidate,52,-0.00017735498853145218,0.10075515144013933,0.789820273472306,4.117219700724552e-06,6.197028873718582e-07
candidate,53,-0.000190574204013077,0.10320047162026391,0.7833041911582992,4.5081437113140975e-06,6.770237640329853e-07
candidate,54,-0.00020418804959627636,0.10576033457511168,0.7766476439545187,4.938426434292686e-06,7.408021510457554e-07
candidate,55,-0.00021820354920561212,0.10844157741563734,0.7698484417640414,5.4130711370694335e-06,8.11826503795049e-07
candidate,56,-0.0002326452959281822,0.11124854277206947,0.7629024700426841,5.9307128652817225e-06,8.910277961798976e-07
candidate,57,-0.00024756921021612966,0.11419077505235276,0.7558080144289183,6.488964783405513e-06,9.782996952323554e-07
candidate,58,-0.00026285415759335506,0.11727196509285809,0.7485621249485863,7.102302835695003e-06,1.0759845269936356e-06
candidate,59,-0.0002787228759642939,0.12049808974854118,0.7411618490801908,7.786145843142355e-06,1.186460793965301e-06
candidate,60,-0.00029535786975936983,0.12387652676467346,0.7336048768588924,8.541588041683234e-06,1.3115185203523567e-06
candidate,61,-0.00031237192689730406,0.1274117452840486,0.7258887921967928,9.372037346784054e-06,1.4540057130166919e-06
candidate,62,-0.00033005670235735913,0.13111451544334793,0.7180131106396804,1.0281238705733858e-05,1.6152409032206466e-06
candidate,63,-0.00034824110625876215,0.13499202124060444,0.7099755007886945,1.1285858782903664e-05,1.7971933907229582e-06
candidate,64,-0.00036731383940871834,0.13905802511818205,0.7017768530914901,1.2378857200158043e-05,2.0054006469445933e-06
candidate,65,-0.00038699226831149776,0.14332158798028782,0.6934162851827306,1.3587940625394713e-05,2.242977508956049e-06
candidate,66,-0.00040779128545151725,0.14779734123206972,0.6848968984617223,1.4957655366083494e-05,2.5187234281851034e-06
candidate,67,-0.0004289889387591413,0.15249314848829998,0.6762201713592493,1.6471419163834934e-05,2.8389768837429236e-06
candidate,68,-0.00045094124196830385,0.15742341389031367,0.6673895401310057,1.816487467298608e-05,3.210735372215498e-06
candidate,69,-0.00047443377748141103,0.16260041184224938,0.6584092392640466,2.0055779161999955e-05,3.6423902306945064e-06
candidate,70,-0.0004991467995595043,0.16803997950318625,0.6492867407012316,2.213250936775788e-05,4.141461462206949e-06
candidate,71,-0.0005246299884619443,0.17377404460082688,0.6400346826793597,2.4492242331575707e-05,4.734238771914603e-06
candidate,72,-0.0005509533112736913,0.17980234840430023,0.630660333634405,2.7107754761672242e-05,5.42879130512277e-06
candidate,73,-0.0005790121434056408,0.18615831325490173,0.6211839592898889,3.0001712714977645e-05,6.240931509280854e-06
candidate,74,-0.000608801473638517,0.1928543350420281,0.6116198058365706,3.3256479379980164e-05,7.2069946106040085e-06
candidate,75,-0.0006393746739293129,0.19991922628724865,0.6019915211369685,3.6988968916410706e-05,8.371064521557773e-06
candidate,76,-0.0006715124897442474,0.20739044146577532,0.5923353932311523,4.127239500654549e-05,9.772720731661595e-06
candidate,77,-0.000705026803996695,0.21528581260735102,0.5826868372019514,4.615376629794042e-05,1.1475499658511785e-05
candidate,78,-0.000740008394014966,0.22363585787426857,0.5730844802834911,5.164634538905084e-05,1.3519753111379927e-05
candidate,79,-0.0007766619366284187,0.23249277954155134,0.5635917222992539,5.790489785779112e-05,1.6005707333282224e-05
candidate,80,-0.0008167099687685193,0.2419048375445616,0.5542889947117787,6.495437268068173e-05,1.901819936497226e-05
candidate,81,-0.0008586549985118677,0.2519166441062051,0.5452503184065892,7.324178804100231e-05,2.279800780544561e-05
candidate,82,-0.0009055283414256918,0.26258708360311356,0.5365867281326544,8.280013628310461e-05,2.748563074513231e-05
candidate,83,-0.0009544650532468505,0.2739657998956489,0.5284211125733933,9.386102901564847e-05,3.332780596846321e-05
candidate,84,-0.0010068106426867405,0.28612016491729036,0.5209149613037225,0.00010712528590879779,4.085778117429068e-05
candidate,85,-0.0010624722520895685,0.2991365967981245,0.5142517955647898,0.00012265159616303126,5.041351439046694e-05
candidate,86,-0.0011232171633508608,0.31308176170138347,0.5086686234096763,0.00014101345987186934,6.274682001341706e-05
candidate,87,-0.001187592471063787,0.3280611627669711,0.5044719807589326,0.00016272266798626032,7.877527090229488e-05
candidate,88,-0.001256215329944479,0.3441561665801273,0.5020107270622953,0.0001898915105122131,0.00010031374083443624
candidate,89,-0.0013325865792951413,0.361572071804222,0.5017956640629501,0.00022294936414201194,0.0001290852452909693
candidate,90,-0.0014109411685261039,0.380378554507615,0.5043374809629516,0.00026372621155707485,0.0001680320521412097
candidate,91,-0.0014967185582603,0.4008094028496411,0.5104340490552902,0.0003144191943840345,0.0002215666314821433
candidate,92,-0.0015910577615742547,0.4230108779910301,0.5209390702685904,0.0003792922884639235,0.000297131799884244
candidate,93,-0.0016975135322321545,0.44712280115328595,0.5369840476323081,0.00046414914890937774,0.0004064527539551849
candidate,94,-0.0018036639563971339,0.47347625643238134,0.5601385085048372,0.0005735123587269529,0.0005642916514108839
candidate,95,-0.001924853267630795,0.5023785232082095,0.5924024240467942,0.000726898186370895,0.000808774759875542
