direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean
v500_parallel_to_strong,q1,0.25,0.5,1088,0.00036018161084511494,0.00033862784168214925,-5.688155614058665e-05,5.887067316610394e-06,-1.8375543283877627e-09,4.09082808776333e-08,-6.332133564611022,-0.04491888412236971,-4.421089246516141e-08,-4.458338953445e-08,0.35753676470588236,0.35322683273015304,-0.01018965898832475,-0.0003614815306276207
v500_parallel_to_strong,q2,0.5,0.75,1017,0.0004312393882594849,0.000286141070446816,-6.847265438489393e-05,4.5443081869980205e-06,-2.2354433961839282e-08,2.566965308730504e-08,-6.2979797137033815,-0.8708506455389028,-6.374471557740274e-08,-7.037852101096707e-08,0.3048180924287119,0.4419528779499731,-0.11361772085967768,-0.004191326686219041
v500_parallel_to_strong,q3,0.75,1.0,997,-0.0002070423413545394,0.0003381658963344015,-2.8769457449822514e-05,3.627579500958905e-06,-1.531342381197279e-07,1.3934377385591287e-08,7.196602220102579,-10.989672080940979,1.1085309977864947e-08,-3.2020285362506203e-07,0.3410230692076229,0.3905724657733157,-0.0543978665478961,-0.0019122551124601422
v500_orthogonal_to_strong,overall,0.0,1.0,4096,-9.533040018538941e-05,0.00034872710433799236,-6.951373643326875e-05,2.1644792270967152e-05,2.0167454652256057e-09,1.9233275074492517e-06,1.3713893839803006,0.0010485710090530793,8.421385072216431e-09,-1.9192940165187796e-06,0.472900390625,4.388954827187978,-7.702449164331483,-0.029386551136427325
v500_orthogonal_to_strong,high_noise,0.0,0.5,2082,-0.0002990502222328412,0.0006518985409918579,1.2588198606530573e-05,3.669313652135734e-05,-1.0083060297557051e-06,2.8019882859838684e-06,-23.75639530168346,-0.35985376341488035,-7.687469925745683e-09,-4.818600345495396e-06,0.5288184438040345,3.3351576759496524,-5.12756879454144,-0.02611078930645021
v500_orthogonal_to_strong,low_noise,0.5,1.0,2014,0.00011526774753198627,0.0002211967769172874,-0.0001543877328348885,2.2189675481102375e-05,1.0464517097204277e-06,1.014999930036605e-06,-0.7466120877314812,1.030986977193869,-5.942742447079228e-08,1.0779034894042394e-06,0.41509433962264153,5.260931141967844,-10.364266905097555,-0.03277291465679095
v500_orthogonal_to_strong,q0,0.0,0.25,994,-0.0010206238986803424,0.0013141632020710816,-6.212831210856601e-05,6.886466520057489e-05,-1.8566526349260773e-06,4.7130056455604144e-06,16.427677882136166,-0.3939423744749846,1.229593530798883e-07,-8.426310915412736e-06,0.5010060362173038,2.230388766159577,-2.503717214641137,-0.017388295410717267
v500_orthogonal_to_strong,q1,0.25,0.5,1088,0.00036018161084511494,0.00033862784168214925,8.08494225502861e-05,3.107311874980811e-05,-2.3325407613497938e-07,1.0560772056354428e-06,4.454968254363127,-0.22086839379762027,5.170432137340411e-08,-1.522585357905434e-06,0.5542279411764706,4.09153941149096,-7.524727315148887,-0.03407968538398564
v500_orthogonal_to_strong,q2,0.5,0.75,1017,0.0004312393882594849,0.000286141070446816,-3.307780589650348e-05,3.0241015452705397e-05,-2.83780818958039e-07,9.302454611034667e-07,-13.037121918206475,-0.3050601489862851,-2.9623046802475025e-08,-1.497807099019524e-06,0.48770894788593905,5.379952704700972,-10.37950301190862,-0.033574295549892955
v500_orthogonal_to_strong,q3,0.75,1.0,997,-0.0002070423413545394,0.0003381658963344015,-0.00027813115880914887,3.2065721407372586e-05,2.4033689430865268e-06,1.1014545889182515e-06,0.7444054173614183,2.1819954878456653,3.7812911146474824e-08,3.705283297254788e-06,0.3410230692076229,5.1366813941898855,-10.348725159233108,-0.0319554579182907
