condition,mode,extrapolation_space,gamma,alpha,source_step,weights,num_samples,global_seed,fid,sfid,inception_score,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256
hidden_alpha_0p4,interpolation,hidden,0.0,0.4,0,ema,1000,0,173.77076837189017,279.87828770203294,5.499105930328369,2114,6450,8938,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,a748313f71c531b58e9cbcd65e6f25e7784e96e24ead4d56fa8b4606d442f995
hidden_alpha_0p6,interpolation,hidden,0.0,0.6,0,ema,1000,0,216.036543526861,298.93072201687096,3.1439731121063232,2114,6450,8116,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,3b40f2a5c2f4c552771290ccba7bcd3495255dbea487595a931cc8c246889562
hidden_alpha_0p8,interpolation,hidden,0.0,0.8,0,ema,1000,0,231.3320934285272,293.71876582059053,3.0581600666046143,2114,6450,7168,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,4e15afc387a605b00bfcf811149fe1d1ba099940c93f8bbe5ce5c080fa115188
output_alpha_0p001,interpolation,output,0.0,0.001,0,ema,1000,0,101.08840249476327,217.8807573781346,21.6842041015625,2114,6450,6616,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,da3233e11efe3bf341226a627edb0c4f1b955496bdeb94bc15acd50f3f2764c1
output_alpha_0p003,interpolation,output,0.0,0.003,0,ema,1000,0,101.16929086998334,216.52605720861698,21.927627563476562,2114,6450,6796,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,b5a6ffc537f9006d42e578de40afb10844c4ed02bbb3a7d576bfb0f508e3a9f8
output_alpha_0p005,interpolation,output,0.0,0.005,0,ema,1000,0,101.46153378594397,215.19486280104536,22.32416534423828,2114,6450,6730,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,20acaa17c95390cb910775cb3d755134959ce3c6459ee7c25384f55c1c43eb4a
output_alpha_0p01,interpolation,output,0.0,0.01,0,ema,1000,0,101.89061906422074,212.05755618232217,22.56035614013672,2114,6450,6694,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6aee1346567ba5123b07ff5076a6bc23a9044c6030e9ed1becd4bf252a177e1e
output_alpha_0p02,interpolation,output,0.0,0.02,0,ema,1000,0,104.4168318229577,207.00324741971394,21.521663665771484,2114,6450,6700,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,79ff3e3346310fc391d0e9804061d8da18cec6c4a28a1dfa9731b56b5a0611ec
output_alpha_0p03,interpolation,output,0.0,0.03,0,ema,1000,0,108.18673208546215,204.37839913434584,20.123703002929688,2114,6450,7132,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,ac418fccfca21daa78b9bbfe240d83f8906453f64c429eb8a4e9fde49f80fb83
output_alpha_0p05,interpolation,output,0.0,0.05,0,ema,1000,0,122.30710023826612,206.98492133795025,17.0233097076416,2114,6450,8230,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,b3d5ee98e88d0a4f59f9d8b313b2e102f2b9c3efc9774f160763cbf2926ba3ee
output_alpha_0p1,interpolation,output,0.0,0.1,0,ema,1000,0,149.7030277976101,244.01162076774654,9.788421630859375,2114,6450,9070,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,22ee834dbd23cb6f6467f1bcbdc7110e4d30cd99b86aed6e642bd125a7818372
output_alpha_0p2,interpolation,output,0.0,0.2,0,ema,1000,0,193.54577953982033,286.2385525582903,4.197402000427246,2114,6450,8548,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,e4114620291821d282ab8c68edb095264798123479a8d7ea03109c68951919c6
