sigma,delta,score_second,variance,third,velocity_gap,leading_velocity_gap
0.19587310683999792,-0.0012123153125879755,-2.3575292137794452,0.036606929028309226,-0.00013313920357354073,0.007401604552678881,0.007062287016490978
0.20401883113960154,-0.0014347939618232204,-2.362451646742571,0.03957912003234794,-0.0001703666010252887,0.008467448515370051,0.008051665392406203
0.21250330957159025,-0.0016981408127359728,-2.3669726636583084,0.04278413145397182,-0.00021796533617681976,0.009689267238764109,0.009180197296133846
0.22134062981656635,-0.0020097470964488247,-2.3709392479587477,0.046239375967064796,-0.00027879647231036095,0.011089630433341742,0.010466931938765786
0.23054546541586673,-0.002378266079801087,-2.3741716242979685,0.04996357815182553,-0.00035649350126054034,0.01269408849474679,0.011933237200376407
0.24013310013560127,-0.0028137939167117315,-2.376460479465492,0.05397690608079694,-0.00045566194795303237,0.014531436820263156,0.013602969490545928
0.25011945334391367,-0.0033280620130318236,-2.3775643171317693,0.058301124698824716,-0.0005821261368856519,0.016633952332789345,0.01550261441517259
0.26052110644359805,-0.003934635354471721,-2.377207108821082,0.06295977456095464,-0.0007432321781794887,0.01903757809943337,0.017661379782092024
0.2713553304039641,-0.0046491081320206235,-2.3750764491173806,0.06797837947764998,-0.0009482169972762286,0.021782024316491885,0.020111217282608028
0.2826401144376607,-0.0054892840302322955,-2.370822472965842,0.07338468626756864,-0.0012086535635957563,0.024910745280181713,0.022886743357582052
0.29439419587007626,-0.006475323693474559,-2.364057844372785,0.07920893897956424,-0.0015389820670651227,0.028470742707551473,0.0260250235495703
0.30663709125091104,-0.007629836243613768,-2.354359174545154,0.08548418842923441,-0.0019571352437472906,0.03251213672620778,0.02956517851101427
0.3193891287595755,-0.008977885565522682,-2.341270267304373,0.09224663548509149,-0.0024852628509548147,0.03708743832453631,0.03354776449760082
0.3326714819582273,-0.010546875946796899,-2.3243076120289006,0.09953600300530205,-0.0031505548263498413,0.04225045295530417,0.03801387765656451
0.34650620494848366,-0.012366276444741142,-2.302968538826568,0.10739592644979694,-0.003986154256818653,0.04805474686211702,0.043003931103701015
0.36091626899018975,-0.01446714035018886,-2.2767424047647573,0.1158743468088629,-0.005032139260520647,0.054551618643912156,0.04855605839407206
0.37592560064303987,-0.016881377015620435,-2.2451250807034713,0.1250238815428693,-0.00633653671068972,0.061787541923634094,0.05470410851312863
0.3915591214943861,-0.01964074008762914,-2.207636843508098,0.13490213984845786,-0.007956310183883064,0.06980108372276199,0.06147521799962383
0.4078427895391969,-0.0227755108044293,-2.1638435397066154,0.14557193815615532,-0.00995823995250762,0.07861935894543069,0.06888697705092976
0.42480364228087164,-0.026312878979119162,-2.1133805725347523,0.15710136108493086,-0.01241958548992039,0.08825415339437387,0.07694424950123493
0.44246984162448066,-0.030275057930650058,-2.055978884141253,0.16956360332301593,-0.015428393226942868,0.09869793127157298,0.08563576107926558
0.4608707206369655,-0.0346772113913023,-1.9914916823110294,0.1830365207187526,-0.01908328802231991,0.10992002860341597,0.09493063395345253
0.48003683225194566,-0.03952531625040526,-1.9199202370598183,0.19760181629862272,-0.02349257129257609,0.1218634069860356,0.10477511316828125
