mode,rank,batch_index,batch_size,nfe,elapsed_seconds,endpoint_mean,endpoint_std
epsilon,2,14,64,80,2.489384338259697,0.006169145926833153,0.8594470024108887
epsilon,2,15,64,80,2.4838153240270913,0.04902525991201401,0.8294780254364014
epsilon,2,16,64,86,2.661626271903515,0.016417596489191055,0.815747857093811
epsilon,2,17,64,80,2.4141445476561785,0.02064722217619419,0.8462024927139282
epsilon,2,18,64,80,2.485770722851157,0.05836488679051399,0.8566011190414429
epsilon,2,19,64,86,2.6497085192240775,0.08621883392333984,0.8212749361991882
epsilon,3,0,64,80,1.98481380706653,0.07401253283023834,0.8230018615722656
epsilon,3,1,64,86,2.131529409904033,0.06079261749982834,0.8187057971954346
epsilon,3,2,64,86,2.1318484721705317,0.0529189296066761,0.8237842917442322
epsilon,3,3,64,80,1.9854790000244975,0.05071531981229782,0.8209620714187622
epsilon,3,4,64,80,1.9863664130680263,0.0651388019323349,0.8194227814674377
epsilon,3,5,64,80,1.9857915230095387,0.08883625268936157,0.8590719103813171
epsilon,3,6,64,86,2.132466817740351,0.043943483382463455,0.8186005353927612
epsilon,3,7,64,80,1.9869016213342547,0.0485253743827343,0.816601574420929
epsilon,3,8,64,80,1.9865132151171565,0.10575073212385178,0.8302165269851685
epsilon,3,9,64,86,2.13348747510463,-0.006937110796570778,0.8102293014526367
epsilon,3,10,64,80,1.9872035081498325,0.024236340075731277,0.8755157589912415
epsilon,3,11,64,80,1.98700962215662,0.025266174226999283,0.8334822654724121
epsilon,3,12,64,92,2.280170800630003,0.03751059249043465,0.8378795385360718
epsilon,3,13,64,86,2.1332457433454692,0.04119899123907089,0.8275282382965088
epsilon,3,14,64,80,1.9874499537982047,0.05402696877717972,0.8429485559463501
epsilon,3,15,64,86,2.133463444188237,0.0979941263794899,0.8274807929992676
epsilon,3,16,64,80,1.9883757941424847,0.051774829626083374,0.8304003477096558
epsilon,3,17,64,80,1.987542875111103,0.028521372005343437,0.8439260721206665
epsilon,3,18,64,86,2.1332353269681334,0.08042988181114197,0.8253203630447388
epsilon,3,19,64,86,2.1344953309744596,0.07843274623155594,0.8160253167152405
dynamic,0,0,64,62,2.1450025378726423,0.056267764419317245,0.8336796164512634
dynamic,0,1,64,62,1.962366885971278,0.06747235357761383,0.8447074294090271
dynamic,0,2,64,62,2.134004589635879,0.051046039909124374,0.7898775339126587
dynamic,0,3,64,68,2.1402258980087936,0.042913954704999924,0.8244626522064209
dynamic,0,4,64,62,2.1256669987924397,0.044091083109378815,0.8133533596992493
dynamic,0,5,64,62,2.133232763968408,0.03968977555632591,0.8270319700241089
dynamic,0,6,64,74,2.323329269886017,0.08788762986660004,0.8170441389083862
dynamic,0,7,64,62,2.1362847071141005,0.03389061614871025,0.812891960144043
dynamic,0,8,64,56,1.7880064980126917,0.060204457491636276,0.8335103392601013
dynamic,0,9,64,68,2.3232327960431576,0.06484411656856537,0.8208391070365906
dynamic,0,10,64,62,2.1390420109964907,0.08259797096252441,0.8325657248497009
dynamic,0,11,64,56,1.7836916632950306,0.061184607446193695,0.8654148578643799
dynamic,0,12,64,62,2.1388621260412037,0.06735128164291382,0.8003518581390381
dynamic,0,13,64,62,1.9635036690160632,0.08507104218006134,0.8229769468307495
dynamic,0,14,64,62,2.1373367942869663,0.0657951682806015,0.8009636402130127
dynamic,0,15,64,56,1.9648593729361892,0.04568185284733772,0.825968861579895
dynamic,0,16,64,62,1.9655327829532325,0.08991024643182755,0.8011735081672668
dynamic,0,17,64,68,2.308406136929989,0.04565104842185974,0.8034993410110474
dynamic,0,18,64,56,1.7866695099510252,0.03556803613901138,0.8215489983558655
dynamic,0,19,64,56,1.9616559511050582,0.03504151105880737,0.8273316621780396
dynamic,1,0,64,56,1.3935658261179924,0.07196922600269318,0.8271885514259338
dynamic,1,1,64,62,1.5388293070718646,0.06910806894302368,0.8051459193229675
dynamic,1,2,64,68,1.684395902324468,0.05333933234214783,0.8052549362182617
dynamic,1,3,64,62,1.5389199638739228,0.054819826036691666,0.8144032955169678
dynamic,1,4,64,56,1.393783192615956,0.03317585960030556,0.8055742383003235
dynamic,1,5,64,62,1.538926905952394,0.05438319966197014,0.8441359400749207
dynamic,1,6,64,62,1.5384870767593384,0.04776851832866669,0.7990396022796631
dynamic,1,7,64,56,1.3935025329701602,0.07556018233299255,0.8347935676574707
dynamic,1,8,64,68,1.6840427378192544,0.046421460807323456,0.8164441585540771
dynamic,1,9,64,62,1.538982599042356,0.06916601210832596,0.8339301943778992
dynamic,1,10,64,56,1.3938515791669488,0.04036403447389603,0.8038645386695862
dynamic,1,11,64,62,1.5390165750868618,0.06854462623596191,0.8070039749145508
dynamic,1,12,64,62,1.5392181160859764,0.05587567761540413,0.8330773711204529
dynamic,1,13,64,62,1.53977265721187,0.06662839651107788,0.8358636498451233
dynamic,1,14,64,68,1.6850273599848151,0.05462628975510597,0.8051506876945496
dynamic,1,15,64,56,1.3938269396312535,0.04512964189052582,0.8012838363647461
dynamic,1,16,64,62,1.5403837310150266,0.056187935173511505,0.8146377205848694
dynamic,1,17,64,56,1.3938410650007427,0.03877541422843933,0.8126013278961182
dynamic,1,18,64,68,1.6839175876230001,0.053548019379377365,0.7980711460113525
dynamic,1,19,64,74,1.8291871850378811,0.028933167457580566,0.8242482542991638
dynamic,2,0,64,62,1.9012857018969953,0.020633744075894356,0.79604572057724
dynamic,2,1,64,62,1.9641722827218473,0.04048003628849983,0.8338656425476074
dynamic,2,2,64,62,1.9616702166385949,0.04520589858293533,0.8326420187950134
dynamic,2,3,64,62,1.9009317429736257,0.04183546453714371,0.8151553273200989
