family,condition,mode,gamma,nominal_scale,orthogonal_scale,response_scale,global_seed,num_samples,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,result
v500,g1p75_r1p45_l0p125_n1000_seed0,factorized,1.75,1.0,0.125,1.45,0,1000,75.37412091288797,215.80747940586411,28.8001651763916,8008,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p45_l0p125_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p50_l0p75_n1000_seed0,factorized,1.75,1.0,0.75,1.5,0,1000,75.37499240455901,217.46320505058156,27.3807373046875,8416,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p50_l0p75_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p50_l0p625_n1000_seed0,factorized,1.75,1.0,0.625,1.5,0,1000,75.37634908865175,217.06765606105796,27.813213348388672,8170,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p50_l0p625_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p25_l0p875_n1000_seed0,factorized,1.25,1.0,0.875,1.25,0,1000,75.37720926581272,216.6665493961549,31.635297775268555,7636,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p25_l0p875_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p50_l0_n1000_seed0,factorized,1.5,1.0,0.0,1.5,0,1000,75.37801161778418,216.02505192036415,29.0838680267334,8086,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p50_l0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p20_l0p625_n1000_seed0,factorized,1.75,1.0,0.625,1.2,0,1000,75.39277411446108,216.52356117093336,31.735225677490234,7720,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p20_l0p625_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p50_l0p5_n1000_seed0,factorized,1.5,1.0,0.5,1.5,0,1000,75.39557622472256,216.439262912809,29.245492935180664,7996,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p50_l0p5_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p20_l0p875_n1000_seed0,factorized,1.5,1.0,0.875,1.2,0,1000,75.41789451706728,216.8117091937296,32.00444030761719,7864,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p20_l0p875_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p25_l0p5_n1000_seed0,factorized,1.5,1.0,0.5,1.25,0,1000,75.43354467059316,216.3057075906264,31.4810848236084,7876,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p25_l0p5_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p30_l0_n1000_seed0,factorized,1.5,1.0,0.0,1.3,0,1000,75.46517887662378,215.48714930251015,30.848731994628906,7786,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p30_l0_n1000_seed0/nominal_intervention_fid5k.json
