context,time,sample_id,cosine,projection_coefficient,positive_coefficient,reference_rms,difference_rms,difference_over_reference_rms,parallel_energy_fraction,orthogonal_energy_fraction,predicted_residual_energy_fraction,dot,reference_energy,difference_energy
teacher,0.2,2150,0.517259929676396,0.476771472969142,1.0,0.15482623170592794,0.14270722766187896,0.9217251242859967,0.2675578367912223,0.7324421666856411,0.7424386009543766,46.81222646614957,98.18587965135949,83.41648517914358
teacher,0.2,1409,0.5364664340782894,0.5199134161615688,1.0,0.15270430309226296,0.14799251330547142,0.9691443548650708,0.2877962560141911,0.712203766236525,0.7316935024481834,49.65849153883225,95.51300273313264,89.70970724134968
teacher,0.2,3452,0.6524722468684968,0.3431941752393971,1.0,0.40484280554878693,0.2129434522598511,0.5259904568915197,0.4257200611823625,0.5742799678980547,0.5804813704573116,230.3948186246085,671.3249677500944,185.73276717196688
teacher,0.2,2228,0.5855411927112902,0.4453472886949407,1.0,0.2998098166339698,0.2280274908479403,0.760573797776386,0.342858473885441,0.657141510724122,0.6635175500148095,163.96473754737988,368.1727535107874,212.9778138415411
teacher,0.2,1449,0.5586986702145939,0.6054336708311918,1.0,0.1301995578762216,0.1410907175335174,1.0836497437852273,0.31214417551541457,0.6878557953767221,0.7293791270709625,42.03833795544327,69.435084272286,81.53739499160697
teacher,0.2,663,0.5550973578295916,0.5354380545525508,1.0,0.12717431805168397,0.1226703180733659,0.9645840445829036,0.3081330844902737,0.6918669229596068,0.7163154699726038,35.47055770750474,66.24586617614693,61.63663641076024
teacher,0.2,1948,0.6496558013358346,0.6558601889268167,1.0,0.20555641206520703,0.20751953107321372,1.0095502688935043,0.4220526564379383,0.5779473389430402,0.6501356602236225,113.50977816325073,173.0700842644324,176.39160126196333
strong_rollout,0.2,4301,0.5916580885435642,0.5492332002202921,1.0,0.17671754677840912,0.16404600162081326,0.928294923800153,0.35005929161600674,0.6499407049799985,0.6813878853815762,70.25481226772092,127.91435812609726,110.22782729328995
strong_rollout,0.2,1667,0.5291375464672349,0.3821723665105134,1.0,0.2378455020999038,0.1717851606038508,0.7222552416891818,0.27998655632018454,0.7200134560638427,0.7200248977771764,88.55419008101397,231.71269783206026,120.87353918951754
strong_rollout,0.2,2696,0.5691300684014695,0.37182291286253744,1.0,0.3642518876120559,0.2379723114050154,0.6533179909240889,0.32390905232883477,0.6760909663211182,0.6764743727892016,202.0690123823431,543.454976528162,231.9598427973453
