sample_id,step,time,construction,left_sigma,right_sigma,slope_direction_cosine,slope_rms_ratio
29,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8514423582103655,0.6103147217531728
29,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.8572022382108551,0.7548748501343875
29,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8875691282325113,0.550440793438834
29,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.8773256525583492,0.6856170529089983
29,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.7660704407407927,0.7183488678153301
29,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9432119707192759,0.6073578688501736
29,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.780791258850298,0.6029612027578433
29,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9468906586222228,0.5992434651167655
29,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.866446738756682,0.813427962295266
29,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9471455595468127,0.641154933260264
29,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.86358894528627,0.7556539797388249
29,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9502817207730497,0.636835067049065
29,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9482789926342474,0.6798751269715408
29,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9786479553685512,0.6188805123771528
29,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9434301121704003,0.6630112245865982
29,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9781465288250866,0.6154689810013504
29,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.9665491591375484,0.5944603172778248
29,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9870765668116969,0.5970601770169494
29,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9641622083006519,0.5882961424336993
29,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9866951897271873,0.5947539979766775
