experiment,metric_file,branch,fid,inception_score,sfid,sample_sha256,sample_path
raev2_bridge_counterfactual_ig_v1,fid1k_seed20260908/official_metrics.csv,bridge_cfig,38.58388323075076,56.76318092346192,,3fcd314345c26d8853c02c33595c38319d7dc4259fcba8b68f90cb8c297b5ede,/data/users/zhoushunyu/eqvae/experiments/raev2_bridge_counterfactual_ig_v1/fid1k_seed20260908/bridge_cfig/samples.npz
raev2_bridge_counterfactual_ig_v1,fid1k_seed20260908/official_metrics.json,ig_s1p78,38.48718487627309,58.22313804626465,,bdd24898d19e48a3770cb1dc2791fa6b4aa076a7d05f4a5b088ffb06f948da1d,/data/users/zhoushunyu/eqvae/experiments/raev2_bridge_counterfactual_ig_v1/fid1k_seed20260908/ig_s1p78/samples.npz
raev2_bridge_counterfactual_ig_v1,fid1k_seed20260908/official_metrics.json,bridge_cfig,38.58388323075076,56.76318092346192,,3fcd314345c26d8853c02c33595c38319d7dc4259fcba8b68f90cb8c297b5ede,/data/users/zhoushunyu/eqvae/experiments/raev2_bridge_counterfactual_ig_v1/fid1k_seed20260908/bridge_cfig/samples.npz
raev2_pfr_shared_retiming_v1,fid1k_seed20260908/official_metrics.csv,ig_s1p78,38.48718487627309,58.22313804626465,,bdd24898d19e48a3770cb1dc2791fa6b4aa076a7d05f4a5b088ffb06f948da1d,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/ig_s1p78/samples.npz
raev2_pfr_shared_retiming_v1,fid1k_seed20260908/official_metrics.csv,plain_h0p03125_r0p05,38.13958864489024,62.12579078674317,,a2fc91a59145c1b1834e5b90453e50d4913c7cccc7787a72366169cb7d3ab329,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/plain_h0p03125_r0p05/samples.npz
raev2_pfr_shared_retiming_v1,fid1k_seed20260908/official_metrics.csv,shared_h0p03125_r0p05,38.04119763801714,61.476309585571286,,a036dc9b0d83bf21176f43b6105028988e43147b9a7b3457e55c1ff74c3e45c3,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/shared_h0p03125_r0p05/samples.npz
raev2_pfr_shared_retiming_v1,fid1k_seed20260908/official_metrics.csv,shared_h0p03125_r1,50.456512371206315,64.42176399230956,,db2513d864b7f60ceea85dae4d36b01b2a2c3de6a8a5619d1e2f61333b14b8a7,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/shared_h0p03125_r1/samples.npz
raev2_pfr_shared_retiming_v1,fid1k_seed20260908/official_metrics.json,ig_s1p78,38.48718487627309,58.22313804626465,,bdd24898d19e48a3770cb1dc2791fa6b4aa076a7d05f4a5b088ffb06f948da1d,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/ig_s1p78/samples.npz
raev2_pfr_shared_retiming_v1,fid1k_seed20260908/official_metrics.json,plain_h0p03125_r0p05,38.13958864489024,62.12579078674317,,a2fc91a59145c1b1834e5b90453e50d4913c7cccc7787a72366169cb7d3ab329,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/plain_h0p03125_r0p05/samples.npz
raev2_pfr_shared_retiming_v1,fid1k_seed20260908/official_metrics.json,shared_h0p03125_r0p05,38.04119763801714,61.476309585571286,,a036dc9b0d83bf21176f43b6105028988e43147b9a7b3457e55c1ff74c3e45c3,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/shared_h0p03125_r0p05/samples.npz
