seed_index,label,t,baseline_conditional_correct,delta_rms,delta_q_null,delta_q_conditional
19,46,0.375,False,-0.031709134578704834,0.0003351103514432907,-0.11033170856535435
20,43,0.375,True,-0.045156948268413544,0.0005653616608469747,0.2887426018714905
21,31,0.375,False,-0.005472682416439056,-1.7956294868781697e-05,-0.00011256910511292517
22,20,0.375,False,-0.0008412674069404602,6.0724050854332745e-05,0.04143139161169529
23,74,0.375,False,-0.0017713457345962524,8.694708230905235e-05,-0.007348052226006985
24,26,0.375,False,-0.03009435534477234,-0.026305800303816795,0.12057355046272278
25,60,0.375,True,-0.006392732262611389,0.0011639343574643135,0.09945303201675415
26,36,0.375,False,-0.08787252753973007,0.061836906243115664,0.45486880838871
27,10,0.375,True,-0.014340691268444061,0.26113802939653397,0.015287935733795166
28,18,0.375,False,-0.0053809210658073425,-0.00033051916398108006,-0.00838491041213274
29,44,0.375,False,-0.022387102246284485,0.0010429687681607902,0.03605740889906883
30,85,0.375,True,-0.00519021600484848,0.0001952052116394043,-8.159875869750977e-05
31,25,0.375,False,-0.004902385175228119,5.48672687727958e-07,-0.0004254684317857027
32,30,0.375,False,-0.0034663714468479156,-0.0011206339113414288,0.008287305012345314
33,11,0.375,False,-0.04401695728302002,0.018994213052792475,0.37928006052970886
34,90,0.375,False,-0.0007218271493911743,-0.00043963256757706404,9.22325998544693e-05
35,48,0.375,True,-0.0014203861355781555,0.014092981815338135,0.0023889541625976562
36,45,0.375,False,-0.0017041563987731934,3.619061317294836e-07,-0.00025361363077536225
37,65,0.375,False,-0.0066222622990608215,-7.903436198830605e-06,0.003692932892590761
38,33,0.375,True,-0.010618217289447784,0.017064332321751863,0.014057636260986328
39,38,0.375,True,-0.009491577744483948,0.0037924711359664798,-0.039102017879486084
40,22,0.375,True,-0.004284515976905823,0.00036446505691856146,-0.026444435119628906
41,0,0.375,True,-0.019844308495521545,0.0018878327682614326,0.003779888153076172
42,54,0.375,True,-0.0001471489667892456,-0.008963599801063538,-0.052147507667541504
43,89,0.375,False,-0.023261651396751404,-2.188581129303202e-05,0.01811729185283184
44,9,0.375,False,-0.0022260472178459167,0.00010692389332689345,0.010707867331802845
45,64,0.375,False,-0.002599753439426422,2.169108483940363e-05,0.0007196292281150818
46,13,0.375,True,-0.0013696551322937012,-0.04767221212387085,0.00015783309936523438
