experiment,gamma,fid,sfid,inception_score,num_samples,integrator,noise_sha256,label_sha256,total_nfe,elapsed_seconds,condition_name,fid_improvement_vs_baseline
depth4_v,0.6,80.87276332479098,226.20636847857168,26.84578514099121,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10264,68.36492659902433,gamma_schedule_sweep_v4_depth4_v_g0p6,4.097573739886343
depth4_v,0.7,87.50152731935867,229.49617310269753,24.277324676513672,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,11302,73.60930471000029,gamma_schedule_sweep_v4_depth4_v_g0p7,-2.5311902546813485
depth4_v,0.8,93.57883669500359,233.00553628840612,21.811288833618164,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12418,78.66358065698296,gamma_schedule_sweep_v4_depth4_v_g0p8,-8.608499630326264
depth4_v,0.9,99.22802512055131,236.6179318013509,19.514137268066406,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12904,82.8387641379959,gamma_schedule_sweep_v4_depth4_v_g0p9,-14.257688055873984
depth4_v,1.0,105.15936074525837,239.40205909972588,17.614282608032227,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,13366,85.31803088099696,gamma_schedule_sweep_v4_depth4_v_g1,-20.189023680581045
depth6_v,0.0,84.97033706467732,222.25091085141594,29.52147102355957,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6676,48.78441646002466,gamma_schedule_sweep_v4_baseline_v800,0.0
depth6_v,0.1,75.00775586362477,217.9330727937537,30.640275955200195,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6874,50.16217119398061,gamma_schedule_sweep_v4_depth6_v_g0p1,9.962581201052558
depth6_v,0.2,71.21381490698366,215.97326409913865,32.335838317871094,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7786,87.49106590199517,gamma_schedule_sweep_v4_depth6_v_g0p2,13.756522157693666
depth6_v,0.25,70.4250036788228,216.2182784492611,32.33025360107422,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8254,95.33180786302546,gamma_schedule_sweep_v4_depth6_v_g0p25,14.54533338585452
depth6_v,0.3,70.66196645101309,216.5963278907542,31.8289737701416,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8554,60.003683440969326,gamma_schedule_sweep_v4_depth6_v_g0p3,14.308370613664238
depth6_v,0.35,71.39970876397166,217.57270203389407,31.010452270507812,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8458,59.529579508991446,gamma_schedule_sweep_v4_depth6_v_g0p35,13.570628300705664
