gamma,response_scale,fid,sfid,inception_score,total_nfe,num_samples,global_seed,condition,replicate_count,fid_replicate_spread,noise_fingerprint,label_fingerprint
2.50,1.50,77.27131835026739,216.79305823042023,28.173322677612305,8284,1000,0,response_g2p5_r1p50_n1000_seed0,2,0.00166186734219,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,0.50,85.23381955815114,222.7503283010252,29.682178497314453,8038,1000,0,response_g3p0_r0p5_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,0.75,84.25564133922057,221.7217257115251,30.107223510742188,8014,1000,0,response_g3p0_r0p75_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.00,80.38507977872212,218.92067069788004,30.150697708129883,8050,1000,0,response_g3p0_r1p0_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.05,79.12998353973387,218.06474266114787,29.970569610595703,8026,1000,0,response_g3p0_r1p05_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.10,78.25747018507712,217.19738208669958,29.797142028808594,7978,1000,0,response_g3p0_r1p10_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.15,77.08218607996031,216.49510424738605,29.85852813720703,8002,1000,0,response_g3p0_r1p15_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.20,76.19326348314178,216.04508398060966,29.277538299560547,7996,1000,0,response_g3p0_r1p20_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.25,76.02192235886622,215.79623240810724,29.278995513916016,8008,1000,0,response_g3p0_r1p25_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.30,75.73608311960254,215.39744707800878,30.065771102905273,8170,1000,0,response_g3p0_r1p30_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.35,75.96808810946584,215.62417568078672,29.24460792541504,8212,1000,0,response_g3p0_r1p35_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.40,76.55967197681844,216.09307242480872,28.390087127685547,8488,1000,0,response_g3p0_r1p40_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.45,77.23419810561472,216.86149270403325,27.73988151550293,8500,1000,0,response_g3p0_r1p45_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
3.00,1.50,78.37800898059373,217.91100758994628,27.289691925048828,8722,1000,0,response_g3p0_r1p50_n1000_seed0,2,0.00325128142134,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
